gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS08025,1.356903744,2.2136e-18,1.95073e-17,WP_011378522.1,Synpcc7942_2576,site-2 protease family protein,Synpcc7942_2576,tier1:gene ID
gene-H6G84_RS08005,0.485479926,0.003107162,0.005458588,WP_011378523.1,dnaK3 Synpcc7942_2580,molecular chaperone DnaK,Synpcc7942_2580,tier1:gene ID
gene-H6G84_RS07945,-1.142033756,0.000152014,0.000325276,WP_011378524.1,Synpcc7942_2591,hypothetical protein,Synpcc7942_2591,tier1:gene ID
gene-H6G84_RS07890,-2.654371281,1.67491e-30,3.73924e-29,WP_011378529.1,Synpcc7942_2601,COX15/CtaA family protein,Synpcc7942_2601,tier1:gene ID
gene-H6G84_RS07865,0.444318066,0.00458019,0.007830459,WP_011378530.1,thrS Synpcc7942_2606,threonine--tRNA ligase,Synpcc7942_2606,tier1:gene ID
gene-H6G84_RS07855,2.135528395,8.055e-25,1.18569e-23,WP_011378531.1,,hypothetical protein,,unresolved
gene-H6G84_RS07845,-1.645218764,2.4500000000000002e-26,4.1210000000000003e-25,WP_011378532.1,Synpcc7942_2610,uroporphyrinogen-III C-methyltransferase,Synpcc7942_2610,tier1:gene ID
gene-H6G84_RS05230,0.418901482,0.011287537,0.018096536,WP_039755415.1,pyrH Synpcc7942_0506,UMP kinase,Synpcc7942_0506,tier1:gene ID
gene-H6G84_RS05560,-0.470372956,0.004470153,0.007681552,WP_039755439.1,sek0030,N-acetylglucosamine-6-phosphate deacetylase,,unresolved
gene-H6G84_RS05825,-0.358924285,0.0864692,0.115953845,WP_039755448.1,,hypothetical protein,,unresolved
gene-H6G84_RS05845,-1.930229211,1.0280000000000001e-25,1.6393e-24,WP_039755450.1,,geranylgeranyl reductase,,unresolved
gene-H6G84_RS05870,-1.108650407,3.75742e-11,1.74456e-10,WP_039755453.1,,hypothetical protein,,unresolved
gene-H6G84_RS05935,-0.130979358,0.486233702,0.54073063,WP_039755458.1,,exodeoxyribonuclease VII large subunit,,unresolved
gene-H6G84_RS06095,0.052180279,0.7619298,0.795793347,WP_039755467.1,,hypothetical protein,,unresolved
gene-H6G84_RS06290,0.22096218,0.107019534,0.139992837,WP_039755477.1,,rod shape-determining protein,,unresolved
gene-H6G84_RS06735,-0.244239474,0.090280677,0.12032932,WP_039755486.1,,AEC family transporter,,unresolved
gene-H6G84_RS06950,-1.033985824,8.58215e-12,4.32986e-11,WP_039755494.1,,cysteine synthase A,,unresolved
gene-H6G84_RS06955,-0.815612998,1.06656e-06,2.99509e-06,WP_039755496.1,,hypothetical protein,,unresolved
gene-H6G84_RS07300,0.901117737,4.38519e-09,1.63848e-08,WP_039755500.1,,hypothetical protein,,unresolved
gene-H6G84_RS07385,-5.547420356,2.4909999999999997e-97,6.67338e-94,WP_039755509.1,,hypothetical protein,,unresolved
gene-H6G84_RS07655,-2.338970602,1.5522099999999998e-20,1.59324e-19,WP_039755513.1,,hypothetical protein,,unresolved
gene-H6G84_RS08015,0.143246293,0.362313235,0.417298863,WP_039755524.1,,DUF3110 domain-containing protein,,unresolved
gene-H6G84_RS00510,-1.520835421,1.8010000000000002e-25,2.7882e-24,WP_039755541.1,,hypothetical protein,,unresolved
gene-H6G84_RS00950,0.323773843,0.049327372,0.06944195,WP_039755558.1,,hydantoinase B/oxoprolinase family protein,,unresolved
gene-H6G84_RS01185,-0.356657474,0.054815009,0.076484068,WP_039755568.1,,30S ribosomal protein PSRP-3,,unresolved
gene-H6G84_RS01665,-2.269405886,8.43521e-17,6.56917e-16,WP_039755578.1,,hypothetical protein,,unresolved
gene-H6G84_RS01680,-0.448526702,0.050574382,0.070899408,WP_039755580.1,,hypothetical protein,,unresolved
gene-H6G84_RS01695,-4.165018008,8.08955e-54,7.739959999999999e-52,WP_039755581.1,,hypothetical protein,,unresolved
gene-H6G84_RS02050,0.006123318,0.983634251,0.987319655,WP_039755585.1,,branched-chain amino acid ABC transporter permease,,unresolved
gene-H6G84_RS02125,-1.18042324,9.68752e-06,2.45301e-05,WP_039755588.1,,hypothetical protein,,unresolved
gene-H6G84_RS02160,-0.235732383,0.140630091,0.180003829,WP_039755593.1,,hypothetical protein,,unresolved
gene-H6G84_RS02265,0.446170009,0.027478473,0.040671176,WP_039755600.1,,hypothetical protein,,unresolved
gene-H6G84_RS02920,-0.954603426,3.37761e-07,1.02708e-06,WP_039755617.1,psbV Synpcc7942_2010,photosystem II cytochrome c-550,Synpcc7942_2010,tier1:gene ID
gene-H6G84_RS03150,0.284782398,0.070711116,0.096897739,WP_039755627.1,,4-hydroxybenzoate solanesyltransferase,,unresolved
gene-H6G84_RS03660,-0.294598753,0.078454676,0.106582189,WP_039755639.1,,hypothetical protein,,unresolved
gene-H6G84_RS03745,-2.099292942,1.69413e-13,9.88795e-13,WP_039755643.1,,hypothetical protein,,unresolved
gene-H6G84_RS04070,-3.039755178,2.48375e-46,1.51226e-44,WP_039755650.1,,RNA polymerase sigma factor SigF,,unresolved
