gene ID,log2_foldChange,p_value,adjusted p_value,Protein ID,Locus Tag,Annotation,resolved_locus_tag,resolution_method
gene-H6G84_RS04060,0.469629724,0.000612966,0.001204795,WP_011244617.1,Synpcc7942_1786,Ycf51 family protein,Synpcc7942_1786,tier1:gene ID
gene-H6G84_RS04065,0.691381484,1.24546e-05,3.1154e-05,WP_011244618.1,syc2308_d,DUF4332 domain-containing protein,,unresolved
gene-H6G84_RS04075,1.265196575,3.43993e-19,3.211e-18,WP_011244620.1,Synpcc7942_1783,UPF0182 family protein,Synpcc7942_1783,tier1:gene ID
gene-H6G84_RS04080,-0.197802782,0.307611763,0.360997352,WP_011244621.1,Synpcc7942_1782,threonine synthase,Synpcc7942_1782,tier1:gene ID
gene-H6G84_RS04085,0.608460754,0.010383152,0.01672723,WP_011244622.1,Synpcc7942_1781,MoaD/ThiS family protein,Synpcc7942_1781,tier1:gene ID
gene-H6G84_RS04090,-0.4051532,0.007123588,0.011758529,WP_011244623.1,Synpcc7942_1780,DNA mismatch repair endonuclease MutL,Synpcc7942_1780,tier1:gene ID
gene-H6G84_RS04105,-2.50817851,4.80098e-45,2.57237e-43,WP_011244626.1,Synpcc7942_1777,hypothetical protein,Synpcc7942_1777,tier1:gene ID
gene-H6G84_RS04115,-0.333027139,0.027363806,0.040523846,WP_011244627.1,Synpcc7942_1775,PhoH family protein,Synpcc7942_1775,tier1:gene ID
gene-H6G84_RS04130,-0.315028494,0.050158934,0.070390667,WP_011244630.1,rpsP rps16 Synpcc7942_1772,30S ribosomal protein S16,Synpcc7942_1772,tier1:gene ID
gene-H6G84_RS04145,0.326727494,0.063693664,0.088138082,WP_011244633.1,Synpcc7942_1769,hypothetical protein,Synpcc7942_1769,tier1:gene ID
gene-H6G84_RS04175,0.931491697,1.19846e-10,5.27205e-10,WP_011244639.1,Synpcc7942_1763,inositol monophosphatase family protein,Synpcc7942_1763,tier1:gene ID
gene-H6G84_RS04195,0.585564662,4.67829e-05,0.000108044,WP_011244643.1,,chlorophyll a/b-binding protein,,unresolved
gene-H6G84_RS04210,-2.118564838,2.11876e-22,2.51157e-21,WP_011244645.1,syc2335_c,hypothetical protein,,unresolved
gene-H6G84_RS04220,-0.067414694,0.686031628,0.726434281,WP_011244647.1,,hypothetical protein,,unresolved
gene-H6G84_RS04230,-0.66730979,1.02745e-05,2.59917e-05,WP_011244649.1,Synpcc7942_1752,HEAT repeat domain-containing protein,Synpcc7942_1752,tier1:gene ID
gene-H6G84_RS04235,0.344479471,0.020724384,0.031349873,WP_011244650.1,Synpcc7942_1751,DUF2997 domain-containing protein,Synpcc7942_1751,tier1:gene ID
gene-H6G84_RS04245,0.3314645,0.021305503,0.032156305,WP_011244652.1,Synpcc7942_1749,ferredoxin,Synpcc7942_1749,tier1:gene ID
gene-H6G84_RS04255,0.26428984,0.058036506,0.080643049,WP_011244654.1,Synpcc7942_1747,aldo/keto reductase,Synpcc7942_1747,tier1:gene ID
gene-H6G84_RS04275,0.261158717,0.116262268,0.150321726,WP_011244658.1,ndhH Synpcc7942_1743,NAD(P)H-quinone oxidoreductase subunit H,Synpcc7942_1743,tier1:gene ID
gene-H6G84_RS04285,0.180989363,0.202417703,0.249667139,WP_011244660.1,murC Synpcc7942_1741,UDP-N-acetylmuramate--L-alanine ligase,Synpcc7942_1741,tier1:gene ID
gene-H6G84_RS04300,1.388292282,3.3089e-17,2.68623e-16,WP_011244663.1,Synpcc7942_1738,SufS family cysteine desulfurase,Synpcc7942_1738,tier1:gene ID
gene-H6G84_RS04315,0.493294096,0.009582197,0.015567438,WP_011244666.1,Synpcc7942_1735,Fe-S cluster assembly protein SufB,Synpcc7942_1735,tier1:gene ID
gene-H6G84_RS04320,0.590510594,0.00532715,0.009021134,WP_011244667.1,Synpcc7942_1734,ferredoxin--nitrite reductase,Synpcc7942_1734,tier1:gene ID
gene-H6G84_RS04325,-0.030669672,0.852926529,0.874470024,WP_011244668.1,,iron-sulfur cluster biosynthesis transcriptional regulator SufR,,unresolved
gene-H6G84_RS04330,0.109420593,0.492087676,0.546201747,WP_011244669.1,Synpcc7942_1732,hypothetical protein,Synpcc7942_1732,tier1:gene ID
gene-H6G84_RS04335,-0.035430469,0.856276723,0.876898066,WP_011244670.1,Synpcc7942_1731,phosphoribosyltransferase,Synpcc7942_1731,tier1:gene ID
gene-H6G84_RS04340,-0.503283424,0.002072528,0.003764273,WP_011244671.1,syc2361_c,thioredoxin family protein,,unresolved
gene-H6G84_RS04365,-0.183962705,0.257279184,0.308594014,WP_011244676.1,Synpcc7942_1725,PLP-dependent aminotransferase family protein,Synpcc7942_1725,tier1:gene ID
gene-H6G84_RS04370,-3.698351236,1.52867e-41,6.50048e-40,WP_011244677.1,Synpcc7942_1724,hypothetical protein,Synpcc7942_1724,tier1:gene ID
gene-H6G84_RS04380,-1.508202088,3.09203e-19,2.8963400000000003e-18,WP_011244679.1,Synpcc7942_1722,sulfate ABC transporter substrate-binding protein,Synpcc7942_1722,tier1:gene ID
gene-H6G84_RS04385,1.412401115,8.79003e-23,1.08518e-21,WP_011244680.1,Synpcc7942_1721,HEAT repeat domain-containing protein,Synpcc7942_1721,tier1:gene ID
gene-H6G84_RS04420,-0.425424213,0.007103313,0.011732291,WP_011244686.1,upp Synpcc7942_1715,uracil phosphoribosyltransferase,Synpcc7942_1715,tier1:gene ID
gene-H6G84_RS04435,0.323168333,0.091950595,0.122311641,WP_011244689.1,Synpcc7942_1712,DUF1818 family protein,Synpcc7942_1712,tier1:gene ID
gene-H6G84_RS04445,-0.500856183,0.001793893,0.003280437,WP_011244691.1,rpoZ Synpcc7942_1710,DNA-directed RNA polymerase subunit omega,Synpcc7942_1710,tier1:gene ID
gene-H6G84_RS04465,-1.514407005,8.674000000000001e-25,1.26862e-23,WP_011244695.1,Synpcc7942_1706,DUF3769 domain-containing protein,Synpcc7942_1706,tier1:gene ID
gene-H6G84_RS04470,-1.589545299,5.98877e-08,1.96858e-07,WP_011244696.1,,photosystem II reaction center protein I,,unresolved
gene-H6G84_RS04475,-0.015549341,0.943654856,0.952185069,WP_011244697.1,Synpcc7942_1704,hypothetical protein,Synpcc7942_1704,tier1:gene ID
gene-H6G84_RS04495,0.446117836,0.044256562,0.062898318,WP_011244700.1,fcl Synpcc7942_1700,GDP-L-fucose synthase,Synpcc7942_1700,tier1:gene ID
gene-H6G84_RS04505,-0.448104532,0.057098549,0.079463383,WP_011244702.1,Synpcc7942_1698,helix-turn-helix transcriptional regulator,Synpcc7942_1698,tier1:gene ID
gene-H6G84_RS04510,-0.190317572,0.456573481,0.509862591,WP_011244703.1,Synpcc7942_1697,CDGSH iron-sulfur domain-containing protein,Synpcc7942_1697,tier1:gene ID
gene-H6G84_RS04530,-0.86582467,5.34495e-05,0.00012249,WP_011244707.1,Synpcc7942_1693,response regulator,Synpcc7942_1693,tier1:gene ID
gene-H6G84_RS04535,-0.585090857,0.016015423,0.024743552,WP_011244708.1,Synpcc7942_1692,restriction endonuclease,Synpcc7942_1692,tier1:gene ID
gene-H6G84_RS04550,-2.3738407,1.45189e-34,4.1823700000000004e-33,WP_011244711.1,rhdA Synpcc7942_1689,sulfurtransferase,Synpcc7942_1689,tier1:gene ID
gene-H6G84_RS04555,0.900739787,0.001073976,0.002037665,WP_011244712.1,Synpcc7942_1688,sulfate ABC transporter permease subunit CysW,Synpcc7942_1688,tier1:gene ID
gene-H6G84_RS04565,-1.161844669,1.31168e-07,4.12926e-07,WP_011244714.1,Synpcc7942_1686,sulfate ABC transporter substrate-binding protein,Synpcc7942_1686,tier1:gene ID
gene-H6G84_RS04570,-0.079135669,0.63372109,0.680448601,WP_011244715.1,cysW Synpcc7942_1685,sulfate ABC transporter permease subunit CysW,Synpcc7942_1685,tier1:gene ID
gene-H6G84_RS04575,-0.947864167,4.07886e-11,1.88726e-10,WP_011244716.1,cysR Synpcc7942_1684,Crp/Fnr family transcriptional regulator,Synpcc7942_1684,tier1:gene ID
gene-H6G84_RS04600,-0.759060095,8.16189e-07,2.32862e-06,WP_011244721.1,psb28 Synpcc7942_1679,photosystem II reaction center protein Psb28,Synpcc7942_1679,tier1:gene ID
gene-H6G84_RS04610,2.033833557,1.50073e-34,4.27709e-33,WP_011244723.1,Synpcc7942_1677,FAD-binding oxidoreductase,Synpcc7942_1677,tier1:gene ID
gene-H6G84_RS04615,0.78750238,2.28723e-06,6.22711e-06,WP_011244724.1,Synpcc7942_1676,hypothetical protein,Synpcc7942_1676,tier1:gene ID
gene-H6G84_RS04620,0.278498969,0.087030709,0.116519375,WP_011244725.1,Synpcc7942_1675,2TM domain-containing protein,Synpcc7942_1675,tier1:gene ID
gene-H6G84_RS04625,0.301089994,0.0484607,0.068365569,WP_011244726.1,Synpcc7942_1674,hypothetical protein,Synpcc7942_1674,tier1:gene ID
gene-H6G84_RS04630,0.361154964,0.012608194,0.02001028,WP_011244727.1,Synpcc7942_1673,cofactor assembly of complex C subunit B,Synpcc7942_1673,tier1:gene ID
gene-H6G84_RS04635,-0.760365788,1.62388e-07,5.05858e-07,WP_011244728.1,Synpcc7942_1672,D-alanyl-D-alanine carboxypeptidase family protein,Synpcc7942_1672,tier1:gene ID
gene-H6G84_RS04650,0.428566176,0.007895828,0.01296135,WP_011244730.1,kdpB Synpcc7942_1669,potassium-transporting ATPase subunit KdpB,Synpcc7942_1669,tier1:gene ID
gene-H6G84_RS04660,-0.575945808,0.000518277,0.00102773,WP_011244732.1,murD Synpcc7942_1667,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Synpcc7942_1667,tier1:gene ID
gene-H6G84_RS04665,-0.218299441,0.187010825,0.232052802,WP_011244733.1,Synpcc7942_1666,neutral zinc metallopeptidase,Synpcc7942_1666,tier1:gene ID
gene-H6G84_RS04685,-0.134630116,0.345660914,0.400356934,WP_011244736.1,cysS Synpcc7942_1662,cysteine--tRNA ligase,Synpcc7942_1662,tier1:gene ID
gene-H6G84_RS04690,-1.436324809,7.28104e-07,2.09291e-06,WP_011244737.1,Synpcc7942_1661,hypothetical protein,Synpcc7942_1661,tier1:gene ID
gene-H6G84_RS04700,0.370988588,0.019332711,0.029427461,WP_011244739.1,Synpcc7942_1659,NAD(P)H-dependent oxidoreductase,Synpcc7942_1659,tier1:gene ID
gene-H6G84_RS04715,-5.272420374,2.55694e-50,2.14063e-48,WP_011244741.1,katG Synpcc7942_1656,catalase/peroxidase HPI,Synpcc7942_1656,tier1:gene ID
gene-H6G84_RS04725,-2.890607033,4.83823e-11,2.22326e-10,WP_011244742.1,Synpcc7942_1654,hypothetical protein,Synpcc7942_1654,tier1:gene ID
gene-H6G84_RS04750,1.026951194,4.98535e-11,2.28694e-10,WP_011244747.1,Synpcc7942_1649,rubredoxin,Synpcc7942_1649,tier1:gene ID
gene-H6G84_RS04755,1.070476483,1.74347e-14,1.11474e-13,WP_011244748.1,,transcriptional repressor,,unresolved
gene-H6G84_RS04765,-2.145918155,7.583290000000001e-34,2.07302e-32,WP_011244750.1,Synpcc7942_1646,hypothetical protein,Synpcc7942_1646,tier1:gene ID
gene-H6G84_RS04770,0.211557287,0.140702191,0.18001011,WP_011244751.1,rnc Synpcc7942_1645,ribonuclease III,Synpcc7942_1645,tier1:gene ID
gene-H6G84_RS04785,-0.315345261,0.037751734,0.054521237,WP_011244753.1,Synpcc7942_1643,diguanylate cyclase,Synpcc7942_1643,tier1:gene ID
gene-H6G84_RS04790,1.84026104,1.56003e-32,4.01857e-31,WP_011244754.1,Synpcc7942_1642,TIGR00341 family protein,Synpcc7942_1642,tier1:gene ID
gene-H6G84_RS10980,0.909333234,0.000174639,0.000369265,WP_011244765.1,Synpcc7942_1468,Na(+)/H(+) antiporter subunit B,Synpcc7942_1468,tier1:gene ID
gene-H6G84_RS10990,0.924353312,3.88535e-05,9.05693e-05,WP_011244767.1,Synpcc7942_1470,monovalent cation/H(+) antiporter subunit G,Synpcc7942_1470,tier1:gene ID
gene-H6G84_RS10995,1.375341967,1.50821e-09,5.93317e-09,WP_011244768.1,Synpcc7942_1471,hypothetical protein,Synpcc7942_1471,tier1:gene ID
gene-H6G84_RS11020,-0.355687097,0.057042978,0.079427306,WP_011244772.1,Synpcc7942_1476,hypothetical protein,Synpcc7942_1476,tier1:gene ID
gene-H6G84_RS11040,1.198966536,2.06062e-15,1.43387e-14,WP_011244776.1,Synpcc7942_1480,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,Synpcc7942_1480,tier1:gene ID
gene-H6G84_RS11045,1.38025329,7.28093e-18,6.13384e-17,WP_011244777.1,hisH Synpcc7942_1481,imidazole glycerol phosphate synthase subunit HisH,Synpcc7942_1481,tier1:gene ID
gene-H6G84_RS11050,-0.509646031,0.001239535,0.002322178,WP_011244778.1,Synpcc7942_1482,DUF3370 domain-containing protein,Synpcc7942_1482,tier1:gene ID
gene-H6G84_RS11055,-0.055169234,0.799819003,0.830616413,WP_011244779.1,Synpcc7942_1483,HIT family protein,Synpcc7942_1483,tier1:gene ID
gene-H6G84_RS11065,-0.609879201,0.001480838,0.002742379,WP_011244781.1,Synpcc7942_1485,glutaredoxin family protein,Synpcc7942_1485,tier1:gene ID
gene-H6G84_RS11070,-0.976403747,1.53581e-10,6.67928e-10,WP_011244782.1,Synpcc7942_1486,membrane protein insertion efficiency factor YidD,Synpcc7942_1486,tier1:gene ID
gene-H6G84_RS11075,0.378307763,0.025085704,0.037398219,WP_011244783.1,rpsD rps4 Synpcc7942_1487,30S ribosomal protein S4,Synpcc7942_1487,tier1:gene ID
gene-H6G84_RS11085,-0.143055757,0.610014039,0.657372329,WP_011244785.1,cmpB Synpcc7942_1489,nitrate ABC transporter permease,Synpcc7942_1489,tier1:gene ID
gene-H6G84_RS11090,0.093444465,0.587886063,0.636342126,WP_011244786.1,cmpC Synpcc7942_1490,nitrate ABC transporter ATP-binding protein,Synpcc7942_1490,tier1:gene ID
gene-H6G84_RS11095,-0.184334658,0.361819662,0.416909624,WP_011244787.1,cmpD Synpcc7942_1491,nitrate ABC transporter ATP-binding protein,Synpcc7942_1491,tier1:gene ID
gene-H6G84_RS11115,1.029887264,4.50001e-11,2.07854e-10,WP_011244791.1,Synpcc7942_1495,tetratricopeptide repeat protein,Synpcc7942_1495,tier1:gene ID
gene-H6G84_RS11120,0.963576169,1.4551e-10,6.35923e-10,WP_011244792.1,argB Synpcc7942_1496,acetylglutamate kinase,Synpcc7942_1496,tier1:gene ID
gene-H6G84_RS11125,0.775832601,3.86074e-07,1.15952e-06,WP_011244793.1,Synpcc7942_1497,DUF2854 domain-containing protein,Synpcc7942_1497,tier1:gene ID
gene-H6G84_RS11140,-1.195252027,2.21612e-11,1.06017e-10,WP_011244794.1,petF Synpcc7942_1499,ferredoxin PetF1,Synpcc7942_1499,tier1:gene ID
gene-H6G84_RS11150,0.154580567,0.32124862,0.375000023,WP_011244796.1,,phosphoglycerate dehydrogenase,,unresolved
gene-H6G84_RS11165,-1.657874585,7.16727e-22,8.17068e-21,WP_011244799.1,Synpcc7942_1504,DUF2252 domain-containing protein,Synpcc7942_1504,tier1:gene ID
gene-H6G84_RS11175,-0.669172075,5.67873e-05,0.000129806,WP_011244801.1,Synpcc7942_1506,TerB family tellurite resistance protein,Synpcc7942_1506,tier1:gene ID
gene-H6G84_RS11195,0.687354527,1.63364e-05,4.03366e-05,WP_011244804.1,mnmA Synpcc7942_1509,tRNA 2-thiouridine(34) synthase MnmA,Synpcc7942_1509,tier1:gene ID
gene-H6G84_RS11205,0.484704073,0.003318777,0.00579596,WP_011244806.1,Synpcc7942_1511,SRPBCC family protein,Synpcc7942_1511,tier1:gene ID
gene-H6G84_RS11230,0.296259973,0.080873664,0.10947981,WP_011244811.1,Synpcc7942_1516,histidine phosphatase family protein,Synpcc7942_1516,tier1:gene ID
gene-H6G84_RS11240,-0.499182706,0.000936165,0.001790139,WP_011244813.1,Synpcc7942_1518,ATP-dependent helicase,Synpcc7942_1518,tier1:gene ID
gene-H6G84_RS11245,0.795251306,2.31762e-06,6.30346e-06,WP_011244814.1,hisD Synpcc7942_1519,histidinol dehydrogenase,Synpcc7942_1519,tier1:gene ID
gene-H6G84_RS11280,0.441023799,0.008145787,0.013355302,WP_011244822.1,Synpcc7942_1526,E3 ubiquitin ligase family protein,Synpcc7942_1526,tier1:gene ID
gene-H6G84_RS11285,0.201611957,0.177671028,0.221592498,WP_011244823.1,Synpcc7942_1527,sigma 54-interacting transcriptional regulator,Synpcc7942_1527,tier1:gene ID
gene-H6G84_RS11290,-1.446669963,3.63944e-17,2.93676e-16,WP_011244824.1,Synpcc7942_1528,DUF2499 domain-containing protein,Synpcc7942_1528,tier1:gene ID
gene-H6G84_RS11295,-0.103751175,0.669306825,0.710972635,WP_011244825.1,Synpcc7942_1529,polysaccharide pyruvyl transferase CsaB,Synpcc7942_1529,tier1:gene ID
gene-H6G84_RS11300,-0.176603963,0.403706248,0.458080914,WP_011244826.1,Synpcc7942_1530,molybdopterin-binding protein,Synpcc7942_1530,tier1:gene ID
gene-H6G84_RS11305,-0.670965628,1.34168e-05,3.34671e-05,WP_011244827.1,Synpcc7942_1531,molybdate ABC transporter substrate-binding protein,Synpcc7942_1531,tier1:gene ID
gene-H6G84_RS11315,-1.248305505,9.65766e-16,6.93643e-15,WP_011244829.1,sdhB syc2519_d,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,,unresolved
gene-H6G84_RS11335,0.213310638,0.654449134,0.698141147,WP_011244833.1,syc2523_d,hypothetical protein,,unresolved
gene-H6G84_RS11340,-1.274995458,3.48176e-07,1.05516e-06,WP_011244835.1,Synpcc7942_1540,alpha/beta fold hydrolase,Synpcc7942_1540,tier1:gene ID
gene-H6G84_RS13610,-3.391908037,3.2280500000000003e-56,3.93088e-54,WP_011377392.1,,HEAT repeat domain-containing protein,,unresolved
gene-H6G84_RS13675,0.004756281,0.9457501,0.953939954,WP_011377394.1,,NAD(P)-dependent alcohol dehydrogenase,,unresolved
gene-H6G84_RS07805,0.243330643,0.152714602,0.193621589,WP_011377397.1,Synpcc7942_0005,permease,Synpcc7942_0005,tier1:gene ID
gene-H6G84_RS07795,0.90984744,8.4376e-08,2.72999e-07,WP_011377398.1,Synpcc7942_0007,YtxH domain-containing protein,Synpcc7942_0007,tier1:gene ID
gene-H6G84_RS07775,-1.048366819,4.94005e-08,1.64607e-07,WP_011377400.1,Synpcc7942_0011,hypothetical protein,Synpcc7942_0011,tier1:gene ID
gene-H6G84_RS07770,-1.048364023,8.33545e-09,3.02433e-08,WP_011377401.1,rpsF rps6 Synpcc7942_0012,30S ribosomal protein S6,Synpcc7942_0012,tier1:gene ID
gene-H6G84_RS07735,-0.155453066,0.289454632,0.342059533,WP_011377402.1,glyS Synpcc7942_0018,glycine--tRNA ligase subunit beta,Synpcc7942_0018,tier1:gene ID
gene-H6G84_RS07730,-0.4342258,0.009970393,0.016149143,WP_011377403.1,sir Synpcc7942_0019,sulfite reductase%2C ferredoxin dependent,Synpcc7942_0019,tier1:gene ID
gene-H6G84_RS07715,0.188667543,0.226072229,0.275044278,WP_011377404.1,Synpcc7942_0022,pentapeptide repeat-containing protein,Synpcc7942_0022,tier1:gene ID
gene-H6G84_RS07705,-1.278513961,6.92445e-09,2.54118e-08,WP_011377405.1,Synpcc7942_0024,DUF4336 domain-containing protein,Synpcc7942_0024,tier1:gene ID
gene-H6G84_RS07685,0.420528902,0.038372946,0.055333117,WP_011377407.1,Synpcc7942_0028,alpha/beta hydrolase,Synpcc7942_0028,tier1:gene ID
gene-H6G84_RS07650,-1.23200678,3.07385e-05,7.3004e-05,WP_011377409.1,Synpcc7942_0035,hypothetical protein,Synpcc7942_0035,tier1:gene ID
gene-H6G84_RS07645,-2.236648186,1.3312299999999999e-20,1.38232e-19,WP_011377410.1,Synpcc7942_0036,hypothetical protein,Synpcc7942_0036,tier1:gene ID
gene-H6G84_RS07640,0.244223418,0.431375011,0.485364827,WP_011377411.1,Synpcc7942_0037,hypothetical protein,Synpcc7942_0037,tier1:gene ID
gene-H6G84_RS07635,-0.664803761,0.006558161,0.010928871,WP_011377412.1,Synpcc7942_0038,NUDIX hydrolase,Synpcc7942_0038,tier1:gene ID
gene-H6G84_RS07630,0.078286092,0.684161412,0.725027066,WP_011377413.1,gnd Synpcc7942_0039,NADP-dependent phosphogluconate dehydrogenase,Synpcc7942_0039,tier1:gene ID
gene-H6G84_RS07620,0.891816382,7.03651e-06,1.80737e-05,WP_011377414.1,Synpcc7942_0041,transporter,Synpcc7942_0041,tier1:gene ID
gene-H6G84_RS07605,1.101455249,1.41798e-11,6.95745e-11,WP_011377415.1,Synpcc7942_0044,FAD-dependent oxidoreductase,Synpcc7942_0044,tier1:gene ID
gene-H6G84_RS07590,-0.069333749,0.655156008,0.698155507,WP_011377417.1,Synpcc7942_0047,exostosin family protein,Synpcc7942_0047,tier1:gene ID
gene-H6G84_RS07570,-1.258818924,1.79351e-14,1.13858e-13,WP_011377420.1,Synpcc7942_0051,hypothetical protein,Synpcc7942_0051,tier1:gene ID
gene-H6G84_RS07545,-0.187763936,0.221521889,0.270367717,WP_011377422.1,Synpcc7942_0056,DegT/DnrJ/EryC1/StrS aminotransferase family protein,Synpcc7942_0056,tier1:gene ID
gene-H6G84_RS07530,-0.545224557,0.005920301,0.009943878,WP_011377423.1,Synpcc7942_0059,hypothetical protein,Synpcc7942_0059,tier1:gene ID
gene-H6G84_RS07525,-1.592595127,9.1916e-17,7.13748e-16,WP_011377425.1,Synpcc7942_0061,CDP-glucose 4%2C6-dehydratase,Synpcc7942_0061,tier1:gene ID
gene-H6G84_RS07510,-3.203106713,2.3642099999999998e-45,1.3476e-43,WP_011377426.1,,DUF2887 domain-containing protein,,unresolved
gene-H6G84_RS07485,-3.417318935,2.16753e-38,7.84704e-37,WP_011377428.1,Synpcc7942_0069,hypothetical protein,Synpcc7942_0069,tier1:gene ID
gene-H6G84_RS07460,0.923131521,0.011467751,0.018345095,WP_011377429.1,Synpcc7942_0074,hypothetical protein,Synpcc7942_0074,tier1:gene ID
gene-H6G84_RS07410,0.96966199,7.73864e-10,3.10822e-09,WP_011377432.1,Synpcc7942_0084,hypothetical protein,Synpcc7942_0084,tier1:gene ID
gene-H6G84_RS07405,0.546120716,0.000751077,0.001457014,WP_011377433.1,Synpcc7942_0085,HAD family phosphatase,Synpcc7942_0085,tier1:gene ID
gene-H6G84_RS07395,0.326186044,0.03292224,0.047986224,WP_011377434.1,Synpcc7942_0087,site-2 protease family protein,Synpcc7942_0087,tier1:gene ID
gene-H6G84_RS07355,-0.370656455,0.020196034,0.030619793,WP_011377435.1,tmk Synpcc7942_0093,dTMP kinase,Synpcc7942_0093,tier1:gene ID
gene-H6G84_RS07350,0.192980465,0.29317996,0.345851657,WP_011377436.1,Synpcc7942_0094,DNA polymerase III subunit delta',Synpcc7942_0094,tier1:gene ID
gene-H6G84_RS07335,0.404683654,0.01334304,0.021027062,WP_011377438.1,Synpcc7942_0097,cobaltochelatase subunit CobN,Synpcc7942_0097,tier1:gene ID
gene-H6G84_RS07320,-2.200245011,1.17604e-15,8.31293e-15,WP_011377439.1,Synpcc7942_0100,hypothetical protein,Synpcc7942_0100,tier1:gene ID
gene-H6G84_RS07315,1.688286042,7.27432e-23,9.06415e-22,WP_011377440.1,Synpcc7942_0101,NAD(P)/FAD-dependent oxidoreductase,Synpcc7942_0101,tier1:gene ID
gene-H6G84_RS07310,1.106381761,1.25978e-12,6.85965e-12,WP_011377441.1,Synpcc7942_0102,Uma2 family endonuclease,Synpcc7942_0102,tier1:gene ID
gene-H6G84_RS07295,0.923126509,3.42201e-09,1.29669e-08,WP_011377443.1,nadE Synpcc7942_0105,NAD+ synthase,Synpcc7942_0105,tier1:gene ID
gene-H6G84_RS07275,0.107149033,0.51135876,0.565385934,WP_011377445.1,Synpcc7942_0109,DNA starvation/stationary phase protection protein,Synpcc7942_0109,tier1:gene ID
gene-H6G84_RS07270,0.016011459,0.91517316,0.927989741,WP_011377446.1,,helix-turn-helix transcriptional regulator,,unresolved
gene-H6G84_RS07245,0.85479509,0.000113126,0.000247197,WP_011377449.1,Synpcc7942_0115,cupin domain-containing protein,Synpcc7942_0115,tier1:gene ID
gene-H6G84_RS07230,0.458596268,0.005354799,0.009056506,WP_011377450.1,gatB Synpcc7942_0118,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,Synpcc7942_0118,tier1:gene ID
gene-H6G84_RS07215,-0.670738363,0.00628867,0.010516446,WP_011377451.1,,nucleoside deaminase,,unresolved
gene-H6G84_RS07210,-0.986601612,1.33553e-08,4.73893e-08,WP_011377452.1,Synpcc7942_0121,lipid-A-disaccharide synthase-related protein,Synpcc7942_0121,tier1:gene ID
gene-H6G84_RS07180,-0.087304246,0.596937595,0.645097143,WP_011377454.1,Synpcc7942_0126,enoyl-ACP reductase FabI,Synpcc7942_0126,tier1:gene ID
gene-H6G84_RS07160,-0.423345999,0.004497231,0.007718181,WP_011377455.1,Synpcc7942_0130,hypothetical protein,Synpcc7942_0130,tier1:gene ID
gene-H6G84_RS07155,0.280340403,0.086879376,0.116433141,WP_011377456.1,Synpcc7942_0131,cyclic nucleotide-binding domain-containing protein,Synpcc7942_0131,tier1:gene ID
gene-H6G84_RS07140,0.154736935,0.273387922,0.325369278,WP_011377459.1,Synpcc7942_0134,O-antigen ligase family protein,Synpcc7942_0134,tier1:gene ID
gene-H6G84_RS07120,-0.854639218,9.21794e-09,3.3192e-08,WP_011377460.1,Synpcc7942_0138,M23 family metallopeptidase,Synpcc7942_0138,tier1:gene ID
gene-H6G84_RS07105,0.485152889,0.002362066,0.004246963,WP_011377462.1,secF Synpcc7942_0141,protein translocase subunit SecF,Synpcc7942_0141,tier1:gene ID
gene-H6G84_RS07100,0.715810681,2.08022e-05,5.03879e-05,WP_011377463.1,secD Synpcc7942_0142,protein translocase subunit SecD,Synpcc7942_0142,tier1:gene ID
gene-H6G84_RS07095,-1.084296124,4.62091e-11,2.12705e-10,WP_011377464.1,Synpcc7942_0143,alpha-ketoacid dehydrogenase subunit beta,Synpcc7942_0143,tier1:gene ID
gene-H6G84_RS07080,0.140922785,0.354946425,0.409871325,WP_011377465.1,Synpcc7942_0146,hypothetical protein,Synpcc7942_0146,tier1:gene ID
gene-H6G84_RS07070,-0.582552622,4.76292e-05,0.000109809,WP_011377466.1,Synpcc7942_0148,bifunctional aminoglycoside phosphotransferase/ATP-binding protein,Synpcc7942_0148,tier1:gene ID
gene-H6G84_RS07065,0.116092217,0.587501769,0.636183201,WP_011377467.1,Synpcc7942_0149,methylated-DNA--[protein]-cysteine S-methyltransferase,Synpcc7942_0149,tier1:gene ID
gene-H6G84_RS07055,-1.087573964,2.29258e-11,1.0948e-10,WP_011377469.1,,response regulator,,unresolved
gene-H6G84_RS07035,-0.47142464,0.053145627,0.074309569,WP_011377471.1,Synpcc7942_0155,hypothetical protein,Synpcc7942_0155,tier1:gene ID
gene-H6G84_RS07020,0.365451852,0.025376433,0.037747621,WP_011377472.1,Synpcc7942_0158,molybdopterin-synthase adenylyltransferase MoeB,Synpcc7942_0158,tier1:gene ID
gene-H6G84_RS06965,-0.971468168,1.78611e-11,8.65278e-11,WP_011377474.1,Synpcc7942_0168,hypothetical protein,Synpcc7942_0168,tier1:gene ID
gene-H6G84_RS06945,-0.31469856,0.104824423,0.137322557,WP_011377476.1,Synpcc7942_0172,hypothetical protein,Synpcc7942_0172,tier1:gene ID
gene-H6G84_RS06930,-0.343483331,0.156390176,0.197907077,WP_011377477.1,Synpcc7942_0175,lipopolysaccharide assembly protein LapA domain-containing protein,Synpcc7942_0175,tier1:gene ID
