Operon profiles of Prochlorococcus MED4,,,,,,,,,,,,,,,,,,,,,,,,,
Operon_ID,start,end,strand,length,Num. of genes,sysName,,,,,,,,,,,,,,,,,,,
186,683454,684012,+,559,2,PMM0719,HyPMM90,,,,,,,,,,,,,,,,,,
187,686833,688537,+,1705,2,PMM0724,PMM0725,,,,,,,,,,,,,,,,,,
188,692919,689797,-,3123,2,PMM0727,PMM0728,,,,,,,,,,,,,,,,,,
189,701269,700040,-,1230,4,HyPMM97,PMM0736,HyPMM98,PMM0737,,,,,,,,,,,,,,,,
190,702343,702586,+,244,2,PMM0740,HyPMM100,,,,,,,,,,,,,,,,,,
191,708593,706117,-,2477,2,PMM0745,PMM0746,,,,,,,,,,,,,,,,,,
192,708634,715962,+,7329,9,PMM0747,PMM0748,PMM0749,PMM0750,PMM0751,PMM0752,PMM0753,PMM0754,PMM0755,,,,,,,,,,,
193,725513,728423,+,2911,3,PMM0762,PMM0763,PMM0764,,,,,,,,,,,,,,,,,
194,730434,732754,+,2321,2,PMM0767,PMM0768,,,,,,,,,,,,,,,,,,
195,736461,737385,+,925,2,PMM0772,PMM0773,,,,,,,,,,,,,,,,,,
196,740043,737403,-,2641,3,PMM0774,PMM0775,PMM0776,,,,,,,,,,,,,,,,,
197,740106,741683,+,1578,2,PMM0777,PMM0778,,,,,,,,,,,,,,,,,,
198,742007,742924,+,918,2,PMM0779,PMM0780,,,,,,,,,,,,,,,,,,
199,747649,745688,-,1962,2,PMM0784,PMM0785,,,,,,,,,,,,,,,,,,
200,753545,752038,-,1508,2,PMM0791,PMM0792,,,,,,,,,,,,,,,,,,
201,756909,754730,-,2180,2,PMM0794,PMM0795,,,,,,,,,,,,,,,,,,
202,761605,760044,-,1562,3,PMM0800,PMM0801,PMM0802,,,,,,,,,,,,,,,,,
203,764442,763548,-,895,2,PMM0805,PMM0806,,,,,,,,,,,,,,,,,,
204,767001,764766,-,2236,2,PMM0807,PMM0808,,,,,,,,,,,,,,,,,,
205,773800,772787,-,1014,5,HyPMM109,PMM0815,PMM0816,PMM0817,PMM0818,,,,,,,,,,,,,,,
206,775021,774177,-,845,4,HyPMM110,HyPMM111,PMM0819,PMM0820,,,,,,,,,,,,,,,,
207,777483,776396,-,1088,2,RNA_27,PMM0821,,,,,,,,,,,,,,,,,,
208,778961,777485,-,1477,3,PMM0822,PMM0823,PMM0824,,,,,,,,,,,,,,,,,
209,784387,786166,+,1780,3,PMM0828,PMM0829,PMM0830,,,,,,,,,,,,,,,,,
210,784444,782376,-,2069,2,PMM0826,PMM0827,,,,,,,,,,,,,,,,,,
211,790292,791785,+,1494,2,PMM0832,PMM0833,,,,,,,,,,,,,,,,,,
212,803074,799312,-,3763,3,PMM0841,PMM0842,PMM0843,,,,,,,,,,,,,,,,,
213,804919,803112,-,1808,2,PMM0844,PMM0845,,,,,,,,,,,,,,,,,,
214,808434,807807,-,628,2,PMM0848,PMM0849,,,,,,,,,,,,,,,,,,
215,808860,809708,+,849,2,HyPMM113,PMM0851,,,,,,,,,,,,,,,,,,
216,814460,814009,-,452,2,PMM0857,HyPMM116,,,,,,,,,,,,,,,,,,
217,816334,816587,+,254,2,HyPMM121,HyPMM122,,,,,,,,,,,,,,,,,,
218,817042,817568,+,527,2,HyPMM123,HyPMM124,,,,,,,,,,,,,,,,,,
219,819133,819632,+,500,2,PMM0861,HyPMM127,,,,,,,,,,,,,,,,,,
220,821686,820328,-,1359,3,PMM0862,PMM0863,PMM0864,,,,,,,,,,,,,,,,,
221,824575,822421,-,2155,2,PMM0866,PMM0867,,,,,,,,,,,,,,,,,,
222,826283,824635,-,1649,3,PMM0868,PMM0869,PMM0870,,,,,,,,,,,,,,,,,
223,837108,832609,-,4500,2,PMM0877,PMM0878,,,,,,,,,,,,,,,,,,
224,842158,840919,-,1240,2,PMM0880,PMM0881,,,,,,,,,,,,,,,,,,
225,844682,842214,-,2469,2,PMM0882,PMM0883,,,,,,,,,,,,,,,,,,
226,849130,847097,-,2034,2,PMM0887,PMM0888,,,,,,,,,,,,,,,,,,
227,857960,857094,-,867,2,PMM0894,PMM0895,,,,,,,,,,,,,,,,,,
228,860917,857995,-,2923,2,PMM0896,PMM0897,,,,,,,,,,,,,,,,,,
229,861281,863682,+,2402,3,PMM0898,PMM0899,PMM0900,,,,,,,,,,,,,,,,,
230,871171,871963,+,793,2,PMM0909,PMM0910,,,,,,,,,,,,,,,,,,
231,882897,884227,+,1331,2,PMM0921,PMM0922,,,,,,,,,,,,,,,,,,
232,885443,884216,-,1228,2,PMM0923,PMM0924,,,,,,,,,,,,,,,,,,
233,891578,889131,-,2448,2,PMM0929,PMM0930,,,,,,,,,,,,,,,,,,
234,893874,891762,-,2113,3,PMM0931,PMM0932,PMM0933,,,,,,,,,,,,,,,,,
235,894799,896474,+,1676,2,PMM0936,PMM0937,,,,,,,,,,,,,,,,,,
236,901061,901786,+,726,2,PMM0943,PMM0944,,,,,,,,,,,,,,,,,,
237,907093,901788,-,5306,3,PMM0945,PMM0946,PMM0947,,,,,,,,,,,,,,,,,
238,910459,908496,-,1964,3,PMM0949,PMM0950,PMM0951,,,,,,,,,,,,,,,,,
239,911909,914515,+,2607,3,PMM0954,PMM0955,RNA_7,,,,,,,,,,,,,,,,,
240,920110,916593,-,3518,3,PMM0959,PMM0960,PMM0961,,,,,,,,,,,,,,,,,
241,924678,921384,-,3295,4,PMM0963,PMM0964,PMM0965,PMM0966,,,,,,,,,,,,,,,,
242,925168,931720,+,6553,7,PMM0968,PMM0969,PMM0970,PMM0971,PMM0972,PMM0973,PMM0974,,,,,,,,,,,,,
243,936539,936046,-,494,2,PMM0979,PMM0980,,,,,,,,,,,,,,,,,,
244,939188,939668,+,481,2,HyPMM137,HyPMM138,,,,,,,,,,,,,,,,,,
245,940471,941053,+,583,2,HyPMM139,PMM0985,,,,,,,,,,,,,,,,,,
246,946932,947727,+,796,2,PMM0994,PMM0995,,,,,,,,,,,,,,,,,,
247,947821,948766,+,946,4,HyPMM141,PMM0996,HyPMM142,HyPMM143,,,,,,,,,,,,,,,,
248,949307,948798,-,510,2,PMM0997,HyPMM144,,,,,,,,,,,,,,,,,,
249,950017,950551,+,535,2,PMM0999,PMM1000,,,,,,,,,,,,,,,,,,
250,951678,954528,+,2851,2,HyPMM145,PMM1002,,,,,,,,,,,,,,,,,,
251,956880,955448,-,1433,2,PMM1004,PMM1005,,,,,,,,,,,,,,,,,,
252,958893,960188,+,1296,2,PMM1009,PMM1010,,,,,,,,,,,,,,,,,,
253,960676,960222,-,455,2,HyPMM148,PMM1011,,,,,,,,,,,,,,,,,,
254,965710,965317,-,394,2,PMM1018a,HyPMM153,,,,,,,,,,,,,,,,,,
255,969422,970361,+,940,3,PMM1023,PMM1024,PMM1025,,,,,,,,,,,,,,,,,
256,972744,973394,+,651,3,HyPMM162,PMM1028,HyPMM163,,,,,,,,,,,,,,,,,
257,975567,979494,+,3928,3,PMM1032,PMM1033,PMM1034,,,,,,,,,,,,,,,,,
258,981347,980848,-,500,2,PMM1036,PMM1037,,,,,,,,,,,,,,,,,,
259,981474,984734,+,3261,3,PMM1038,PMM1039,PMM1040,,,,,,,,,,,,,,,,,
260,993541,990673,-,2869,3,PMM1048,PMM1049,PMM1050,,,,,,,,,,,,,,,,,
261,997537,995971,-,1567,2,PMM1054,PMM1055,,,,,,,,,,,,,,,,,,
262,998954,997801,-,1154,2,PMM1056,PMM1057,,,,,,,,,,,,,,,,,,
263,1002019,999094,-,2926,5,PMM1059,PMM1060,PMM1061,Yfr1,PMM1062,,,,,,,,,,,,,,,
264,1002199,1006038,+,3840,2,PMM1063,PMM1064,,,,,,,,,,,,,,,,,,
265,1007864,1009987,+,2124,2,PMM1066,PMM1067,,,,,,,,,,,,,,,,,,
266,1011546,1013876,+,2331,3,PMM1069,PMM1070,PMM1071,,,,,,,,,,,,,,,,,
267,1019336,1013873,-,5464,4,PMM1072,PMM1073,PMM1074,PMM1075,,,,,,,,,,,,,,,,
268,1021315,1020083,-,1233,2,RNA_24,PMM1077,,,,,,,,,,,,,,,,,,
269,1027581,1029845,+,2265,2,PMM1084,PMM1085,,,,,,,,,,,,,,,,,,
270,1034552,1030915,-,3638,2,PMM1087,PMM1088,,,,,,,,,,,,,,,,,,
271,1035266,1040309,+,5044,5,PMM1090,PMM1091,PMM1092,PMM1093,PMM1094,,,,,,,,,,,,,,,
272,1042320,1040819,-,1502,2,PMM1096,PMM1097,,,,,,,,,,,,,,,,,,
273,1052308,1046989,-,5320,2,PMM1102,PMM1103,,,,,,,,,,,,,,,,,,
274,1057039,1052805,-,4235,3,PMM1105,PMM1106,PMM1107,,,,,,,,,,,,,,,,,
275,1057133,1058940,+,1808,4,PMM1108,PMM1109,PMM1110,PMM1111,,,,,,,,,,,,,,,,
276,1063692,1060599,-,3094,3,PMM1115,PMM1116,PMM1117,,,,,,,,,,,,,,,,,
277,1072454,1071671,-,784,2,PMM1123,HyPMM169,,,,,,,,,,,,,,,,,,
278,1080400,1079979,-,422,2,HyPMM171,PMM1129,,,,,,,,,,,,,,,,,,
