sysName,locus_tag,start,stop,strand,Core/Flexible,ExpressionLevel,name,desc,COG,COGFun,COGDesc,resolved_locus_tag,resolution_method
PMM0114,PMED4_01201,114476.0,114946.0,-,Core,MEG,PMM0114,Predicted integral membrane protein  (Katherine Huang),COG5637,S,Predicted integral membrane protein,PMM0114,locus_tag:sysName
PMM0115,PMED4_01211,114949.0,116403.0,-,Core,MEG,crtQ,zeta-carotene desaturase (NCBI),COG3349,S,Uncharacterized conserved protein,PMM0115,locus_tag:sysName
PMM0116,PMED4_01221,116503.0,116895.0,+,Core,HEG,PMM0116,Uncharacterized conserved protein (Katherine Huang),COG316,S,Uncharacterized conserved protein,PMM0116,locus_tag:sysName
PMM0117,PMED4_01231,116904.0,117332.0,+,Core,HEG,PMM0117,conserved hypothetical protein (NCBI),,,,PMM0117,locus_tag:sysName
PMM0118,PMED4_01241,117334.0,118533.0,+,Flexible,VEG,PMM0118,Uncharacterized protein conserved in bacteria (Katherine Huang),COG4370,S,Uncharacterized protein conserved in bacteria,PMM0118,locus_tag:sysName
PMM0119,PMED4_01251,118530.0,118799.0,+,Flexible,MEG,PMM0119,conserved hypothetical protein (NCBI),,,,PMM0119,locus_tag:sysName
PMM0120,PMED4_01261,118750.0,119682.0,-,Core,MEG,PMM0120,putative cell division inhibitor (NCBI),COG1090,R,Predicted nucleoside-diphosphate sugar epimerase,PMM0120,locus_tag:sysName
PMM0121,PMED4_01271,119826.0,120068.0,+,Core,VEG,PMM0121,conserved hypothetical protein (NCBI),,,,PMM0121,locus_tag:sysName
PMM0122,PMED4_01281,120073.0,120750.0,-,Core,VEG,PMM0122,possible heat shock protein DnaJ (NCBI),COG2214,O,DnaJ-class molecular chaperone,PMM0122,locus_tag:sysName
PMM0123,PMED4_01291,120767.0,121735.0,-,Core,MEG,cysK2,O-acetylserine (thiol)-lyase A (NCBI),COG31,E,Cysteine synthase,PMM0123,locus_tag:sysName
PMM0124,PMED4_01301,121892.0,122161.0,+,Core,MEG,PMM0124,conserved hypothetical protein in cyanobacteria (NCBI),,,,PMM0124,locus_tag:sysName
PMM0125,PMED4_01311,122163.0,122846.0,+,Core,MEG,PMM0125,"possible ABC transporter, ATP-binding component (NCBI)",COG1122,P,"ABC-type cobalt transport system, ATPase component",PMM0125,locus_tag:sysName
RNA_1,--,122896.0,122967.0,+,,--,tRNA-Asn1,tRNA-Asn (NCBI),,,,,unresolved
PMM0126,PMED4_01321,123319.0,124260.0,+,Flexible,MEG,PMM0126,possible Herpesvirus UL6 like (NCBI),,,,PMM0126,locus_tag:sysName
PMM0127,PMED4_01331,124573.0,124932.0,-,Flexible,VEG,PMM0127,possible Signal peptide binding domain (NCBI),,,,PMM0127,locus_tag:sysName
PMM0128,PMED4_01341,125358.0,126113.0,+,Core,HEG,rpaA,two-component response regulator (NCBI),COG745,TK,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,PMM0128,locus_tag:sysName
PMM0129,PMED4_01351,126143.0,127102.0,-,Core,VEG,holB,"DNA polymerase III, delta prime subunit (NCBI)",COG470,L,ATPase involved in DNA replication,PMM0129,locus_tag:sysName
PMM0130,PMED4_01361,127095.0,127739.0,-,Core,VEG,tmk,Thymidylate kinase (NCBI),COG125,F,Thymidylate kinase,PMM0130,locus_tag:sysName
PMM0131,PMED4_01371,127740.0,130037.0,-,Core,MEG,zntA,putative P-type ATPase transporter for copper (NCBI),COG2217,P,Cation transport ATPase,PMM0131,locus_tag:sysName
PMM0132,PMED4_01381,130155.0,130676.0,+,Core,MEG,PMM0132,cyanobacterial conserved hypothetical (NCBI),,,,PMM0132,locus_tag:sysName
PMM0133,PMED4_01391,130689.0,132041.0,-,Core,MEG,sms,putative DNA repair protein RadA (NCBI),COG1066,O,Predicted ATP-dependent serine protease,PMM0133,locus_tag:sysName
PMM0134,PMED4_01401,132148.0,132894.0,+,Core,MEG,rpaB,two-component response regulator (NCBI),COG745,TK,Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,PMM0134,locus_tag:sysName
PMM0135,PMED4_01411,132895.0,134295.0,+,Core,MEG,plsX,fatty acid/phospholipid synthesis protein PlsX (NCBI),COG416,I,Fatty acid/phospholipid biosynthesis enzyme,PMM0135,locus_tag:sysName
