Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1,Light 3,Light 5,Light Glu nM 1,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 3,Darkness 5,Darkness Glu nM 1,Darkness Glu nM 3,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120
A0A359K1S1,4,4,12.02954,Lysine--tRNA ligase OS=Alteromonas sp. OX=232 GN=lysS PE=3 SV=1,751159.3,270881.5,1303957,404417.4,3132991,985541.7,3348666,1335690,5025294,294058,550095.6,3239577,568887.9,231290.6,2633764,413551.1,715639.3,603068.6,4398792,257419.6,833913.8,583563.2,1378980,713537,1196626,300198.5,3476141,0.001374,0.001028,0.002874,0.001468,0.001623,0.001484,0.00023,0.000748,0.000352,0.000308,0.001098,0.00147,0.000416,0.000948,0.000718,0.000667,0.000617,0.007895,Lysine--tRNA ligase OS=Alteromonas sp. OX=232 GN=lysS PE=3 SV=1,0.001758,0.001525,0.000443,0.000958,0.000778,0.003424,0.366,0.87,0.091,0.25,0.204,0.81,0.218,3.57,Lysine--tRNA ligase OS=Alteromonas sp. OX=232 GN=lysS PE=3 SV=1
A0A359KBF7,5,5,32.69126,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,2175855,3746616,4905200,2145719,10310776,2855072,12230991,4576288,16305348,62220623,56098301,1.95E+08,44988991,1701466,5405690,1426692,5540509,2380970,7943705,3246564,9655765,2686222,9300768,4698231,75112374,16271475,11736762,0.003981,0.003866,0.009457,0.004252,0.00556,0.004815,0.048604,0.045068,0.027876,0.002264,0.003787,0.005803,0.00525,0.004366,0.004728,0.041875,0.033447,0.026658,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1,0.005768,0.004875,0.040516,0.003951,0.01699,0.021957,0.344,0.85,0.026,7.02,0.277,4.3,0.016,5.56,Malate dehydrogenase OS=Alteromonas sp. OX=232 GN=mdh PE=3 SV=1
A0A359K9N9,2,2,11.31525,Methionine--tRNA ligase OS=Alteromonas sp. OX=232 GN=metG PE=3 SV=1,215972.6,191044.3,183362.1,81897.58,124463.7,182422.5,327589.7,108553.4,251199.1,2171177,2340413,6114273,1849303,77919.43,103110.5,56794.54,107230.1,76337.34,695700.7,259932.5,308245.8,127599,205093.6,121115,2855870,801885.1,163390.1,0.000395,0.000145,0.000114,0.000272,0.000132,7.42E-05,0.001696,0.001411,0.001146,0.000104,0.000151,0.000186,0.00042,0.000207,0.000122,0.001592,0.001648,0.000371,Methionine--tRNA ligase OS=Alteromonas sp. OX=232 GN=metG PE=3 SV=1,0.000218,0.000159,0.001418,0.000147,0.00064,0.000746,0.11,0.73,0.002,6.51,0.228,4.36,0.068,5.08,Methionine--tRNA ligase OS=Alteromonas sp. OX=232 GN=metG PE=3 SV=1
A0A359K8A9,4,4,15.86703,Molecular chaperone HtpG (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_13095 PE=3 SV=1,312450.9,560919.4,594010.1,368693.9,5407712,310084.7,3284147,420785.7,5157633,8060204,4105009,15233404,4626869,519521.1,834943.9,164005.7,548726.7,259284.3,4744821,248413,3851008,280671.4,4573615,727707.6,4018417,2528860,2391342,0.000572,0.000468,0.00496,0.000462,0.000511,0.001523,0.006296,0.003516,0.002867,0.000691,0.000435,0.000632,0.000402,0.000456,0.000732,0.00224,0.005198,0.005431,Molecular chaperone HtpG (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_13095 PE=3 SV=1,0.002,0.000832,0.004226,0.000586,0.001143,0.00421,0.206,0.42,0.217,2.11,0.342,1.95,0.038,7.18,Molecular chaperone HtpG (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_13095 PE=3 SV=1
A0A359K390,3,3,11.93067,NAD-dependent malic enzyme OS=Alteromonas sp. OX=232 GN=DEH24_07915 PE=3 SV=1,46847.16,35243.65,37761.53,34763.25,58159.74,146945,40670.05,139091.8,21220.19,42049.99,1460775,3259864,692660.7,76753.47,62796.91,33929.61,168.9118,36215.42,2188740,108063.3,32457.64,11617.71,8977.309,85054.66,217881.2,299859.8,271649.7,8.57E-05,2.98E-05,5.33E-05,0.000219,0.000169,6.27E-06,3.28E-05,0.000752,0.000429,0.000102,9.01E-05,8.83E-05,0.000175,1.89E-05,8.56E-05,0.000121,0.000616,0.000617,NAD-dependent malic enzyme OS=Alteromonas sp. OX=232 GN=DEH24_07915 PE=3 SV=1,5.63E-05,0.000131,0.000405,9.35E-05,7.53E-05,0.00043,0.172,2.33,0.13,7.19,0.496,0.81,0.084,4.6,NAD-dependent malic enzyme OS=Alteromonas sp. OX=232 GN=DEH24_07915 PE=3 SV=1
A0A359K060,2,2,22.3048,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02500 PE=4 SV=1,651365.5,1281514,804117.2,400836.6,1175632,864379.3,215830.8,539741.5,236700.7,9000682,6755665,15399922,6319900,243141,952714.1,252822.2,212185.2,283338.9,1121754,659026.9,1378882,407929.6,915629.8,704035.4,5626406,1833259,1693757,0.001192,0.000634,0.001078,0.001287,0.000656,6.99E-05,0.007031,0.003554,0.003916,0.000324,0.000671,0.000691,0.001066,0.000663,0.000708,0.003137,0.003768,0.003847,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02500 PE=4 SV=1,0.000968,0.000671,0.004834,0.000562,0.001503,0.002861,0.246,0.69,0.03,4.99,0.208,2.68,0.001,5.09,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_02500 PE=4 SV=1
A0A359K9X1,9,9,46.17017,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,481492.3,423015.5,1179671,215369.7,1553755,597518.9,3346252,501594.1,2128795,24656127,18274383,52141081,24176772,197690.6,1487722,112795.7,651690.6,406873.7,1077008,361864,847289.7,319865.7,1549126,476850.1,24522556,5330375,2592734,0.000881,0.00093,0.001425,0.00089,0.000609,0.000629,0.01926,0.012035,0.01498,0.000263,0.000299,0.000992,0.000585,0.00052,0.00048,0.013671,0.010957,0.005889,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1,0.001079,0.000709,0.015425,0.000518,0.00489,0.005975,0.127,0.66,0.011,14.3,0.486,9.44,0.031,11.53,NADP-dependent isocitrate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15880 PE=4 SV=1
A0A359K7K2,2,2,6.735249,Nucleoid-associated protein DEH24_15635 OS=Alteromonas sp. OX=232 GN=DEH24_15635 PE=3 SV=1,462863.9,131356.9,315757.3,140429.2,355970.5,65550.89,1025136,422847.7,1966006,696902.3,442269.2,2121824,70024.82,174003.4,208808.4,98647.06,270450.8,156369,298502.6,262713.8,285029.3,146096.5,749028.5,266651.1,824903.6,49645.87,150787.4,0.000847,0.000249,0.000326,9.76E-05,0.000514,0.000581,0.000544,0.00049,4.34E-05,0.000232,0.000262,0.000381,0.000425,0.000237,0.000268,0.00046,0.000102,0.000342,Nucleoid-associated protein DEH24_15635 OS=Alteromonas sp. OX=232 GN=DEH24_15635 PE=3 SV=1,0.000474,0.000397,0.000359,0.000291,0.000322,0.000306,0.42,0.84,0.292,0.76,0.428,1.1,0.469,1.05,Nucleoid-associated protein DEH24_15635 OS=Alteromonas sp. OX=232 GN=DEH24_15635 PE=3 SV=1
A0A2D5LH71,4,4,22.16572,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,1179973,1040746,3019729,1462504,6567615,1084084,2635752,2101475,6113721,59890726,22889462,1.18E+08,32570059,1213630,3263356,453078.9,602284.3,1043715,6116411,1421528,1616378,1207154,1690172,2509010,20615843,8532176,17021334,0.002159,0.00238,0.006024,0.001614,0.002553,0.001805,0.046784,0.027131,0.020181,0.001615,0.001203,0.002544,0.002299,0.001962,0.002525,0.011493,0.017538,0.03866,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1,0.003521,0.001991,0.031366,0.001787,0.005327,0.019907,0.189,0.57,0.045,8.91,0.098,2.98,0.06,11.14,Nucleoside diphosphate kinase OS=Alteromonas sp. OX=232 GN=ndk PE=3 SV=1
A0A359K422,2,2,5.879031,Orotidine 5'-phosphate decarboxylase OS=Alteromonas sp. OX=232 GN=pyrF PE=3 SV=1,6347.633,0,0,708.3633,556.9397,0,3096.103,0,3577.758,234466.2,1352.411,4207.177,65582.12,255.6926,2648.617,1045.321,1474.28,0,54127.71,1986.388,0,274.1138,351.0261,686.8264,12243.04,16692.99,10749.75,1.16E-05,0,5.11E-07,0,0,1.06E-06,0.000183,9.71E-07,4.06E-05,3.40E-07,2.77E-06,0,3.21E-06,4.46E-07,6.91E-07,6.83E-06,3.43E-05,2.44E-05,Orotidine 5'-phosphate decarboxylase OS=Alteromonas sp. OX=232 GN=pyrF PE=3 SV=1,4.04E-06,3.52E-07,7.49E-05,1.04E-06,2.65E-06,2.09E-05,0.225,0.09,0.152,18.54,0.405,2.56,0.054,20.15,Orotidine 5'-phosphate decarboxylase OS=Alteromonas sp. OX=232 GN=pyrF PE=3 SV=1
A0A359K5P7,4,4,13.35277,Oxoglutarate dehydrogenase (succinyl-transferring) (Fragment) OS=Alteromonas sp. OX=232 GN=sucA PE=4 SV=1,451153.9,836848.4,1077448,615905.6,2154218,277208.7,1722570,708045.8,3585060,4423835,6009241,12312019,4786723,359210.9,2728428,244674.7,832005.1,385144,4895144,565798.9,2354272,677556.5,1878147,809590.7,10274624,1787028,1420978,0.000825,0.000849,0.001976,0.000413,0.00086,0.001059,0.003456,0.002842,0.002966,0.000478,0.00065,0.000939,0.000915,0.001101,0.000815,0.005728,0.003673,0.003227,Oxoglutarate dehydrogenase (succinyl-transferring) (Fragment) OS=Alteromonas sp. OX=232 GN=sucA PE=4 SV=1,0.001217,0.000777,0.003088,0.000689,0.002548,0.002706,0.122,0.64,0.03,2.54,0.155,3.7,0.029,3.93,Oxoglutarate dehydrogenase (succinyl-transferring) (Fragment) OS=Alteromonas sp. OX=232 GN=sucA PE=4 SV=1
A0A359K3H3,2,2,21.44571,Periplasmic serine endoprotease DegP-like OS=Alteromonas sp. OX=232 GN=DEH24_08430 PE=3 SV=1,85128.68,226428.5,277994,88146.88,299900,137805.8,998052.4,99848.39,479293.5,953793.9,1682901,318951.7,2219292,65866.74,93729.93,38352.84,163999.2,78786.94,372443,97969.95,368869.1,124781.6,865242.4,140197.9,2956843,928327.4,137646.1,0.000156,0.000219,0.000275,0.000205,0.000121,0.000142,0.000745,7.36E-05,0.001375,8.76E-05,0.000102,0.000192,0.000158,0.000203,0.000141,0.001648,0.001908,0.000313,Periplasmic serine endoprotease DegP-like OS=Alteromonas sp. OX=232 GN=DEH24_08430 PE=3 SV=1,0.000217,0.000156,0.000731,0.000127,0.000664,0.000812,0.196,0.72,0.145,3.38,0.239,5.22,0.079,6.39,Periplasmic serine endoprotease DegP-like OS=Alteromonas sp. OX=232 GN=DEH24_08430 PE=3 SV=1
A0A359K2A9,2,2,11.87092,Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_05375 PE=3 SV=1,34331.6,437695.3,282712.3,91498.14,198945.3,43792,563710.3,183012.5,1987820,1594714,4165634,17313419,3583752,110176.1,242673.1,42336.96,392583.1,136691.4,346960.1,89398.92,1433771,132529.7,294060.2,194860.8,8111452,205000.9,487106.6,6.28E-05,0.000223,0.000182,6.52E-05,0.000222,0.000587,0.001246,0.003996,0.002221,0.000147,0.000112,0.000333,0.000145,0.000215,0.000196,0.004522,0.000421,0.001106,Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_05375 PE=3 SV=1,0.000156,0.000292,0.002487,0.000197,0.001645,0.000561,0.21,1.87,0.046,15.94,0.439,8.33,0.146,2.84,Phenylalanine--tRNA ligase alpha subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_05375 PE=3 SV=1
A0A359K230,2,2,10.8813,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_03225 PE=3 SV=1,105095,248024.7,252446.7,51984.21,320183.5,87085.61,1122699,113445.4,884265.3,375415,1146392,7002233,1943259,47233.87,346433.3,73316.29,320593.9,60520.58,395327.6,164431.8,763558.2,108610.8,439015.7,72389.39,1547232,275213.4,522349.9,0.000192,0.000199,0.000294,0.00013,0.000138,0.000261,0.000293,0.001616,0.001204,6.28E-05,0.000195,0.000147,0.000266,0.000177,7.28E-05,0.000863,0.000566,0.001186,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_03225 PE=3 SV=1,0.000228,0.000176,0.001038,0.000135,0.000371,0.00066,0.017,0.77,0.085,4.55,0.353,2.75,0.032,4.89,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_03225 PE=3 SV=1
A0A359K5L5,3,3,9.917603,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_12145 PE=3 SV=1,169024.2,182301.5,281776.4,134962.1,468524.4,220109.2,478673.7,195712.9,588927.2,563814.1,1650347,5241423,3405911,83237.92,127350.1,61001.8,60578.43,74956.3,1274207,96627.24,170384.6,138327,116654,181396.5,4169336,1074944,60745.51,0.000309,0.000222,0.00043,0.000328,0.000238,0.000174,0.00044,0.00121,0.00211,0.000111,0.000162,0.000183,0.000156,0.000225,0.000183,0.002324,0.00221,0.000138,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_12145 PE=3 SV=1,0.00032,0.000246,0.001254,0.000152,0.000911,0.000889,0.251,0.77,0.086,3.91,0.097,6,0.096,5.86,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Alteromonas sp. OX=232 GN=DEH24_12145 PE=3 SV=1
A0A359KAT0,3,3,14.19004,Phosphoenolpyruvate carboxylase OS=Alteromonas sp. OX=232 GN=ppc PE=3 SV=1,363043.7,541256.2,570182.6,336598.2,1190692,471815.7,1999686,437879.9,1886572,656566.2,3470323,9946035,2217923,375256.9,1105342,214358.9,996923.8,293881.8,220855,443339,1529567,505551.1,1048081,513859.4,5145980,1360209,2467173,0.000664,0.000449,0.001092,0.000703,0.000532,0.000557,0.000513,0.002296,0.001374,0.000499,0.000569,0.000716,0.000717,0.000822,0.000517,0.002869,0.002796,0.005604,Phosphoenolpyruvate carboxylase OS=Alteromonas sp. OX=232 GN=ppc PE=3 SV=1,0.000735,0.000597,0.001394,0.000595,0.001403,0.003045,0.28,0.81,0.195,1.9,0.299,2.36,0.034,5.12,Phosphoenolpyruvate carboxylase OS=Alteromonas sp. OX=232 GN=ppc PE=3 SV=1
A0A359K9U0,2,2,5.314686,Phosphogluconate dehydratase OS=Alteromonas sp. OX=232 GN=edd PE=3 SV=1,62660.66,98774.38,149931.7,49705.92,95195.58,66840.23,240891.3,59089.65,147905,3226032,3245578,5017489,4595579,28608.69,105444,30020.5,97882.46,34617.99,147875.3,35160.64,75866.43,36772.59,98274.1,340089.5,5873838,772669,357513.2,0.000115,0.000118,8.73E-05,9.95E-05,7.18E-05,4.37E-05,0.00252,0.001158,0.002848,3.81E-05,7.97E-05,8.44E-05,5.69E-05,5.98E-05,0.000342,0.003275,0.001588,0.000812,Phosphogluconate dehydratase OS=Alteromonas sp. OX=232 GN=edd PE=3 SV=1,0.000107,7.17E-05,0.002175,6.74E-05,0.001226,0.000836,0.036,0.67,0.029,20.39,0.214,18.19,0.066,12.4,Phosphogluconate dehydratase OS=Alteromonas sp. OX=232 GN=edd PE=3 SV=1
A0A359KAC8,2,2,5.195937,Phosphoglycerate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_16630 PE=4 SV=1,727810.9,2357512,701554.2,279903.9,936882.8,1869979,8588636,327943.7,2315980,7136696,4071233,24027678,3670850,460460.1,851338.9,238727.7,1103339,208279.5,6578117,439408.8,7515896,473808,1081400,584482.4,6163935,1526255,3087131,0.001332,0.000553,0.000859,0.002785,0.000398,0.000684,0.005575,0.005546,0.002275,0.000613,0.000634,0.000508,0.000711,0.00077,0.000588,0.003436,0.003137,0.007012,Phosphoglycerate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_16630 PE=4 SV=1,0.000915,0.001289,0.004465,0.000585,0.001598,0.003688,0.28,1.41,0.041,4.88,0.012,2.73,0.046,6.31,Phosphoglycerate dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_16630 PE=4 SV=1
A0A359K9N3,2,2,9.149108,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,144570,68764.58,144050.9,25383.82,135479.2,82835.76,327104.5,29999.2,199876.9,333768.9,7374266,11745191,5729101,7661.056,26539.44,45333.83,94424.15,34373.5,67882.82,155172.7,181858.1,82691.23,238427.1,39671.07,11728453,234695.4,464927.7,0.000264,0.000114,0.000124,0.000123,3.64E-05,5.90E-05,0.000261,0.002711,0.00355,1.02E-05,0.00012,8.38E-05,0.000251,0.000134,3.99E-05,0.006539,0.000482,0.001056,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1,0.000167,7.29E-05,0.002174,7.14E-05,0.002238,0.000569,0.028,0.44,0.096,12.98,0.252,31.32,0.157,7.96,Phosphoglycerate kinase OS=Alteromonas sp. OX=232 GN=pgk PE=3 SV=1
A0A359K6J3,4,4,21.24722,Phosphoribulokinase OS=Alteromonas sp. OX=232 GN=DEH24_13850 PE=3 SV=1,22678.92,35548.14,13769.4,4312.204,37147.94,113877.3,69840.61,17335.64,119219.3,943810.8,208827.9,942414.9,211431.7,15084.72,89343.05,2728.018,57424.62,7057.685,251122.2,23725.54,64522.71,23808.86,86253.96,13399.72,316267.7,57088.01,151842.3,4.15E-05,1.09E-05,3.41E-05,0.00017,2.11E-05,3.52E-05,0.000737,0.000218,0.000131,2.01E-05,7.24E-06,1.72E-05,3.84E-05,3.87E-05,1.35E-05,0.000176,0.000117,0.000345,Phosphoribulokinase OS=Alteromonas sp. OX=232 GN=DEH24_13850 PE=3 SV=1,2.88E-05,7.53E-05,0.000362,1.48E-05,7.62E-05,0.000164,0.187,2.61,0.106,12.56,0.137,5.13,0.048,11.03,Phosphoribulokinase OS=Alteromonas sp. OX=232 GN=DEH24_13850 PE=3 SV=1
A0A359K482,12,12,67.2961,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,3588155,3758253,6695815,2093558,6045239,2767848,11586862,5565260,11672392,42012664,79848797,1.48E+08,59043551,1788739,11614299,1395585,3348471,2601864,9199546,3718903,6443865,3169780,7100079,3835775,1.07E+08,15166901,11752864,0.006565,0.005277,0.005545,0.004122,0.006761,0.003447,0.032818,0.034235,0.036585,0.00238,0.003705,0.006341,0.006014,0.005152,0.00386,0.059612,0.031176,0.026694,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1,0.005795,0.004777,0.034546,0.004142,0.022875,0.021222,0.251,0.82,0.001,5.96,0.338,5.52,0.045,5.12,Polyribonucleotide nucleotidyltransferase OS=Alteromonas sp. OX=232 GN=pnp PE=3 SV=1
A0A359JZK5,6,6,23.29813,PrkA family serine protein kinase OS=Alteromonas sp. OX=232 GN=DEH24_01660 PE=4 SV=1,128458.7,364134.9,180847.6,77354.77,132993.2,124880.9,560364.4,52950.86,183200.4,3505178,890729.9,3642502,356391.1,79654.35,289341.5,38842.02,178452.6,70682.62,2344277,115816.7,627303.2,100601,249127.3,177946.5,1149562,284990.6,88836.2,0.000235,0.000143,0.000122,0.000186,6.43E-05,5.41E-05,0.002738,0.000841,0.000221,0.000106,0.000103,0.000172,0.000187,0.000164,0.000179,0.000641,0.000586,0.000202,PrkA family serine protein kinase OS=Alteromonas sp. OX=232 GN=DEH24_01660 PE=4 SV=1,0.000167,0.000101,0.001267,0.000127,0.000328,0.000318,0.008,0.61,0.134,7.61,0.078,2.58,0.081,2.5,PrkA family serine protein kinase OS=Alteromonas sp. OX=232 GN=DEH24_01660 PE=4 SV=1
A0A359K602,4,4,17.89936,Proline--tRNA ligase OS=Alteromonas sp. OX=232 GN=proS PE=3 SV=1,65021.17,109287,245922.3,74844.2,199292.6,71551.4,365726.8,84614.65,500066.4,475586.1,1834432,6387984,2000400,24904.39,69433.81,19004.97,213682.1,68250.23,407375.8,50064.8,403581.6,98759.8,145451.1,126943.4,2753866,595843.7,620418.1,0.000119,0.000194,0.000183,0.000107,0.000103,0.000148,0.000372,0.001474,0.001239,3.31E-05,5.05E-05,0.000166,8.10E-05,0.000161,0.000128,0.001535,0.001225,0.001409,Proline--tRNA ligase OS=Alteromonas sp. OX=232 GN=proS PE=3 SV=1,0.000165,0.000119,0.001028,8.33E-05,0.000608,0.000933,0.093,0.72,0.055,6.23,0.227,7.3,0.003,11.2,Proline--tRNA ligase OS=Alteromonas sp. OX=232 GN=proS PE=3 SV=1
A0A359K5B7,4,4,17.48372,Protein RecA OS=Alteromonas sp. OX=232 GN=recA PE=3 SV=1,36745.19,139241.7,126779,95101.98,572156.6,69369.86,369201.1,153628,315721.8,382511.4,310696.8,1580461,43866.21,66743.73,48158.04,236824.2,1579478,33434,200521.6,72391.78,131256.7,37046.77,221598.4,462480.8,1172933,11795.04,56201.91,6.72E-05,9.99E-05,0.000525,0.000103,0.000187,9.32E-05,0.000299,0.000365,2.72E-05,8.88E-05,0.000629,8.15E-05,0.000117,6.02E-05,0.000465,0.000654,2.42E-05,0.000128,Protein RecA OS=Alteromonas sp. OX=232 GN=recA PE=3 SV=1,0.000231,0.000128,0.00023,0.000266,0.000393,0.000128,0.298,0.55,0.499,1,0.434,1.48,0.498,0.48,Protein RecA OS=Alteromonas sp. OX=232 GN=recA PE=3 SV=1
A0A359K7A7,2,2,11.0801,Protein translocase subunit SecA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15195 PE=3 SV=1,1031365,2456725,3712797,1998927,5419805,1444724,846618.2,1874075,1174493,575428.9,69326.42,101183.9,48477.15,411409.4,2072060,244185.9,142968,517048.5,620714.7,530221.4,133169.6,492405.4,211532.8,2075584,43933.15,2438412,183705.4,0.001887,0.002926,0.004971,0.002152,0.002277,0.000347,0.00045,2.34E-05,3.00E-05,0.000547,0.000648,0.00126,0.000857,0.0008,0.002089,2.45E-05,0.005012,0.000417,Protein translocase subunit SecA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15195 PE=3 SV=1,0.003261,0.001592,0.000168,0.000819,0.000971,0.002897,0.191,0.49,0.047,0.05,0.085,1.19,0.307,3.54,Protein translocase subunit SecA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_15195 PE=3 SV=1
A0A359K863,5,5,29.92622,Pyruvate kinase OS=Alteromonas sp. OX=232 GN=pyk PE=3 SV=1,270150.8,556595.1,588278.7,188643.7,1491653,407105.5,1534154,408142.2,1831963,6721054,8019861,15881823,11064009,155376.3,199053.1,156591,471387.3,184998.2,2608630,553427.8,884100.3,301260,1471400,560088.1,14771169,699437.8,1143898,0.000494,0.000464,0.001368,0.000606,0.000496,0.000541,0.00525,0.003666,0.006856,0.000207,0.000416,0.000451,0.000895,0.00049,0.000564,0.008235,0.001438,0.002598,Pyruvate kinase OS=Alteromonas sp. OX=232 GN=pyk PE=3 SV=1,0.000775,0.000548,0.005257,0.000358,0.003096,0.001604,0.264,0.71,0.011,6.78,0.14,8.65,0.114,4.48,Pyruvate kinase OS=Alteromonas sp. OX=232 GN=pyk PE=3 SV=1
A0A359JZN2,2,2,6.864445,Queuine tRNA-ribosyltransferase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00565 PE=3 SV=1,14318.08,86426.8,175269.6,56191.52,153694.9,76279.74,193852.3,91958.3,85101.31,310686.5,2566395,7977466,1885836,113322,208109.2,76438.15,167743.6,65716.27,241178.6,81334.69,111803.1,131079.8,233673,154287.9,3589006,524135.7,503116.3,2.62E-05,0.000138,0.000141,0.000114,0.000112,2.51E-05,0.000243,0.001841,0.001169,0.000151,0.000203,0.00016,0.000132,0.000213,0.000155,0.002001,0.001077,0.001143,Queuine tRNA-ribosyltransferase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00565 PE=3 SV=1,0.000102,8.35E-05,0.001084,0.000171,0.00079,0.000774,0.393,0.82,0.075,10.65,0.318,4.61,0.029,4.52,Queuine tRNA-ribosyltransferase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_00565 PE=3 SV=1
A0A359K6L5,3,3,10.05218,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,1429733,48129.71,153735.1,30758.09,57285.11,67690.83,162699.4,48055.69,182926.5,331432.2,1261337,3607441,576432.5,9655.069,30938.12,19145.63,104225.3,36588.56,17880.66,23006.1,311366.7,31846.9,37231.9,68782.74,739093.3,71054.69,53849.73,0.002616,0.000121,5.25E-05,0.000101,5.84E-05,5.40E-05,0.000259,0.000833,0.000357,1.28E-05,5.08E-05,8.92E-05,3.72E-05,5.18E-05,6.92E-05,0.000412,0.000146,0.000122,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1,0.00093,7.11E-05,0.000483,5.09E-05,0.000178,0.000399,0.204,0.08,0.344,0.52,0.451,3.49,0.13,7.84,Ribonuclease PH OS=Alteromonas sp. OX=232 GN=rph PE=3 SV=1
A0A359K3Q6,2,2,12.66505,Ribosome hibernation promoting factor OS=Alteromonas sp. OX=232 GN=DEH24_08275 PE=4 SV=1,0.03447,1958.751,2454.395,838.4896,4928.407,1448.899,304.518,10624.77,25822.95,78174.29,84089.77,402603.4,102838.1,12008.15,25738.61,2505.009,15824.78,5834.076,28465.16,2026.261,3418.189,4897.703,1469.106,7674.233,106203.2,16173.23,7162.423,6.31E-11,1.93E-06,4.52E-06,2.16E-06,1.29E-05,7.62E-06,6.11E-05,9.29E-05,6.37E-05,1.60E-05,6.65E-06,1.42E-05,3.28E-06,7.96E-06,7.72E-06,5.92E-05,3.32E-05,1.63E-05,Ribosome hibernation promoting factor OS=Alteromonas sp. OX=232 GN=DEH24_08275 PE=4 SV=1,2.15E-06,7.56E-06,7.26E-05,1.23E-05,2.50E-05,1.72E-05,0.096,3.52,0.01,33.73,0.14,2.03,0.092,1.4,Ribosome hibernation promoting factor OS=Alteromonas sp. OX=232 GN=DEH24_08275 PE=4 SV=1
