Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Accession,Description
Q7VC99,Pro_0843,27,27,0.001509385,0.002368625,0.002019575,0.001788714,0.001368107,0.002123622,0.003044913,0.001928409,0.002006818,0.001466308,0.001574527,0.001567681,0.00144276,0.001390418,0.001675737,0.002132022,0.00208136,0.002309402,0.001965862,0.001760147,0.002326713,0.001536172,0.001502972,0.002174261,0.284354935,0.895356665,0.228080267,1.183558863,0.371426544,0.978387755,0.000592806,1.415376423,Q7VC99,"6-phosphogluconate dehydrogenase, decarboxylating OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gnd PE=3 SV=1"
Q7VBL4,Pro_1078,24,24,0.000867596,0.00106472,0.000898164,0.00105061,0.000836599,0.000998455,0.000801974,0.001963922,0.001386132,0.000727908,0.000841807,0.000941072,0.001041699,0.000952036,0.000865912,0.001657996,0.001863988,0.00157796,0.000943493,0.000961888,0.00138401,0.000836929,0.000953215,0.001699981,0.423089701,1.019496419,0.132984753,1.466899171,0.109391242,1.138944608,0.000599773,2.03121391,Q7VBL4,"1,4-alpha-glucan branching enzyme GlgB OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glgB PE=3 SV=1"
Q7VE22,Pro_0192,3,3,8.96756E-06,1.51723E-05,1.57313E-05,1.24749E-05,2.30109E-05,1.67708E-05,2.15374E-05,0.000368079,0.000316511,1.8655E-05,9.94261E-06,2.18197E-05,9.90694E-06,1.44404E-05,1.11369E-05,0.000279166,0.000307422,0.000206295,1.32904E-05,1.74188E-05,0.000235376,1.68058E-05,1.18281E-05,0.000264294,0.166293478,1.310635607,0.054418895,17.7102668,0.130209754,0.703809877,0.000614211,15.72639993,Q7VE22,N-acetylglucosamine-6-phosphate deacetylase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=nagA PE=3 SV=1
Q7VD20,Pro_0569,10,10,0.00010055,0.000128282,0.000141054,8.08643E-05,7.36215E-05,0.000124169,0.000472019,0.000190133,0.000376065,0.000140503,0.000131226,0.000143607,0.000133695,0.00012902,0.0001596,0.000251114,0.000311599,0.000287477,0.000123295,9.28849E-05,0.000346072,0.000138446,0.000140771,0.000283397,0.099672573,0.753355433,0.028057272,2.806865293,0.415500151,1.016799822,0.000641284,2.046989227,Q7VD20,Glutathione reductase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=gor PE=3 SV=1
Q7VCJ6,Pro_0744,18,18,0.003736251,0.003542225,0.003472304,0.003674566,0.003749402,0.003652427,0.00246882,0.002874198,0.002473924,0.003555125,0.003450358,0.003342887,0.003544937,0.002964117,0.004107498,0.002317127,0.002527215,0.002078031,0.003583593,0.003692132,0.002605647,0.003449457,0.003538851,0.002307458,0.133504555,1.030287579,0.001643357,0.727104604,0.401593809,1.025915485,0.000675205,0.668933646,Q7VCJ6,Anthranilate phosphoribosyltransferase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=trpD PE=3 SV=1
Q7VDW4,Pro_0254,4,4,1.40701E-05,2.20585E-05,1.61845E-05,1.62779E-05,1.34543E-05,1.47647E-05,3.00529E-05,5.5037E-07,6.33598E-07,1.51214E-05,1.01104E-05,1.54076E-05,1.4226E-05,1.70423E-05,1.25691E-05,7.91341E-07,2.30937E-07,0,1.74377E-05,1.48323E-05,1.04123E-05,1.35465E-05,1.46125E-05,3.40759E-07,0.180231507,0.8505883,0.262626322,0.597113685,0.323716353,1.078692477,0.000801319,0.025154825,Q7VDW4,2-keto-3-deoxy-6-phosphogluconate aldolase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=eda PE=4 SV=1
Q7VDH2,Pro_0404,11,11,7.66464E-05,9.16037E-05,8.21282E-05,7.64456E-05,7.31398E-05,9.5489E-05,0.000521735,0.000245139,0.00035974,5.92579E-05,6.64953E-05,0.000103038,6.14194E-05,9.85831E-05,9.16924E-05,0.000197227,0.000176409,0.000196433,8.34595E-05,8.16915E-05,0.000375538,7.62636E-05,8.38983E-05,0.000190023,0.42012384,0.978816094,0.01103249,4.499645694,0.344356433,1.100109541,0.000844718,2.491660505,Q7VDH2,Cystathionine beta-lyase/cystathionine gamma-synthase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=metB PE=3 SV=1
Q7VBM7,Pro_1065,6,6,2.44515E-05,3.00296E-05,2.25059E-05,2.31059E-05,2.50569E-05,2.245E-05,8.7854E-05,4.68584E-05,1.77073E-05,3.07598E-05,2.106E-05,2.52731E-05,2.78215E-05,2.4036E-05,2.71624E-05,0.000160907,0.000110269,0.000141142,2.56623E-05,2.35376E-05,5.08066E-05,2.56976E-05,2.634E-05,0.000137439,0.211829386,0.917204666,0.14332573,1.979812264,0.421522236,1.02499634,0.000867278,5.348329372,Q7VBM7,Glucokinase OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=glk PE=3 SV=1
Q7VAK6,Pro_1456,12,12,0.000243889,0.000310435,0.000298079,0.000317776,0.000284301,0.000340345,0.000724276,0.00041874,0.000629545,0.000287278,0.00031494,0.000335188,0.000373446,0.000340958,0.000329931,0.0005837,0.000567546,0.000491577,0.000284134,0.000314141,0.000590854,0.000312469,0.000348111,0.000547608,0.15739867,1.105607477,0.014785852,2.07948904,0.067435195,1.114068676,0.000872396,1.75252107,Q7VAK6,DegT/DnrJ/EryC1/StrS aminotransferase family enzyme OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=wecE PE=3 SV=1
Q7VDB1,Pro_0472,5,4,0.00027898,0.000420076,0.000409504,0.000229751,0.000428186,0.000438066,0.001449073,0.000595029,0.001089602,0.000502945,0.000469162,0.000445669,0.000466959,0.000544647,0.000463119,0.000658113,0.000731609,0.000660712,0.00036952,0.000365334,0.001044568,0.000472592,0.000491575,0.000683478,0.480779514,0.988672024,0.027555426,2.826824492,0.288649644,1.04016816,0.000982029,1.446233042,Q7VDB1,Uncharacterized protein OS=Prochlorococcus marinus (strain SARG / CCMP1375 / SS120) OX=167539 GN=Pro_0472 PE=4 SV=1
