Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description
A5GID0,SynWH7803_0269,3,3,0.000328726,0.000216132,0.000201029,0.000312671,0.000257691,0.000236424,0.000331991,0.000225749,0.001348713,0.000332978,0.000167407,0.000306487,0.000314282,0.000159829,0.00031456,0.000175705,0.000257848,0.000578328,0.000248629,0.000268929,0.000635484,0.000268957,0.00026289,0.000337294,0.191041295,1.081646472,0.208096438,2.555952911,0.2581964,0.977442809,0.318918494,1.254079701,Imidazoleglycerol-phosphate dehydratase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=hisB PE=3 SV=1
A5GN20,SynWH7803_1909,3,3,5.21526E-05,2.62735E-05,3.0446E-05,5.13325E-05,2.36437E-05,1.23996E-05,0.000156264,5.89434E-05,5.4216E-05,2.61549E-05,1.05714E-05,3.75396E-05,4.23866E-05,1.92069E-05,5.87722E-05,0.000152835,5.62651E-05,5.03666E-05,3.62907E-05,2.91253E-05,8.98078E-05,2.47553E-05,4.01219E-05,8.64888E-05,0.16007737,0.802554676,0.084985317,2.474679346,0.026186567,1.620740147,0.104794044,3.493747824,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cysQ PE=4 SV=1
A5GHQ9,SynWH7803_0048,3,3,2.44191E-05,2.1872E-05,1.09143E-05,2.59006E-05,3.08118E-05,1.23027E-05,5.82738E-05,2.9961E-05,4.94668E-05,1.1276E-05,1.69793E-05,2.71694E-05,2.14127E-05,4.46985E-06,2.00287E-05,7.15105E-05,1.93907E-05,3.84944E-05,1.90685E-05,2.3005E-05,4.59005E-05,1.84749E-05,1.53037E-05,4.31319E-05,0.128122355,1.206443302,0.052622225,2.407142256,0.344077947,0.828353109,0.151866522,2.334621591,GMP synthase [glutamine-hydrolyzing] OS=Synechococcus sp. (strain WH7803) OX=32051 GN=guaA PE=3 SV=1
A5GMX4,SynWH7803_1863,3,3,0.000173141,9.31592E-05,7.80073E-05,0.000217798,0.00017097,8.94386E-05,0.000486599,0.000174532,0.000138787,0.000101359,6.56246E-05,3.35578E-05,0.000124314,4.5013E-05,3.6944E-05,0.000405173,0.00031392,0.000320165,0.000114769,0.000159402,0.000266639,6.68472E-05,6.8757E-05,0.000346419,0.072609501,1.388895972,0.100842558,2.323265347,0.446708557,1.028569819,0.001713414,5.182253687,60 kDa chaperonin 1 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=groL1 PE=3 SV=1
A5GIP6,SynWH7803_0385,3,3,7.15018E-06,7.61903E-06,7.82313E-06,1.67972E-05,3.74742E-06,1.42095E-05,1.57404E-05,8.15749E-06,2.68104E-05,3.68841E-06,1.62247E-06,1.72126E-05,2.60841E-05,7.56534E-07,1.30981E-05,1.01276E-05,1.69826E-05,1.81999E-05,7.53078E-06,1.15847E-05,1.69027E-05,7.50784E-06,1.33129E-05,1.51033E-05,0.212229054,1.538314776,0.110669842,2.244486696,0.279376558,1.773202513,0.105746873,2.011674187,Ferredoxin-dependent glutamate synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=gltS PE=4 SV=1
A5GPA0,SynWH7803_2339,3,3,5.71143E-05,3.19317E-05,2.94606E-05,6.9043E-05,2.65543E-05,9.6649E-05,0.000118518,5.37588E-05,7.77615E-05,0.000208625,5.66905E-05,6.9224E-05,6.81348E-05,7.44288E-05,6.31868E-05,0.000171053,4.68659E-05,0.000101241,3.95022E-05,6.40821E-05,8.3346E-05,0.000111513,6.85835E-05,0.000106387,0.189019592,1.622241229,0.031905935,2.109907767,0.237690703,0.615026264,0.411792999,0.95402911,Peptide deformylase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=def PE=3 SV=1
A5GKF9,SynWH7803_0998,3,3,0.00018258,0.0001704,0.000200398,0.000266468,0.000174325,0.000177319,0.000411722,0.000397273,0.000318053,0.000264025,0.000165439,0.000276991,0.000206345,0.000184964,0.000296192,0.000339534,0.000385606,0.000303727,0.00018446,0.000206037,0.000375683,0.000235485,0.000229167,0.000342956,0.285438748,1.116976945,0.017539504,2.036665734,0.414310488,0.973171424,0.102740911,1.45638114,Predicted redox protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0998 PE=4 SV=1
A5GMA6,SynWH7803_1645,3,3,0.000303025,5.79705E-05,0.000320514,0.000305232,8.10842E-05,0.000254094,0.000474887,0.000252717,0.000607918,0.00035832,0.000106637,0.000204416,0.000390234,0.000157161,0.000295249,0.00086149,0.000134137,0.000769643,0.00022717,0.00021347,0.000445174,0.000223125,0.000280881,0.000588424,0.331376958,0.939693177,0.012631684,1.959652829,0.039962869,1.25885391,0.082223907,2.637196096,Peptidyl-prolyl cis-trans isomerase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ppiB PE=3 SV=1
A5GII4,SynWH7803_0323,3,3,7.34824E-05,7.99944E-05,0.000105462,0.000179188,8.35811E-05,4.41023E-05,9.71715E-05,0.000202688,0.000206082,0.000158161,0.000101726,0.000134838,6.47525E-05,2.16628E-05,4.16481E-05,0.000177622,0.000169606,0.000134194,8.63128E-05,0.00010229,0.000168647,0.000131575,4.26878E-05,0.000160474,0.386838212,1.185112569,0.055560401,1.953907225,0.001227556,0.324436565,0.145596305,1.21963558,Alternative thymidylate synthase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=thyX PE=4 SV=1
A5GMU6,SynWH7803_1835,3,3,0.000160918,5.30464E-05,6.60731E-05,0.000158847,9.1961E-05,6.33645E-05,0.000294671,0.000120872,0.000126545,0.000117647,5.51262E-05,3.07639E-05,0.000126558,3.30062E-05,2.50289E-05,0.0002435,5.21283E-05,0.000126014,9.33459E-05,0.000104724,0.000180696,6.78458E-05,6.15309E-05,0.000140547,0.247744014,1.121895683,0.032175007,1.935771666,0.277028011,0.90692284,0.101161867,2.071569193,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1835 PE=4 SV=1
A5GJP0,SynWH7803_0729,3,3,0.00016724,8.30006E-05,0.000100103,0.000181314,9.84352E-05,8.96996E-05,0.000284062,0.000204802,0.000185263,0.000190288,7.60714E-05,0.000171872,0.000212991,0.000125446,0.000116165,0.00030983,0.000129463,0.000273058,0.000116781,0.00012315,0.000224709,0.000146077,0.000151534,0.00023745,0.263652625,1.054532286,0.005557252,1.924187714,0.439275906,1.037356322,0.021771129,1.625514449,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0729 PE=4 SV=1
A5GII1,SynWH7803_0320,3,3,0.000198562,0.000151476,8.34011E-05,0.000195579,0.000256183,0.000295889,0.000276153,0.000272789,0.000283891,0.000202232,0.000238787,0.000249579,0.000248401,0.000157291,0.000212371,0.000297066,0.00025418,0.000442537,0.00014448,0.000249217,0.000277611,0.000230199,0.000206021,0.000331261,0.117122401,1.724928396,0.032928356,1.921454067,0.292238482,0.894966974,0.093967087,1.439017691,Ribonuclease PH OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rph PE=3 SV=1
A5GPT7,SynWH7803_2526,3,3,8.54442E-05,6.51888E-05,0.000106526,8.36282E-05,8.80574E-05,0.000157897,0.000183692,9.10641E-05,0.000200851,7.43479E-05,7.70021E-05,4.17287E-05,6.21737E-05,5.64596E-05,5.10082E-05,0.000133862,0.00014624,0.000133073,8.57196E-05,0.000109861,0.000158536,6.43596E-05,5.65471E-05,0.000137725,0.128391441,1.281630115,0.045129119,1.849467108,0.235905283,0.878613005,0.008040422,2.139928108,Formate-dependent phosphoribosylglycinamide formyltransferase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=purT PE=3 SV=1
A5GIS4,SynWH7803_0413,3,3,0.000294971,0.000193657,0.000301621,0.000480771,0.00030042,0.000119743,0.000481406,0.000434883,0.000539867,0.000177036,8.24342E-05,0.000424313,0.000251109,0.000203012,0.000495412,0.000108165,0.000281853,0.00031951,0.000263416,0.000300311,0.000485385,0.000227927,0.000316511,0.000236509,0.386319578,1.140063511,0.003180359,1.842654677,0.015592366,1.388645971,0.468451855,1.037650667,30S ribosomal protein S13 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpsM PE=3 SV=1
A5GNY4,SynWH7803_2223,3,3,7.66229E-05,4.3889E-05,2.95112E-05,9.63199E-05,3.57872E-05,2.24888E-05,6.18646E-05,4.26149E-05,0.000166559,7.07224E-05,1.80912E-05,4.41037E-05,9.56194E-05,3.46264E-05,3.99E-05,4.36504E-05,4.71717E-05,0.000144332,5.00077E-05,5.15319E-05,9.03463E-05,4.43057E-05,5.67153E-05,7.83848E-05,0.44113937,1.030479551,0.246571323,1.806647351,0.143926788,1.280088124,0.226262713,1.769180394,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2223 PE=4 SV=1
A5GNT0,SynWH7803_2169,3,3,0.000122434,0.000137702,0.000110383,7.14202E-05,0.000345116,7.37714E-05,0.000180904,0.000305001,0.000163592,0.000115285,0.000550803,7.59207E-05,8.76855E-05,0.000261694,0.000118793,0.000244747,0.000174594,0.000216488,0.000123506,0.000163436,0.000216499,0.000247336,0.000156057,0.000211943,0.340431934,1.323301087,0.064768868,1.752943,0.230729715,0.630952311,0.42736001,0.856902682,Uncharacterized conserved secreted protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2169 PE=4 SV=1
A5GNE3,SynWH7803_2032,3,3,0.000347843,0.000278531,0.000256365,0.000439949,0.000260441,0.000279193,0.000395121,0.000634291,0.000517173,0.000464936,0.000469049,0.000451682,0.000316516,0.000347233,0.000458913,0.000525634,0.000589664,0.00057846,0.000294246,0.000326528,0.000515528,0.000461889,0.000374221,0.000564586,0.210598681,1.109709226,0.068042788,1.752030715,0.104867046,0.810196096,0.019812882,1.222340365,NADPH-dependent 7-cyano-7-deazaguanine reductase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=queF PE=3 SV=1
A5GLP6,SynWH7803_1435,3,3,0.000132742,4.28531E-05,5.31812E-05,8.07195E-05,2.11171E-05,3.38367E-05,0.000149211,4.61844E-05,0.000190593,6.08484E-05,1.22043E-05,0.000118244,0.000108396,3.49937E-05,0.000126645,0.000139099,9.62282E-05,0.000210108,7.62587E-05,4.52244E-05,0.000128663,6.37656E-05,9.00116E-05,0.000148479,0.049105035,0.593039684,0.172170284,1.687188184,0.074285328,1.411601819,0.001080712,2.328505614,Triosephosphate isomerase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=tpiA PE=3 SV=1
A5GNH3,SynWH7803_2062,3,3,0.00033432,0.000170972,0.000162479,0.000322343,0.000201284,0.00011717,0.00043004,0.000494998,0.000181444,0.000259627,0.000187674,0.000107073,0.000262972,7.71851E-05,0.000242844,0.000549628,0.000466912,0.000299271,0.00022259,0.000213599,0.000368827,0.000184791,0.000194333,0.000438604,0.36048753,0.959605828,0.125754388,1.656977739,0.452800673,1.05163642,0.007279111,2.373508584,DNA-directed RNA polymerase subunit beta OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rpoB PE=3 SV=1
A5GNC9,SynWH7803_2018,3,3,9.56327E-05,4.54195E-05,3.41655E-05,0.000103845,9.96693E-05,4.17421E-05,8.95169E-05,0.000122125,7.66413E-05,3.8386E-05,3.7306E-05,1.83845E-05,9.26584E-05,2.13168E-05,3.60471E-05,2.19603E-05,6.03774E-05,7.12918E-05,5.84059E-05,8.17522E-05,9.60944E-05,3.13588E-05,5.00074E-05,5.12098E-05,0.134970459,1.399724151,0.128652411,1.645285935,0.227522469,1.594684347,0.213526371,1.63302753,ATP synthase subunit delta OS=Synechococcus sp. (strain WH7803) OX=32051 GN=atpH PE=3 SV=1
A5GNR8,SynWH7803_2157,3,3,0.000151246,0.000148259,0.000159773,0.000173666,0.000117731,0.000133218,0.000350821,0.00013707,0.00025732,0.000290101,0.000155859,0.000222969,0.000263128,0.000189642,0.000213451,0.000272047,0.0002604,0.000391513,0.000153093,0.000141538,0.000248404,0.000222976,0.000222074,0.000307986,0.283680402,0.924525705,0.128893254,1.622568871,0.482335294,0.995950673,0.130328959,1.38125132,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2157 PE=4 SV=1
A5GMT4,SynWH7803_1823,3,3,0.000205046,9.59545E-05,0.000157258,0.000265593,0.000116392,0.000163197,0.000400587,0.000154867,0.000181295,0.000171262,0.000119859,0.000133369,0.000246243,0.000133437,0.00010362,0.00049609,0.000187511,0.000300781,0.000152753,0.000181727,0.000245583,0.000141497,0.0001611,0.000328127,0.109020175,1.189679568,0.109044112,1.607713925,0.292463313,1.138540599,0.065099271,2.318969072,UPF0234 protein SynWH7803_1823 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1823 PE=3 SV=1
A5GLG6,SynWH7803_1355,3,3,0.000301634,0.000199287,0.000189442,0.000333887,0.000225051,0.000181923,0.000344616,0.00034074,0.000405159,0.000217472,0.000182716,0.000182135,0.000224154,0.000129121,0.000154327,0.000309864,0.000312463,0.000429177,0.000230121,0.000246954,0.000363505,0.000194108,0.000169201,0.000350501,0.15257343,1.073149679,0.058289888,1.579625998,0.14492484,0.871684545,0.039221896,1.805705667,Photosystem II reaction center Psb28 protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=psb28 PE=3 SV=1
A5GMR6,SynWH7803_1805,3,3,0.000298761,0.000177117,0.000242363,0.000306055,0.000285336,0.000320725,0.000365328,0.000358276,0.000409071,0.000480467,0.00036576,0.0001631,0.000344352,0.00036718,0.000254729,0.000416821,0.000293784,0.000354653,0.000239414,0.000304039,0.000377558,0.000336442,0.000322087,0.000355086,0.081744156,1.269929324,0.030895227,1.577010531,0.424234243,0.957331311,0.424657092,1.055414142,Putative pterin-4-alpha-carbinolamine dehydratase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1805 PE=3 SV=1
A5GIK8,SynWH7803_0347,3,3,0.00036643,0.000461153,0.000431874,0.000393604,0.000462385,0.000544597,0.000463289,0.001058492,0.000444978,0.000398753,0.000564085,0.000199739,0.000349229,0.000636173,0.001039548,0.00037124,0.000705012,0.000781944,0.000419819,0.000466862,0.000655586,0.000387526,0.000674983,0.000619399,0.148665872,1.112054761,0.162669572,1.561591781,0.205163654,1.741774841,0.165124969,1.598341174,Conserved hpothetical protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0347 PE=4 SV=1
A5GNG0,SynWH7803_2049,3,3,5.4176E-05,2.1458E-05,3.26882E-05,5.97231E-05,3.20043E-05,4.22032E-05,6.9257E-05,5.90082E-05,3.98031E-05,6.36372E-05,2.37257E-05,4.03391E-05,5.92016E-05,3.05483E-05,4.11173E-05,6.8275E-05,5.2806E-05,5.64617E-05,3.61074E-05,4.46436E-05,5.60228E-05,4.25673E-05,4.36224E-05,5.91809E-05,0.015211345,1.236410606,0.080219358,1.551558927,0.38822789,1.024786062,0.071441739,1.390288828,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2049 PE=4 SV=1
A5GNV0,SynWH7803_2189,3,3,0.000166872,6.94203E-05,9.82107E-05,0.000140639,7.63551E-05,9.32642E-05,0.000163943,0.000169873,0.000184998,0.000138578,9.93361E-05,0.000115301,0.000147789,0.000120286,0.000123625,0.000200171,6.37585E-05,0.000281395,0.000111501,0.000103419,0.000172938,0.000117738,0.000130567,0.000181775,0.246247032,0.927519472,0.09930182,1.5510011,0.04379181,1.108959266,0.19307055,1.5438857,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_2189 PE=4 SV=1
P0A4S6,SynWH7803_0679,3,3,0.002197241,0.002089403,0.001991506,0.002357182,0.002457651,0.001996485,0.002861983,0.002992711,0.003689101,0.002080384,0.001329153,0.0022366,0.001912785,0.001249611,0.002035929,0.002873174,0.002625115,0.004048338,0.002092717,0.002270439,0.003181265,0.001882045,0.001732775,0.003182209,0.116669218,1.084924168,0.036664953,1.520160273,0.026970612,0.920687033,0.023781753,1.690824745,Ribulose bisphosphate carboxylase small chain OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cbbS PE=3 SV=1
A5GP12,SynWH7803_2251,3,3,7.01585E-05,4.33856E-05,3.63579E-05,5.17601E-05,6.53128E-05,3.59704E-05,0.000118352,4.80429E-05,6.13793E-05,2.69017E-05,4.78739E-05,1.10473E-05,3.73605E-05,3.41317E-05,1.29217E-05,7.58945E-05,2.32874E-05,4.04551E-05,4.99673E-05,5.10144E-05,7.59249E-05,2.86076E-05,2.8138E-05,4.65457E-05,0.468323028,1.020955041,0.08753641,1.519490246,0.476584624,0.983582438,0.25026918,1.627036597,Malonyl CoA-acyl carrier protein transacylase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=fabD PE=3 SV=1
A5GMT0,SynWH7803_1819,3,3,3.02066E-05,6.42284E-05,5.91154E-05,3.58464E-05,5.87189E-05,4.86122E-05,5.767E-05,9.53725E-05,7.38167E-05,4.45943E-05,8.14133E-05,4.62663E-05,3.83512E-05,9.78552E-05,6.593E-05,5.37063E-05,9.04929E-05,9.52166E-05,5.11835E-05,4.77259E-05,7.56197E-05,5.74247E-05,6.73788E-05,7.98052E-05,0.271999153,0.932447125,0.019571528,1.477424518,0.173232908,1.17334246,0.117045749,1.389738039,Exodeoxyribonuclease III OS=Synechococcus sp. (strain WH7803) OX=32051 GN=xthA PE=4 SV=1
A5GHP3,SynWH7803_0032,3,3,0.000679959,0.000553931,0.000423345,0.000832968,0.000841427,0.000157296,0.000975866,0.000705725,0.000755243,0.000752135,0.00078559,0.000561427,0.000596759,0.000777467,0.000532919,0.001036268,0.000395853,0.00092895,0.000552412,0.000610564,0.000812278,0.000699718,0.000635715,0.000787024,0.380244902,1.105268982,0.021015281,1.470420681,0.149587872,0.908530938,0.375310676,1.124773412,Elongation factor P OS=Synechococcus sp. (strain WH7803) OX=32051 GN=efp PE=3 SV=1
A5GL47,SynWH7803_1236,3,3,0.000167493,0.000106638,0.000181737,0.000189994,0.000103497,0.00015205,0.000186748,0.000161432,0.000318054,0.000193335,6.86665E-05,0.00012169,0.000145557,8.45174E-05,0.0001447,0.000277477,0.000111029,0.00030151,0.000151956,0.000148513,0.000222078,0.000127897,0.000124925,0.000230005,0.420255517,0.977346895,0.090160284,1.461463595,0.453489722,0.976758465,0.064395933,1.798359038,Peroxiredoxin OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ccp PE=4 SV=1
A5GL89,SynWH7803_1278,3,3,0.000837692,0.000818648,0.000467266,0.000702919,0.000668791,0.000707786,0.000613534,0.00125884,0.001221909,0.000837677,0.00031888,0.000690804,0.000659484,0.000977288,0.001261368,0.001103684,0.000950936,0.000959948,0.000707869,0.000693166,0.001031428,0.000615787,0.000966047,0.001004856,0.459422488,0.979229057,0.189326161,1.45708918,0.158894906,1.568799496,0.042616821,1.631823661,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1278 PE=4 SV=1
A5GLK7,SynWH7803_1396,3,3,0.000234378,0.000283161,0.000286045,0.000177326,0.000296534,0.0002587,0.000248635,0.000486508,0.000427777,0.000224889,0.000245888,0.000379904,0.000151414,0.000575223,0.000570763,0.000298154,0.000403264,0.000431398,0.000267861,0.000244187,0.00038764,0.00028356,0.000432467,0.000377605,0.182936574,0.911616113,0.08219477,1.447166982,0.16735398,1.525131163,0.050201694,1.331658352,Uncharacterized secreted protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1396 PE=4 SV=1
A5GJR6,SynWH7803_0755,3,3,0.000112263,9.45266E-05,7.23567E-05,0.000322468,7.22822E-05,7.49909E-05,0.000174849,8.15383E-05,0.000136707,0.000121996,6.85568E-05,6.47301E-05,0.000141842,8.68289E-05,0.000103011,0.000184449,6.10325E-05,8.7247E-05,9.30488E-05,0.00015658,0.000131031,8.50943E-05,0.000110561,0.000110909,0.239729274,1.682775592,0.137336171,1.408201654,0.029065068,1.299271686,0.165385877,1.303369617,Uroporphyrinogen decarboxylase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=hemE PE=3 SV=1
A5GIT5,SynWH7803_0424,3,3,0.000184092,1.34758E-05,5.31352E-05,0.00020082,2.58636E-05,5.31836E-05,0.000239541,1.04485E-05,9.28031E-05,0.000169713,7.57095E-06,4.38221E-05,0.000195864,2.90377E-06,4.51851E-05,0.000258974,1.59724E-05,7.56057E-05,8.35676E-05,9.32891E-05,0.000114264,7.37019E-05,8.13175E-05,0.000116851,0.095543744,1.116330783,0.110459186,1.367325858,0.25204831,1.103329862,0.107161784,1.585451021,50S ribosomal protein L14 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=rplN PE=3 SV=1
A5GKM3,SynWH7803_1062,3,3,0.000418716,0.000220638,0.000231735,0.000354577,0.000194559,0.000274838,0.000441957,0.000353739,0.000337135,0.000273706,0.000193647,0.000337636,0.000277696,0.000186892,0.000345024,0.000488963,0.00039285,0.000371546,0.000290363,0.000274658,0.000377611,0.00026833,0.000269871,0.000417786,0.333238953,0.945913034,0.059073143,1.300478139,0.376170809,1.005742679,0.06160096,1.556988667,Anti-sigma factor antagonist OS=Synechococcus sp. (strain WH7803) OX=32051 GN=spoIIAA PE=3 SV=1
A5GID9,SynWH7803_0278,3,3,0.000109894,2.94452E-05,4.65431E-05,0.000114795,3.59384E-05,4.60453E-05,0.000128089,9.62436E-06,0.000101446,0.000122536,3.337E-05,3.68402E-05,0.000124869,3.36819E-05,2.34873E-05,0.000121681,1.31944E-05,0.000167453,6.19608E-05,6.5593E-05,7.97199E-05,6.42488E-05,6.06794E-05,0.000100776,0.114067018,1.058620183,0.248454164,1.286617564,0.272014037,0.944444204,0.260651105,1.568528431,Phosphoglucomutase/phosphomannomutase family OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0278 PE=3 SV=1
A5GJN2,SynWH7803_0721,3,3,0.000275739,0.000123177,0.000331125,0.000198457,0.00016046,0.000288983,0.000340017,0.000182383,0.000415288,0.000260774,0.000124203,0.000302201,0.000312255,4.76129E-05,0.000242924,0.000455398,0.000153408,0.000786146,0.000243347,0.000215966,0.000312562,0.000229059,0.00020093,0.000464984,0.251952951,0.887484029,0.005945092,1.284431604,0.277901022,0.877198586,0.108911299,2.029972095,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0721 PE=4 SV=1
A5GJT1,SynWH7803_0770,3,3,3.36568E-05,1.91437E-05,3.1886E-05,3.78933E-05,2.15375E-05,2.74217E-05,5.01505E-05,2.34748E-05,3.49032E-05,5.13521E-05,2.53296E-05,9.63676E-06,2.00568E-05,3.12371E-05,9.80678E-06,4.36214E-05,1.7202E-05,3.24406E-05,2.82288E-05,2.89508E-05,3.61762E-05,2.87728E-05,2.03669E-05,3.1088E-05,0.405314431,1.025576992,0.102570241,1.281531703,0.271425364,0.707852185,0.421102869,1.080465577,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0770 PE=4 SV=1
A5GIA5,SynWH7803_0244,3,3,1.88352E-05,1.39255E-05,2.4301E-05,2.59509E-05,1.05226E-05,4.91606E-05,3.06421E-05,7.66853E-06,3.43167E-05,9.15011E-05,3.7857E-05,2.60992E-05,2.96367E-05,9.61213E-05,2.56678E-05,0.000108269,1.48949E-05,3.98729E-05,1.90206E-05,2.85447E-05,2.42091E-05,5.18191E-05,5.04753E-05,5.43457E-05,0.183747071,1.500729247,0.230922349,1.272785255,0.486305695,0.974067053,0.430740489,1.048759156,UDP-glucose 6-dehydrogenase OS=Synechococcus sp. (strain WH7803) OX=32051 GN=ugd PE=3 SV=1
A5GN90,SynWH7803_1979,3,3,0.010030645,0.010551375,0.013092375,0.00779165,0.009917855,0.011359062,0.009897729,0.013245378,0.018367725,0.010010723,0.009860435,0.018121415,0.007274259,0.007834007,0.016208149,0.010131945,0.016981498,0.018093861,0.011224799,0.009689522,0.013836944,0.012664191,0.010438805,0.015069101,0.041761602,0.863224608,0.11819133,1.232712014,0.006568858,0.824277282,0.207572332,1.189898443,Ferredoxin OS=Synechococcus sp. (strain WH7803) OX=32051 GN=petF PE=4 SV=1
A5GPD6,SynWH7803_2375,3,3,8.42559E-05,7.86739E-05,8.19713E-05,0.000110774,9.91322E-05,6.58563E-05,0.000118622,6.64922E-05,0.000109148,5.55812E-05,7.74207E-05,3.07771E-05,7.21485E-05,5.19561E-05,1.10298E-05,9.63752E-05,2.78694E-05,1.2506E-05,8.16337E-05,9.1921E-05,9.80874E-05,5.4593E-05,4.50448E-05,4.55836E-05,0.260304055,1.126017319,0.186657197,1.201555196,0.271787208,0.825102349,0.383080554,0.834970953,Transcription termination/antitermination protein NusG OS=Synechococcus sp. (strain WH7803) OX=32051 GN=nusG PE=3 SV=1
A5GLI6,SynWH7803_1375,3,3,0.000980845,0.000416437,0.000463663,0.001034492,0.000529806,0.000469305,0.00092111,0.000742164,0.000523014,0.000977385,0.000449403,0.000446396,0.000921234,0.000417767,0.000585495,0.001043304,0.000432224,0.000686805,0.000620315,0.000677868,0.000728762,0.000624395,0.000641498,0.000720778,0.103003914,1.092779945,0.220843262,1.174826538,0.403379435,1.027392702,0.165950423,1.154362626,Glutaredoxin OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_1375 PE=3 SV=1
A5GIN3,SynWH7803_0372,3,3,8.94555E-05,3.40805E-05,5.96804E-05,0.000107768,4.04295E-05,6.38316E-05,8.61721E-05,5.78041E-05,6.79426E-05,0.000102189,6.58944E-05,4.44091E-05,9.52183E-05,5.90815E-05,4.66435E-05,8.27859E-05,7.48566E-05,6.59287E-05,6.10721E-05,7.06764E-05,7.06396E-05,7.08308E-05,6.69811E-05,7.45237E-05,0.080380454,1.15726149,0.172953758,1.156658121,0.166601057,0.945649417,0.394553129,1.052137269,Ribonucleases G and E OS=Synechococcus sp. (strain WH7803) OX=32051 GN=cafA PE=4 SV=1
A5GJH0,SynWH7803_0659,3,3,0.000405197,0.000299369,0.000453464,0.000343823,0.000319112,0.000391177,0.000473436,0.000236951,0.000621196,0.0005253,0.000301652,0.000886418,0.000378003,0.000363434,0.000993841,0.000628833,0.000269651,0.001310238,0.00038601,0.000351371,0.000443861,0.000571123,0.000578426,0.000736241,0.165362941,0.910263047,0.238428906,1.149870106,0.467144881,1.012786572,0.173118846,1.289109868,Uncharacterized protein OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0659 PE=4 SV=1
A5GHZ1,SynWH7803_0130,3,3,0.000206443,0.0002007,0.000147251,0.000179008,0.00021959,0.000166436,0.000221231,0.000190291,0.000222675,0.000154733,0.000224323,0.000116956,0.000185974,0.000165477,0.000126487,0.000187859,0.00027834,0.00014416,0.000184798,0.000188345,0.000211399,0.000165337,0.000159313,0.000203453,0.420098234,1.019190943,0.202981224,1.143945674,0.422476095,0.963560721,0.021317031,1.23053259,Distantly related to Glycosyltransferase of family GT4 OS=Synechococcus sp. (strain WH7803) OX=32051 GN=SynWH7803_0130 PE=4 SV=1
