Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A0670,vte1,3.24,17.87,7.85,5.56,2.44,0.44,"2-methyl-6-phytyl-1,4-benzoquinone cyclase Vte1","Biosynthesis of cofactors, prosthetic groups, and carriers",Quinones,Vitamin E (tocopherol) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0069,lpxA,7.55,35.74,15.7,4.76,2.08,0.44,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase LpxA,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A2132,aquRM,148.91,81.7,36.1,0.55,0.24,0.44,type II restriction enzyme and methylase AquRM,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A0944,hflX,45.86,314.04,138.13,6.67,3.03,0.44,GTP-binding protein HflX,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0205,hypC,54.49,58.72,26.68,1.08,0.49,0.45,[NiFe] hydrogenase metallocenter assembly protein HypC,Protein fate,Protein modification and repair,Electron transfer - hydrogenase,Cytoplasm,
SYNPCC7002_A0218,,73.38,74.04,32.96,1.01,0.45,0.45,two component signal transduction system response regulator OmpR family,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A1239,,292.96,1756.56,787.97,5.88,2.70,0.45,4Fe-4S type iron-sulfur protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1430,,22.12,125.1,56.51,5.56,2.56,0.45,protein of unknown function DUF393,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2618,,9.71,127.66,58.08,12.50,5.88,0.45,TspO/MBR family protein,Unknown function,General,,Inner Membrane (5 transmembrane span),
SYNPCC7002_A1648,btuD,8.63,40.85,18.84,4.76,2.17,0.46,ABC-type B12/cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A0759,phnE,2.16,10.21,4.71,4.76,2.17,0.46,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (11 transmembrane span),
SYNPCC7002_A1047,secY,398.17,2073.14,960.64,5.26,2.44,0.46,preprotein translocase subunit SecY,Transport and binding proteins,Protein export,Protein export - Sec,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1149,,1.08,10.21,4.71,9.09,4.35,0.46,YiaAB transporter domain protein,Transport and binding proteins,Unknown substrate,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A2357,rsuA,15.65,250.21,117.72,16.67,7.69,0.47,16S rRNA pseudouridylate 516 synthase RsuA,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1682,,15.11,84.25,39.24,5.56,2.63,0.47,serine/threonine protein kinase,Regulatory functions,Protein interactions,,Inner Membrane (3 transmembrane span),
SYNPCC7002_A0634,btuC,8.63,35.74,17.27,4.17,2.00,0.48,ABC-type B12/cobalamin uptake system permease component BtuC,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Inner Membrane (8 transmembrane span),cobalamine riboswitch
SYNPCC7002_A2721,,34.53,206.8,98.89,5.88,2.86,0.48,ABC-type transport system ATPase component,Transport and binding proteins,Unknown substrate,,Cytoplasm,
SYNPCC7002_A0124,,8.63,35.74,17.27,4.17,2.00,0.48,conserved hypothetical protein with saccharopine dehydrogenase/reductase domain,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0056,,12.95,12.77,6.28,0.99,0.49,0.49,toxin-antitoxin system Arc family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0887,sppA,143.51,104.68,51.8,0.73,0.36,0.49,sucrose-phosphate phosphatase SppA,Central intermediary metabolism,Sugars,Sucrose biosynthesis,Cytoplasm,
SYNPCC7002_G0145,atpCN,142.97,61.28,29.82,0.43,0.21,0.49,N-type Na+ translocating ATPase F1 complex epsilon subunit AtpCN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_A0448,maeB,8.63,51.06,25.11,5.88,2.94,0.49,decarboxylating NADP-dependent malic enzyme MaeB,Energy metabolism,Pyruvate dehydrogenase,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,
SYNPCC7002_A1738,,16.19,12.77,6.28,0.79,0.39,0.49,DnaJ domain-containing protein,Protein fate,Protein folding and stabilization,,Cytoplasm,
SYNPCC7002_A2061,tufA,718.65,3201.63,1561.82,4.55,2.17,0.49,translation elongation factor Tu TufA,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A2062,fusA,586.47,2951.42,1459.79,5.00,2.50,0.49,translation elongation factor G FusA,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A0285,,1285.15,13881.38,6848.45,11.11,5.26,0.49,ThiS domain-containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2725,,14.57,12.77,6.28,0.88,0.43,0.49,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0118,,18.34,12.77,6.28,0.69,0.34,0.49,conserved hypothetical zinc-binding protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1509,,939.86,398.29,200.92,0.42,0.21,0.50,polysaccharide biosynthesis locus family 3 acyltransferase,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A1083,,8.63,40.85,20.41,4.76,2.38,0.50,LCCL domain-containing protein,Unknown function,General,,Extracellular,
SYNPCC7002_A0984,pntB,120.31,102.13,51.8,0.85,0.43,0.51,nicotinamide nucleotide transhydrogenase beta subunit PntB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Inner Membrane (8 transmembrane span),
SYNPCC7002_A1903,,117.62,870.62,444.22,7.14,3.85,0.51,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A2242,,17.26,86.81,43.95,5.00,2.56,0.51,ABC-2 transport system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_F0072,,16.73,15.32,7.85,0.92,0.47,0.51,TPR domain-containing protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_F0102,,114.92,91.91,48.66,0.80,0.42,0.53,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0007,addB,28.06,17.87,9.42,0.64,0.34,0.53,ATP-dependent nuclease subunit AddB,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,
