Table S5. List of Synechococcus 7002 genes displaying ≥2-fold change in relative mRNA abundance in HCO3-- grown co-cultures  (compared to the axenic control),,,,,,,,,,,,,
,,,,,,,,,,,,,
 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon
SYNPCC7002_A1443,nifJ,32.91,10.21,10.99,0.31,0.33,1.08,pyruvate:ferredoxin oxidoreductase NifJ,Energy metabolism,Pyruvate dehydrogenase,,Cytoplasm,"Fur, SufR, and NtcA"
SYNPCC7002_F0047,,40.46,10.21,10.99,0.25,0.27,1.08,CRISPR-associated RAMP protein Cmr3 family,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A0899,pip,46.4,20.43,21.98,0.44,0.47,1.08,prolyl aminopeptidase Pip,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A0470,sbtA,1107.11,3209.29,3465.82,2.94,3.13,1.08,high-affinity low-flux HCO3-: Na+ symporter SbtA,Transport and binding proteins,Oxoanions,CO2 fixation,Inner Membrane (10 transmembrane span),CcmR
SYNPCC7002_A2694,comGB,3.78,10.21,10.99,2.70,2.94,1.08,competence pilin export protein ComGB,Transport and binding proteins,"Nucleosides, purines and pyrimidines",DNA transformation,Inner Membrane (3 transmembrane span),
SYNPCC7002_A2149,,4.86,10.21,10.99,2.08,2.27,1.08,ECF-type uptake system permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1618,,5.4,10.21,10.99,1.89,2.04,1.08,glycosyl transferase family 3,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1797,rbcX,914.5,4153.95,4526.92,4.55,5.00,1.09,rubisco chaperone RbcX,Protein fate,Protein and peptide secretion and trafficking,CO2 fixation,Carboxysome Lumen,
SYNPCC7002_A1627,urtE,50.72,22.98,25.11,0.45,0.50,1.09,ABC-type high affinity urea uptake system ATPase component UrtE,Transport and binding proteins,"Amino acids, peptides and amines",Nitrogen assimilation - urea,Cytoplasm,
SYNPCC7002_A0584,,15.65,58.72,64.36,3.70,4.17,1.10,N-acetylmuramoyl-L-alanine amidase,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A2341,,29.67,61.28,67.5,2.08,2.27,1.10,peptidoglycan binding domain-containing protein,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan turnover,Periplasm,
SYNPCC7002_A0975,btpA,18.34,35.74,39.24,1.96,2.13,1.10,photosystem I biogenesis protein BtpA,Protein fate,Protein folding and stabilization,Photosystem I,Cytoplasm,
SYNPCC7002_A1711,,213.65,61.28,67.5,0.29,0.32,1.10,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2616,,36.69,12.77,14.13,0.35,0.38,1.11,cell adhesion protein,Cellular structures and extracellular matrix,Cell adhesion,,Extracellular,
SYNPCC7002_A0087,,12.41,25.53,28.25,2.04,2.27,1.11,major facilitator superfamily sugar transporter,Transport and binding proteins,Carbohydrates,,Inner Membrane (13 transmembrane span),
SYNPCC7002_A1602,,520.1,160.85,180.51,0.31,0.35,1.12,type IV pilin protein,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A0157,psbA,418.67,768.49,857.04,1.85,2.04,1.12,photosystem II protein D1 PsbA,Energy metabolism,Photosynthesis,Photosystem II,Thylakoid Membrane (6 transmembrane spans),
SYNPCC7002_A0723,,68.52,28.08,31.39,0.41,0.46,1.12,pentapeptide repeat-containing protein,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A0001,dnaA,8.63,15.32,17.27,1.79,2.00,1.13,chromosome replication initiator DnaA,DNA metabolism,"DNA replication, recombination, and repair",Chromosome and associated proteins,Cytoplasm,
SYNPCC7002_G0090,tonB,169.41,15.32,17.27,0.09,0.10,1.13,outer membrane transport energizing sytem component TonB,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (1 transmembrane span),Fur
SYNPCC7002_A2163,,34.53,15.32,17.27,0.44,0.50,1.13,putative small-conductance mechanosensitive channel,Transport and binding proteins,Unknown substrate,,Inner Membrane (3 transmembrane span),
SYNPCC7002_A0653,,341.52,63.83,72.2,0.19,0.21,1.13,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0480,,616.68,250.21,285.68,0.41,0.46,1.14,protein of unknown function DUF2839,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0750,atpC,139.2,262.97,301.38,1.89,2.17,1.15,F1 ATP synthase complex epsilon subunit AtpC,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,
SYNPCC7002_A2764,nlpD,101.97,204.25,233.88,2.00,2.27,1.15,M23 family aminopeptidase NlpD,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A2421,lepA,29.13,56.17,64.36,1.92,2.22,1.15,GTP-binding protein LepA,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0915,crtR,14.57,28.08,32.96,1.92,2.27,1.17,beta-carotene oxygenase CrtR,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,Carotenoid biosynthesis,Inner Membrane (5 transmembrane span),
SYNPCC7002_A2219,,52.33,137.87,161.68,2.63,3.13,1.17,AIG2-like family protein of unknown funciton,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0388,,18.88,33.19,39.24,1.75,2.08,1.18,fructosamine kinase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_F0023,,339.36,135.32,161.68,0.40,0.48,1.19,toxin-antitoxin system RelE family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2492,,53.95,186.38,221.32,3.45,4.17,1.19,PsiE family phosphate starvation-inducible membrane protein,Unknown function,General,Phosphorus metabolism ,Inner Membrane (4 transmembrane span),
SYNPCC7002_A0561,,23.74,40.85,48.66,1.72,2.04,1.19,protein of unknown function DUF3007,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1652,chlB,404.65,137.87,164.81,0.34,0.41,1.20,light-independent protochlorophyllide reductase subunit B ChlB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,PedR
SYNPCC7002_A0579,murI,79.85,158.29,191.5,2.00,2.38,1.21,glutamate racemase MurI,Amino acid biosynthesis,Glutamate family,D-glutamine/D-glutamate metabolism,Cytoplasm,
SYNPCC7002_G0018,sybL,32.37,5.11,6.28,0.16,0.19,1.23,synechobactin synthase SybL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Siderophores,Iron homeostasis,Cytoplasm,
SYNPCC7002_A2584,murG,5.93,12.77,15.7,2.17,2.63,1.23,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase MurG,Cell envelope,Biosynthesis and degradation of murein sacculus and peptidoglycan,Peptidoglycan biosynthesis,Cytoplasm,
SYNPCC7002_A1293,xth,2.16,5.11,6.28,2.38,2.94,1.23,exodeoxyribonuclease III Xth,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,
SYNPCC7002_A1001,mrr,37.77,12.77,15.7,0.34,0.41,1.23,restriction endonuclease Mrr,DNA metabolism,Restriction/modification,,Cytoplasm,
SYNPCC7002_A1771,,25.9,7.66,9.42,0.30,0.36,1.23,CRISPR-associated helicase Cas3,Mobile and extrachromosomal element functions,CRISPR immunity,CRISPR immunity,Cytoplasm,
SYNPCC7002_A0425,pratA,8.09,17.87,21.98,2.22,2.70,1.23,periplasmic tetratricopeptide repeat protein involved in photosystem II biogenesis PratA,Protein fate,Protein folding and stabilization,Photosystem II,Thylakoid Lumen,
SYNPCC7002_A2280,,4.32,7.66,9.42,1.79,2.17,1.23,family S33 peptidase,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A1677,rsmH,8.09,2.55,3.14,0.32,0.39,1.23,16S rRNA (cytosine1402-N4)-methyltransferase RsmH,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A1238,selU,6.47,2.55,3.14,0.39,0.49,1.23,selenophosphate-dependent tRNA 2-selenouridine synthase SelU,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_G0099,,28.06,2.55,3.14,0.09,0.11,1.23,AraC family transcriptional regulator,Regulatory functions,DNA interactions,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_G0088,fecC,69.6,10.21,12.56,0.15,0.18,1.23,iron(III) dicitrate ABC transport system permease component FecC,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (8 transmembrane span),Fur
SYNPCC7002_G0142,phnE,20.5,7.66,9.42,0.37,0.46,1.23,ABC-type phosphonate uptake system permease component PhnE,Transport and binding proteins,Anions,Phosphate homeostasis,Inner Membrane (6 transmembrane span),
SYNPCC7002_A1722,,35.07,10.21,12.56,0.29,0.36,1.23,ABC-type efflux pump ATPase component,Transport and binding proteins,Unknown substrate,,Cytoplasm,
SYNPCC7002_A0378,,0.54,5.11,6.28,9.09,11.11,1.23,protein of unknown function DUF3146,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1251,,6.47,12.77,15.7,1.96,2.44,1.23,GDSL-like lipase/acylhydrolase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2218,,52.87,20.43,25.11,0.39,0.47,1.23,acyl-CoA thioester hydrolase YbgC/YbaW family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2260,,229.3,79.15,97.32,0.34,0.42,1.23,hypothetical protein,Unknown function,General,,Periplasm,
SYNPCC7002_A2305,,6.47,12.77,15.7,1.96,2.44,1.23,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2470,,7.01,2.55,3.14,0.36,0.45,1.23,protein of unknown function DUF790 endonuclease-like,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2532,,24.28,7.66,9.42,0.32,0.39,1.23,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0112,,11.87,2.55,3.14,0.22,0.26,1.23,hypothetical protein,Unknown function,General,,Outer Membrane,
SYNPCC7002_A1185,,38.31,79.15,98.89,2.08,2.56,1.25,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A1590,,25.9,45.96,58.08,1.79,2.22,1.26,protein of unknown function DUF1997,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2105,,13.49,66.38,84.76,5.00,6.25,1.28,RlpA-like protein,Cell envelope,General,,Cytoplasm,
SYNPCC7002_F0099,,269.76,102.13,130.28,0.38,0.48,1.28,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A0619,rimO,51.26,86.81,111.45,1.69,2.17,1.28,ribosomal protein S12 methylthiotransferase RimO,Protein synthesis,Ribosomal proteins: synthesis and modification,,Cytoplasm,
SYNPCC7002_A1035,,125.17,30.64,39.24,0.24,0.31,1.28,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1616,ilvA,14.57,25.53,32.96,1.75,2.27,1.29,biosynthetic threonine dehydratase IlvA,Amino acid biosynthesis,Pyruvate family,Branched chain amino acid biosynthesis,Cytoplasm,
SYNPCC7002_A2327,ndhD2,8.63,22.98,29.82,2.63,3.45,1.30,proton-translocating NADH-quinone dehydrogenase subunit D2 NdhD2,Energy metabolism,Electron transport,Oxidative phosphorylation,Thylakoid Membrane (13 transmembrane spans),
SYNPCC7002_A0012,nudF,346.92,74.04,97.32,0.21,0.28,1.31,ADP-ribose pyrophosphatase NudF,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,Protection against ADP-ribose accumulation,Cytoplasm,
SYNPCC7002_A0530,,114.92,33.19,43.95,0.29,0.38,1.32,protein with TerB-like domain of heat shock DnaJ-like proteins,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0037,trpS,8.09,15.32,20.41,1.89,2.50,1.33,tryptophanyl-tRNA synthetase TrpS,Protein synthesis,tRNA aminoacylation,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A1762,trpG,28.59,51.06,69.07,1.79,2.44,1.35,anthranilate synthase amidotransferase subunit TrpG,Amino acid biosynthesis,Aromatic amino acid family,Tryptophan biosynthesis,Cytoplasm,
SYNPCC7002_A0343,panC,7.55,12.77,17.27,1.69,2.27,1.35,bifunctional pantoate beta-alanine ligase/cytidylate kinase PanC,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pantothenate and coenzyme A,Pantothenate (B5) biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A1458,opcA,38.85,12.77,17.27,0.33,0.44,1.35,allosteric effector of glucose-6-phosphate dehydrogenase OpcA,Protein fate,Protein folding and stabilization,pentose phosphate pathway,Cytoplasm,
SYNPCC7002_A0325,trkA,7.55,12.77,17.27,1.69,2.27,1.35,potassium channel protein TrkA,Transport and binding proteins,Cations and iron carrying compounds,Potassium homeostasis,Inner Membrane (3 transmembrane span),
SYNPCC7002_C0015,,43.16,91.91,124,2.13,2.86,1.35,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1732,,100.35,183.83,251.15,1.82,2.50,1.37,tRNA threonylcarbamoyladenosine biosynthesis protein,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,NtcB
SYNPCC7002_A1679,,31.83,10.21,14.13,0.32,0.44,1.38,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,
SYNPCC7002_A2079,fus,208.8,61.28,84.76,0.29,0.41,1.38,elongation factor G Fus,Protein synthesis,Translation factors,Elongation factors,Cytoplasm,
SYNPCC7002_A2816,,59.35,20.43,28.25,0.34,0.48,1.38,"bifunctional GTP pyrophosphokinase/ guanosine-3',5'-bisdiphosphate 3'-pyrophosphohydrolase",Regulatory functions,Small molecule interactions,Stringent response,Cytoplasm,
SYNPCC7002_G0007,,71.76,10.21,14.13,0.14,0.20,1.38,AraC family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,
SYNPCC7002_A2231,gldF,6.47,10.21,14.13,1.59,2.17,1.38,ABC-type transport system permease component,Transport and binding proteins ,Unknown substrate,,Inner Membrane (6 transmembrane span),
SYNPCC7002_A1760,,2.16,10.21,14.13,4.76,6.67,1.38,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2082,,41,10.21,14.13,0.25,0.34,1.38,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2596,,189.37,48.51,67.5,0.26,0.36,1.39,P-like pilus periplasmic chaperone PapD-like,Protein fate,Protein and peptide secretion and trafficking,P-type pilus,Periplasm,
SYNPCC7002_A1811,sufS,173.73,56.17,78.48,0.32,0.45,1.40,cysteine desulfurase SufS,"Biosynthesis of cofactors, prosthetic groups, and carriers",Iron sulfur clusters,FeS cluster biogenesis and repair,Cytoplasm,SufR
SYNPCC7002_A0099,uppS,19.42,28.08,39.24,1.45,2.04,1.40,undecaprenyl pyrophosphate synthetase UppS,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis,Terpenoid backbone biosynthesis,Cytoplasm,
SYNPCC7002_A0017,,426.23,135.32,191.5,0.32,0.45,1.42,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1514,,38.31,7.66,10.99,0.20,0.29,1.43,putative glycosyltransferase group 1 family protein,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Cytoplasm,
SYNPCC7002_A0957,psbT,13443.94,4010.97,5721.43,0.30,0.43,1.43,photosystem II reaction center protein PsbT,Energy metabolism,Electron transport,Photosystem II,Thylakoid Membrane (1 transmembrane span),
SYNPCC7002_A1830,cutE,4.86,7.66,10.99,1.59,2.27,1.43,apolipoprotein N-acyltransferase Int,Protein fate,Protein modification and repair,Lipoprotein biosynthesis,Inner Membrane (6 transmembrane span),
SYNPCC7002_A0064,ushA,45.32,15.32,21.98,0.34,0.49,1.43,5'-nucleotidase UshA,"Purines, pyrimidines, nucleosides, and nucleotides",Sugar-nucleotide biosynthesis and conversions,,Periplasm,
SYNPCC7002_A1849,lexA,47.48,15.32,21.98,0.32,0.46,1.43,DNA damage-responsive transcriptional repressor LexA,Regulatory functions,DNA interactions,DNA repair - Translesion DNA synthesis,Cytoplasm,
SYNPCC7002_A0534,,4.32,7.66,10.99,1.79,2.56,1.43,major facilitator family transporter,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane span),
SYNPCC7002_F0019,,333.43,112.34,160.11,0.34,0.48,1.43,conserved hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0171,ccmR,220.13,382.97,550.95,1.75,2.50,1.44,transcriptional regulator of carbon dixoide fixation CcmR,Regulatory functions,DNA interactions,CO2 fixation,Cytoplasm,CcmR
SYNPCC7002_A0565,moaB,10.79,20.43,29.82,1.89,2.78,1.46,molybdenum cofactor biosynthesis protein MoaB,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,
SYNPCC7002_A2032,cruF,22.12,40.85,59.65,1.85,2.70,1.46,gamma-carotene 1' hydroxylase CruF,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,"Carotenoid biosynthesis, myxoxanthophyll",Inner Membrane (8 transmembrane span),
SYNPCC7002_A1563,queF,7.55,20.43,29.82,2.70,4.00,1.46,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0871,futC,121.93,20.43,29.82,0.17,0.24,1.46,ABC-type FeII uptake system ATPase component FutC,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,Fur
SYNPCC7002_A0324,rpe,69.6,102.13,150.69,1.47,2.17,1.48,ribulose-phosphate 3-epimerase Rpe,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,
SYNPCC7002_A2662,bfd,1627.21,137.87,204.06,0.08,0.13,1.48,bacterioferritin-associated ferredoxin Bfd,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Cytoplasm,
SYNPCC7002_A1801,ccmL,133.26,457.01,687.51,3.45,5.26,1.50,carboxysome minor structural protein CcmL,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,
SYNPCC7002_G0010,,151.61,403.39,605.89,2.63,4.00,1.50,uncharacterized periplasmic protein,Unknown function,General,,Periplasm,
SYNPCC7002_A2651,,285.41,91.91,139.7,0.32,0.49,1.52,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1978,,35.61,68.93,105.17,1.92,2.94,1.53,short chain dehydrogenase/reductase family oxidoreductase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1579,nfi,3.24,5.11,7.85,1.59,2.44,1.54,endodeoxyribonuclease V Nfi,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,
SYNPCC7002_A2268,ktrB,7.01,10.21,15.7,1.45,2.22,1.54,sodium-dependent potassium transport system permease component KtrB,Transport and binding proteins,Cations and iron carrying compounds,,Inner Membrane (10 transmembrane span),
SYNPCC7002_A0276,,18.34,76.59,117.72,4.17,6.25,1.54,conserved hypothetical protein (putative transposase or invertase),Unknown function,General,,Cytoplasm,
SYNPCC7002_A1368,,3.24,5.11,7.85,1.59,2.44,1.54,protein of unknown function DUF2605,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1464,,15.65,5.11,7.85,0.33,0.50,1.54,methyltransferase type 11,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1479,,17.8,5.11,7.85,0.29,0.44,1.54,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A1628,,2.16,5.11,7.85,2.38,3.70,1.54,histone deacetylase/AcuC/AphA family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A1233,,497.98,666.37,1042.26,1.33,2.08,1.56,hypothetical lipoprotein,Unknown function,General,,Inner Membrane Lipoprotein,
SYNPCC7002_A2732,,470.47,114.89,178.94,0.24,0.38,1.56,phosphopeptide-binding protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_G0140,,7.01,17.87,28.25,2.56,4.00,1.58,putative RNA-binding protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A0908,chlM,21.58,30.64,48.66,1.43,2.27,1.59,Mg-protoporphyrin O-methyltransferase ChlM,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,
SYNPCC7002_A2540,,6.47,12.77,20.41,1.96,3.13,1.60,family S9 protease,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,
SYNPCC7002_A0345,purM,8.09,12.77,20.41,1.59,2.50,1.60,phosphoribosylaminoimidazole synthetase PurM,"Purines, pyrimidines, nucleosides, and nucleotides",Purine ribonucleotide biosynthesis,,Cytoplasm,
SYNPCC7002_A2395,,151.07,25.53,40.81,0.17,0.27,1.60,protein of unknown function DUF1830,Unknown function,General,Nitrogen assimilation,Cytoplasm,NtcA
SYNPCC7002_A1659,,19.96,25.53,40.81,1.28,2.04,1.60,protein of unknown funciton DUF1049,Unknown function,General,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2514,,65.28,12.77,20.41,0.20,0.31,1.60,pentapeptide repeat-containing protein,Unknown function,General,,Extracellular,
SYNPCC7002_A0458,,7.55,20.43,32.96,2.70,4.35,1.61,FGGY family carbohydrate kinase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A2594,,7919.72,2108.89,3412.45,0.27,0.43,1.62,P-like pilus pilin protein,Cell envelope,Surface structures,P-type pilus,Surface structure,
SYNPCC7002_A1452,,3.24,7.66,12.56,2.38,3.85,1.64,two component signal transduction system response regulator,Signal transduction,Two-component systems,,Cytoplasm,
SYNPCC7002_A2557,,5.4,7.66,12.56,1.43,2.33,1.64,transporter folate-biopterin family,Transport and binding proteins,Cofactors and prosthetic groups,Folic acid (B9) biosynthesis and salvage,Inner Membrane (12 transmembrane span),
SYNPCC7002_A2730,rfrC,206.1,676.58,1106.61,3.33,5.26,1.64,pentapeptide repeat protein RfrC,Unknown function,General,,Extracellular,
SYNPCC7002_F0056,,86.32,22.98,37.67,0.27,0.44,1.64,WYL domain protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1361,moaA,8.63,10.21,17.27,1.18,2.00,1.69,molybdenum cofactor biosynthesis protein MoaA,"Biosynthesis of cofactors, prosthetic groups, and carriers",Molybdopterin and tungstate,Molybdopterin biosynthesis and salvage,Cytoplasm,
SYNPCC7002_G0087,fecD,46.94,10.21,17.27,0.22,0.37,1.69,ABC-type iron(III) dicitrate uptake system permease component FecD,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (9 transmembrane span),Fur
SYNPCC7002_A0971,,8.09,10.21,17.27,1.27,2.13,1.69,NAD-dependent epimerase/dehydratase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_G0046,,45.86,56.17,97.32,1.22,2.13,1.73,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A2801,,55.03,15.32,26.68,0.28,0.49,1.74,toxin-antitoxin system DUF433 family DNA-binding antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_A2635,,140.82,38.3,67.5,0.27,0.48,1.76,co-chaperone GrpE,Protein fate,Protein folding and stabilization,,Cytoplasm,
SYNPCC7002_A2222,,233.08,43.4,76.91,0.19,0.33,1.77,protein of unknown function DUF2949,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1601,pilA5,674.95,148.08,271.55,0.22,0.40,1.83,type IV pilin protein PilA5,Cell envelope,Surface structures,Type IV pilus,surface structure,
SYNPCC7002_A2346,,199.09,48.51,89.47,0.24,0.45,1.84,conserved hypothetical protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",Chlorophyll and bacteriochlorphyll,Chlorophyll biosynthesis,Cytoplasm,Fur
SYNPCC7002_A1500,,69.06,17.87,32.96,0.26,0.48,1.84,chain length determinant protein-tyrosine kinase Wzz,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Inner Membrane (1 transmembrane span),
SYNPCC7002_F0075,,15.11,2.55,4.71,0.17,0.31,1.84,toxin-antitoxin system Fic family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,
SYNPCC7002_F0003,,21.58,5.11,9.42,0.24,0.44,1.84,abortive infection phage resistance protein AIPR family,Cellular processes,General,,Cytoplasm,
SYNPCC7002_A1159,cad,20.5,2.55,4.71,0.12,0.23,1.84,lysine decarboxylase Cad,Central intermediary metabolism,Amino acids and amines,Lysine degradation,Cytoplasm,
SYNPCC7002_A1879,,2.16,2.55,4.71,1.18,2.17,1.84,bacteriophage replicative DNA helicase,Mobile and extrachromosomal element functions,Prophage functions,Bacteriophage,Cytoplasm,
SYNPCC7002_A0540,,21.58,5.11,9.42,0.24,0.44,1.84,membrane protein with DnaJ domain,Protein fate,Protein folding and stabilization,,Inner Membrane (1 transmembrane span),
SYNPCC7002_A2310,rsmE,3.24,5.11,9.42,1.59,2.94,1.84,16S rRNA (uracil1498-N3)-methyltransferase RsmE,Protein synthesis,tRNA and rRNA base modification,Ribosome biogenesis,Cytoplasm,
SYNPCC7002_A0485,truB,4.32,5.11,9.42,1.18,2.17,1.84,tRNA pseudouridine 55 synthase TruB,Protein synthesis,tRNA and rRNA base modification,Transfer RNA Biogenesis,Cytoplasm,
SYNPCC7002_A0022,hatR,2.16,2.55,4.71,1.18,2.17,1.84,WD-repeat protein involved in the control of a high-affinity transport of inorganic carbon HatR,Regulatory functions,Protein interactions,CO2 fixation,Inner Membrane (1 transmembrane span),
SYNPCC7002_A0603,,7.55,10.21,18.84,1.35,2.50,1.84,phosphotransferase family enzyme,Unknown function,Enzymes of unknown specificity,,Cytoplasm,
SYNPCC7002_A0936,,1420.04,370.2,679.67,0.26,0.48,1.84,putative outer membrane protein,Unknown function,General,,Outer Membrane,
SYNPCC7002_A1306,,58.27,15.32,28.25,0.26,0.49,1.84,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1438,,5.93,12.77,23.54,2.17,4.00,1.84,protein of unknown function DUF4112,Unknown function,General,,Inner Membrane (2 transmembrane span),
SYNPCC7002_A1478,,233.62,51.06,94.18,0.22,0.40,1.84,hypothetical protein,Unknown function,General,,Cytoplasm,
SYNPCC7002_A1480,,10.79,2.55,4.71,0.24,0.44,1.84,protein of unknown function DUF1176,Unknown function,General,,Inner Membrane (1 transmembrane span),
