 Locus tag,Gene abbreviation,"RPKM1 ,             Syn 7002_ax   High light, high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SYNPCC7002_A0320,,162.4,33.19,81.62,0.204,0.503,2.46,thioredoxin-dependent peroxidase 1-Cys family,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,SYNPCC7002_A0320,locus_tag: Locus tag
SYNPCC7002_A2744,selD,2.7,2.55,6.28,0.943,2.326,2.46,bifunctional NADH dehydrogenase-like protein / selenide water dikinase SelD,Cellular processes,Non-protein molecular trafficking,Selenocompound metabolism,Cytoplasm,,SYNPCC7002_A2744,locus_tag: Locus tag
SYNPCC7002_A1466,,17.26,5.11,14.13,0.296,0.82,2.77,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A1466,locus_tag: Locus tag
SYNPCC7002_A2802,,16.19,5.11,14.13,0.315,0.87,2.77,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A2802,locus_tag: Locus tag
SYNPCC7002_C0012,,62.05,28.08,80.05,0.452,1.282,2.85,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_C0012,locus_tag: Locus tag
SYNPCC7002_F0024,,177.5,30.64,89.47,0.173,0.505,2.92,toxin-antitoxin system Xre family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0024,locus_tag: Locus tag
SYNPCC7002_F0080,,37.77,7.66,25.11,0.203,0.667,3.28,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0080,locus_tag: Locus tag
SYNPCC7002_F0027,,69.06,20.43,73.77,0.296,1.064,3.61,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0027,locus_tag: Locus tag
SYNPCC7002_A2641,,222.82,15.32,75.34,0.069,0.338,4.92,toxin-antitoxin system Phd family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A2641,locus_tag: Locus tag
SYNPCC7002_F0030,,28.06,5.11,25.11,0.182,0.893,4.92,toxin-antitoxin system AbrB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0030,locus_tag: Locus tag
SYNPCC7002_A1680,,26.98,2.55,14.13,0.095,0.524,5.53,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A1680,locus_tag: Locus tag
SYNPCC7002_A1755,,25.36,2.55,14.13,0.101,0.559,5.53,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A1755,locus_tag: Locus tag
SYNPCC7002_F0084,,24.82,5.11,28.25,0.206,1.136,5.53,toxin-antitoxin system Mnt family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0084,locus_tag: Locus tag
SYNPCC7002_A2640,,124.63,12.77,84.76,0.102,0.68,6.64,toxin-antitoxin system RelE family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A2640,locus_tag: Locus tag
SYNPCC7002_A2413,,23.74,2.55,17.27,0.108,0.73,6.76,glutathione transferase ECM4-like family,Cellular processes,Detoxification,Oxidative stress (non-redox reactions),Cytoplasm,,SYNPCC7002_A2413,locus_tag: Locus tag
SYNPCC7002_A0819,,50.18,2.55,42.38,0.051,0.847,16.6,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A0819,locus_tag: Locus tag
SYNPCC7002_A0031,,46.94,2.55,54.94,0.054,1.176,21.52,DNA-binding stress response protein Dps family,Cellular processes,Adaptations to atypical conditions,Oxidative stress,Cytoplasm,,SYNPCC7002_A0031,locus_tag: Locus tag
SYNPCC7002_F0013,,8.63,0.12,3.14,0.014,0.364,25.52,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0013,locus_tag: Locus tag
SYNPCC7002_F0074,,14.03,0.12,3.14,0.009,0.224,25.52,toxin-antitoxin system antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0074,locus_tag: Locus tag
SYNPCC7002_G0082,,17.8,0.12,3.14,0.007,0.176,25.52,glyoxalase family protein,Cellular processes,Detoxification,Oxidative stress,Cytoplasm,,SYNPCC7002_G0082,locus_tag: Locus tag
SYNPCC7002_F0010,,6.47,0.12,6.28,0.019,0.971,51.05,toxin-antitoxin system MazE family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0010,locus_tag: Locus tag
SYNPCC7002_A2240,soj,9.71,0.12,7.85,0.013,0.806,63.81,chromsome partitioning ATPase Soj,Cellular processes,Cell division,,Cytoplasm,,SYNPCC7002_A2240,locus_tag: Locus tag
SYNPCC7002_A1855,,10.79,0.12,9.42,0.011,0.87,76.57,Uma2 family endonuclease toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems - one component,Cytoplasm,,SYNPCC7002_A1855,locus_tag: Locus tag
SYNPCC7002_F0005,,24.28,0.12,9.42,0.005,0.388,76.57,toxin-antitoxin system HicB family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0005,locus_tag: Locus tag
SYNPCC7002_F0064,,22.66,0.12,9.42,0.005,0.415,76.57,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_F0064,locus_tag: Locus tag
SYNPCC7002_A1775,,21.04,0.12,12.56,0.006,0.595,102.09,toxin-antitoxin system PIN family toxin,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A1775,locus_tag: Locus tag
SYNPCC7002_A2486,,17.8,0.12,18.84,0.007,1.053,153.14,toxin-antitoxin system RHH family antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A2486,locus_tag: Locus tag
SYNPCC7002_A0820,,102.51,0.12,53.37,0.001,0.521,433.89,toxin-antitoxin system antidote,Cellular processes,Toxin production and resistance,Toxin-antitoxin systems,Cytoplasm,,SYNPCC7002_A0820,locus_tag: Locus tag
SYNPCC7002_A1799,ccmN,64.74,25.53,59.65,0.394,0.917,2.34,carboxysome structural protein CcmN,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A1799,locus_tag: Locus tag
SYNPCC7002_A2612,ccmK3,12.95,5.11,25.11,0.394,1.923,4.92,carboxysome major structural protein CcmK3,Cellular structures and extracellular matrix,Microcompartments,CO2 fixation,Carboxysome,,SYNPCC7002_A2612,locus_tag: Locus tag
SYNPCC7002_A1492,,85.25,1062.1,182.08,12.5,2.128,0.17,phosphoacetylglucosamine mutase Pgm,Central intermediary metabolism,Amino sugars,biosynthesis of UDP-N-acetylglucosamine,Cytoplasm,,SYNPCC7002_A1492,locus_tag: Locus tag
SYNPCC7002_A0006,nanE,2.16,10.21,3.14,4.762,1.449,0.31,N-acetylmannosamine-6-phosphate 2-epimerase NanE,Central intermediary metabolism,Amino sugars,N-acetylneuraminate and N-acetylmannosamine degradation,Cytoplasm,,SYNPCC7002_A0006,locus_tag: Locus tag
SYNPCC7002_A0271,arcA,16.19,127.66,40.81,7.692,2.5,0.32,L-arginine deiminase ArcA,Central intermediary metabolism,Amino acids and amines,Arginine degradation (L-arginine deiminase pathway),Cytoplasm,,SYNPCC7002_A0271,locus_tag: Locus tag
SYNPCC7002_A0824,ansA1,4.86,12.77,4.71,2.632,0.971,0.37,L-asparagine amidopeptidase AnsA1,Central intermediary metabolism,Amino acids and amines,Aspartate degradation,Cytoplasm,,SYNPCC7002_A0824,locus_tag: Locus tag
SYNPCC7002_A1703,gcvT,7.55,28.08,12.56,3.704,1.667,0.45,glycine cleavage system aminomethyltransferase GcvT,Central intermediary metabolism,Amino acids and amines,Glycine degradation,Cytoplasm,,SYNPCC7002_A1703,locus_tag: Locus tag
SYNPCC7002_A2814,,11.33,20.43,9.42,1.818,0.833,0.46,3-hydroxyacid dehydrogenase MmsB,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,,SYNPCC7002_A2814,locus_tag: Locus tag
SYNPCC7002_A0887,sppA,143.51,104.68,51.8,0.73,0.361,0.49,sucrose-phosphate phosphatase SppA,Central intermediary metabolism,Sugars,Sucrose biosynthesis,Cytoplasm,,SYNPCC7002_A0887,locus_tag: Locus tag
SYNPCC7002_A1714,metK,89.56,40.85,83.19,0.457,0.926,2.04,S-adenosylmethionine synthetase MetK,Central intermediary metabolism,General,Methionine salvage,Cytoplasm,,SYNPCC7002_A1714,locus_tag: Locus tag
SYNPCC7002_A0008,manA,8.63,5.11,10.99,0.592,1.266,2.15,mannose-6-phosphate isomerase ManA,Central intermediary metabolism,Sugars,,Cytoplasm,,SYNPCC7002_A0008,locus_tag: Locus tag
SYNPCC7002_A1109,speB,7.01,2.55,6.28,0.364,0.893,2.46,agmatinase SpeB,Central intermediary metabolism,Amino acids and amines,"Arginine degradation, L-arginine decarboxylase pathways",Cytoplasm,,SYNPCC7002_A1109,locus_tag: Locus tag
SYNPCC7002_A2774,ald,10.25,5.11,12.56,0.498,1.22,2.46,alanine dehydrogenase Ald,Central intermediary metabolism,Amino acids and amines,Alanine degradation,Cytoplasm,,SYNPCC7002_A2774,locus_tag: Locus tag
SYNPCC7002_D0008,nthB,5.93,5.11,12.56,0.862,2.128,2.46,cobalt-containing nitrile hydratase subunit beta NthB,Central intermediary metabolism,Amino acids and amines,Nitrogen assimilation - Aliphatic nitriles,Cytoplasm,,SYNPCC7002_D0008,locus_tag: Locus tag
SYNPCC7002_D0007,nthA,4.32,2.55,14.13,0.592,3.226,5.53,cobalt-containing nitrile hydratase subunit alpha NthA,Central intermediary metabolism,Amino acids and amines,Nitrogen assimilation - Aliphatic nitriles,Cytoplasm,,SYNPCC7002_D0007,locus_tag: Locus tag
SYNPCC7002_A0108,mtaP,14.57,0.12,9.42,0.008,0.645,76.57,5'-methylthioadenosine phosphorylase MtaP,Central intermediary metabolism,General,Methionine salvage,Cytoplasm,,SYNPCC7002_A0108,locus_tag: Locus tag
SYNPCC7002_A2796,phrA,10.79,74.04,20.41,6.667,1.887,0.28,FAD-dependent deoxyribopyrimidine photolyase PhrA,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,,SYNPCC7002_A2796,locus_tag: Locus tag
SYNPCC7002_A2384,dnaE,83.09,301.27,89.47,3.571,1.075,0.3,DNA polymerase III alpha subunit DnaE,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,,SYNPCC7002_A2384,locus_tag: Locus tag
SYNPCC7002_F0089,,179.66,255.31,89.47,1.429,0.498,0.35,Type I restriction modification system N-6 DNA methylase,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_F0089,locus_tag: Locus tag
SYNPCC7002_F0086,,5.4,12.77,4.71,2.381,0.87,0.37,putative helicase,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,,SYNPCC7002_F0086,locus_tag: Locus tag
SYNPCC7002_A1073,,37.77,94.47,36.1,2.5,0.952,0.38,conserved hypothetical protein associated with LlaI-like type II restriction endonuclease,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A1073,locus_tag: Locus tag
SYNPCC7002_A1938,gyrA,6.47,17.87,7.85,2.778,1.22,0.44,DNA gyrase alpha subunit GyrA,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,,SYNPCC7002_A1938,locus_tag: Locus tag
SYNPCC7002_A2132,aquRM,148.91,81.7,36.1,0.549,0.243,0.44,type II restriction enzyme and methylase AquRM,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A2132,locus_tag: Locus tag
SYNPCC7002_A1188,aquIB,69.06,145.53,67.5,2.128,0.98,0.46,cytosine-specific methyltransferase beta subunit AquIB,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A1188,locus_tag: Locus tag
SYNPCC7002_A1620,dam,45.32,58.72,28.25,1.299,0.625,0.48,type II restriction-modification system GATC-specific DNA-methyltransferase,DNA metabolism,Restriction/modification,Type II restriction-modification system,Cytoplasm,,SYNPCC7002_A1620,locus_tag: Locus tag
SYNPCC7002_A0358,,50.18,63.83,31.39,1.266,0.625,0.49,N6 adenine-specific DNA methyltransferase,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A0358,locus_tag: Locus tag
SYNPCC7002_A0849,dcm,10.25,7.66,15.7,0.746,1.538,2.05,cytosine-specific methyltransferase Dcm,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_A0849,locus_tag: Locus tag
SYNPCC7002_A0613,,8.63,5.11,10.99,0.592,1.266,2.15,helicase SNF2 family,DNA metabolism,"DNA replication, recombination, and repair",DNA Repair,Cytoplasm,,SYNPCC7002_A0613,locus_tag: Locus tag
SYNPCC7002_C0003,hsdM,48.02,28.08,65.93,0.585,1.37,2.35,type I restriction-modification system DNA-methyltransferase subunit HsdM,DNA metabolism,Restriction/modification,Restriction-modification systems,Cytoplasm,,SYNPCC7002_C0003,locus_tag: Locus tag
SYNPCC7002_A2627,sbcC,8.09,2.55,6.28,0.315,0.775,2.46,DNA double-strand break repair ATPase sbcC,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,,SYNPCC7002_A2627,locus_tag: Locus tag
SYNPCC7002_E0025,nuc,14.03,7.66,20.41,0.546,1.449,2.66,DNA/RNA non-specific endonuclease Nuc,DNA metabolism,Degradation of DNA,,Inner Membrane (1 transmembrane span),,SYNPCC7002_E0025,locus_tag: Locus tag
SYNPCC7002_A0601,rdgB,10.25,5.11,14.13,0.498,1.37,2.77,non-canonical purine NTP pyrophosphatase RdgB,DNA metabolism,"DNA replication, recombination, and repair",,Cytoplasm,,SYNPCC7002_A0601,locus_tag: Locus tag
SYNPCC7002_C0006,,43.16,22.98,73.77,0.532,1.695,3.21,type I restriction-modification system restriction subunit HsdR,DNA metabolism,Restriction/modification,Restriction-modification systems,Cytoplasm,,SYNPCC7002_C0006,locus_tag: Locus tag
SYNPCC7002_E0005,ardA,3.78,5.11,17.27,1.351,4.545,3.38,antirestriction protein ArdA,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_E0005,locus_tag: Locus tag
SYNPCC7002_A2455,nth,3.78,2.55,9.42,0.676,2.5,3.69,endonuclease III Nth,DNA metabolism,"DNA replication, recombination, and repair",Single strand breaks repair,Cytoplasm,,SYNPCC7002_A2455,locus_tag: Locus tag
SYNPCC7002_C0009,,4.86,12.77,53.37,2.632,11.111,4.18,type III restriction protein res subunit,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_C0009,locus_tag: Locus tag
SYNPCC7002_A0451,recN,9.71,2.55,10.99,0.263,1.136,4.3,DNA repair protein RecN,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,,SYNPCC7002_A0451,locus_tag: Locus tag
SYNPCC7002_A0978,radA,4.86,0.12,4.71,0.025,0.971,38.28,DNA repair protein RadA,DNA metabolism,"DNA replication, recombination, and repair",Double strand breaks repair,Cytoplasm,,SYNPCC7002_A0978,locus_tag: Locus tag
SYNPCC7002_A0220,radC,13.49,0.12,7.85,0.009,0.581,63.81,DNA repair protein RadC,DNA metabolism,"DNA replication, recombination, and repair",Stress response,Cytoplasm,,SYNPCC7002_A0220,locus_tag: Locus tag
SYNPCC7002_E0012,,8.63,0.12,21.98,0.014,2.564,178.66,cytosine-specific methyltransferase,DNA metabolism,Restriction/modification,,Cytoplasm,,SYNPCC7002_E0012,locus_tag: Locus tag
SYNPCC7002_A1196,trxM,32.37,201.7,40.81,6.25,1.266,0.2,thioredoxin M TrxM,Energy metabolism,Electron transport,Stress response and detoxification,Cytoplasm,,SYNPCC7002_A1196,locus_tag: Locus tag
SYNPCC7002_A0749,atpD,258.43,1319.97,359.45,5.0,1.389,0.27,F1 ATP synthase complex beta subunit AtpD,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_A0749,locus_tag: Locus tag
SYNPCC7002_A2125,glgA,5.93,22.98,7.85,3.846,1.316,0.34,glycogen synthase GlgA,Energy metabolism,Biosynthesis and degradation of polysaccharides,Glycogen,Cytoplasm,,SYNPCC7002_A2125,locus_tag: Locus tag
SYNPCC7002_A2686,,8.63,22.98,7.85,2.632,0.909,0.34,TonB family protein,Energy metabolism,TonB energy transduction system,TonB energy transduction system,Periplasm,,SYNPCC7002_A2686,locus_tag: Locus tag
SYNPCC7002_G0148,atpBN,41.0,28.08,10.99,0.685,0.268,0.39,N-type Na+ translocating ATPase F0 complex subunit A AtpBN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (5 transmembrane span),,SYNPCC7002_G0148,locus_tag: Locus tag
SYNPCC7002_A1842,,35.61,229.78,92.61,6.667,2.632,0.4,cytochrome b561,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane span),,SYNPCC7002_A1842,locus_tag: Locus tag
SYNPCC7002_A1317,exbD,49.64,155.74,64.36,3.125,1.299,0.41,outer membrane transport energizing sytem membrane anchored component ExbD,Energy metabolism,TonB energy transduction system,TonB energy transduction system,Inner Membrane (1 transmembrane span),,SYNPCC7002_A1317,locus_tag: Locus tag
SYNPCC7002_A0293,trxB,108.44,178.72,75.34,1.639,0.694,0.42,x-type thioredoxin TrxB,Energy metabolism,Electron transport,,Cytoplasm,,SYNPCC7002_A0293,locus_tag: Locus tag
SYNPCC7002_A1796,rbcS,3366.11,18645.53,7805.95,5.556,2.326,0.42,ribulose bisphosphate carboxylase small subunit RbcS,Energy metabolism,Photosynthesis,CO2 fixation,Carboxysome Lumen,,SYNPCC7002_A1796,locus_tag: Locus tag
SYNPCC7002_A0175,cupS,934.46,4460.32,1914.99,4.762,2.041,0.43,NDH-1 complex sensory subunit CupS,Energy metabolism,CO2 fixation,CO2 fixation,Carboxysome,CcmR and Crp,SYNPCC7002_A0175,locus_tag: Locus tag
SYNPCC7002_A2560,gpmB,9.71,38.3,17.27,4.0,1.786,0.45,phosphoglycerate mutase GpmB,Energy metabolism,Glycolysis/gluconeogenesis,,Cytoplasm,,SYNPCC7002_A2560,locus_tag: Locus tag
SYNPCC7002_A0130,eda,6.47,10.21,4.71,1.587,0.73,0.46,bifunctional 4-hydroxy-2-oxoglutarate aldolase / 2-dehydro-3-deoxyphosphogluconate aldolase Eda,Energy metabolism,Entner-Doudoroff,Entner-Doudoroff pathway,Cytoplasm,,SYNPCC7002_A0130,locus_tag: Locus tag
SYNPCC7002_A2094,ndhO,538.45,1927.62,899.42,3.571,1.667,0.47,proton-translocating NADH-quinone dehydrogenase subunit O NdhO,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,,SYNPCC7002_A2094,locus_tag: Locus tag
SYNPCC7002_A1319,ureA,23.2,45.96,21.98,2.0,0.943,0.48,urease gamma subunit UreA,Energy metabolism,Nitrogen metabolism,Nitrogen assimilation - urea,Cytoplasm,,SYNPCC7002_A1319,locus_tag: Locus tag
SYNPCC7002_A2795,ylmH,38.31,117.44,56.51,3.03,1.471,0.48,photosystem II ETS energy balancing protein with S4 RNA binding domain YlmH,Energy metabolism,Photosynthesis,Photosystem II,Cytoplasm,,SYNPCC7002_A2795,locus_tag: Locus tag
SYNPCC7002_A0448,maeB,8.63,51.06,25.11,5.882,2.941,0.49,decarboxylating NADP-dependent malic enzyme MaeB,Energy metabolism,Pyruvate dehydrogenase,Pyruvate dehydrogenase anaplerotic reactions,Cytoplasm,,SYNPCC7002_A0448,locus_tag: Locus tag
SYNPCC7002_G0145,atpCN,142.97,61.28,29.82,0.429,0.209,0.49,N-type Na+ translocating ATPase F1 complex epsilon subunit AtpCN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_G0145,locus_tag: Locus tag
SYNPCC7002_A0115,,85.78,22.98,50.23,0.268,0.585,2.19,family 57 glycoside hydrolase,Energy metabolism,Biosynthesis and degradation of polysaccharides,Starch and sucrose metabolism,Cytoplasm,,SYNPCC7002_A0115,locus_tag: Locus tag
SYNPCC7002_A1418,psbA,7998.49,2701.21,5975.72,0.338,0.746,2.21,photosystem II protein D1 PsbA,Energy metabolism,Photosynthesis,Photosystem II,Thylakoid Membrane (6 transmembrane spans),,SYNPCC7002_A1418,locus_tag: Locus tag
SYNPCC7002_A2319,,19.96,5.11,12.56,0.256,0.629,2.46,type 3 multicopper oxidase,Energy metabolism,Electron transport,,Periplasm,,SYNPCC7002_A2319,locus_tag: Locus tag
SYNPCC7002_A1393,psaE,9610.6,2080.8,5435.75,0.216,0.565,2.61,photosystem I reaction center subunit IV PsaE,Energy metabolism,Photosynthesis,Photosystem I,Cytoplasm,,SYNPCC7002_A1393,locus_tag: Locus tag
SYNPCC7002_A2325,,65.28,22.98,61.22,0.352,0.935,2.66,2Fe-2S ferredoxin PetF-like,Energy metabolism,Photosynthesis,,Cytoplasm,,SYNPCC7002_A2325,locus_tag: Locus tag
SYNPCC7002_A0359,tolB,58.27,12.77,34.53,0.219,0.592,2.71,Tol biopolymer transport system periplasmic component TolB,Energy metabolism,TonB energy transduction system,TonB energy transduction system,Inner Membrane Lipoprotein,,SYNPCC7002_A0359,locus_tag: Locus tag
SYNPCC7002_A1344,sat,28.06,10.21,28.25,0.364,1.01,2.77,dissimilatory sulfate adenylyltransferase Sat,Energy metabolism,Sulfur metabolism,,Cytoplasm,,SYNPCC7002_A1344,locus_tag: Locus tag
SYNPCC7002_A1794,,11.87,2.55,7.85,0.215,0.662,3.07,ferredoxin,Energy metabolism,Electron transport,,Cytoplasm,,SYNPCC7002_A1794,locus_tag: Locus tag
SYNPCC7002_A2548,petF,4.86,2.55,7.85,0.526,1.613,3.07,2Fe-2S ferredoxin PetF,Energy metabolism,Electron transport,photosynthetic electron Transport,Inner Membrane (1 transmembrane span),,SYNPCC7002_A2548,locus_tag: Locus tag
SYNPCC7002_A2660,,135.42,2.55,7.85,0.019,0.058,3.07,multicopper oxidase,Energy metabolism,Electron transport,,Periplasm,,SYNPCC7002_A2660,locus_tag: Locus tag
SYNPCC7002_G0150,atpFN,13.49,2.55,7.85,0.189,0.581,3.07,N-type Na+ translocating ATPase F0 complex subunit B AtpFN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Inner Membrane (1 transmembrane span),,SYNPCC7002_G0150,locus_tag: Locus tag
SYNPCC7002_A0569,ndhM,71.22,17.87,56.51,0.251,0.794,3.16,electron transfer proton-translocating NADH-quinone dehydrogenase subunit M NdhM,Energy metabolism,Electron transport,Oxidative phosphorylation,Cytoplasm,,SYNPCC7002_A0569,locus_tag: Locus tag
SYNPCC7002_A2558,talC,16.19,7.66,25.11,0.474,1.563,3.28,transaldolase TalC,Energy metabolism,Pentose phosphate pathway,,Cytoplasm,,SYNPCC7002_A2558,locus_tag: Locus tag
SYNPCC7002_A2749,ndhK,104.67,53.62,175.8,0.513,1.667,3.28,proton-translocating NADH-quinone dehydrogenase subunit B NadhK,Energy metabolism,Electron transport,CO2 fixation: Respiratory Complex I,Inner Membrane (1 transmembrane span),,SYNPCC7002_A2749,locus_tag: Locus tag
SYNPCC7002_A2041,fumC,10.25,2.55,9.42,0.249,0.917,3.69,fumarate hydratase class II FumC,Energy metabolism,TCA cycle,,Cytoplasm,,SYNPCC7002_A2041,locus_tag: Locus tag
SYNPCC7002_A2437,ureB,32.37,10.21,39.24,0.315,1.22,3.84,urease beta subunit UreB,Energy metabolism,Nitrogen metabolism,Nitrogen assimilation - urea,Cytoplasm,,SYNPCC7002_A2437,locus_tag: Locus tag
SYNPCC7002_A0231,psbF,426.77,53.62,351.61,0.126,0.826,6.56,cytochrome b559 beta subunit PsbF,Energy metabolism,Photosynthesis,Photosystem II,Thylakoid Membrane (1 transmembrane span),,SYNPCC7002_A0231,locus_tag: Locus tag
SYNPCC7002_G0152,atpGN,12.95,0.12,4.71,0.009,0.364,38.28,N-type Na+ translocating ATPase F1 complex gamma subunit AtpGN,Energy metabolism,ATP-proton motive force interconversion,ATP biosynthesis,Cytoplasm,,SYNPCC7002_G0152,locus_tag: Locus tag
SYNPCC7002_A2207,,7.01,0.12,7.85,0.018,1.124,63.81,ferredoxin,Energy metabolism,Electron transport,,Cytoplasm,,SYNPCC7002_A2207,locus_tag: Locus tag
SYNPCC7002_G0137,exbB,65.82,0.12,7.85,0.002,0.119,63.81,outer membrane transport energizing sytem permease component ExbB,Energy metabolism,TonB energy transduction system,Iron homeostasis,Inner Membrane (3 transmembrane span),Fur,SYNPCC7002_G0137,locus_tag: Locus tag
SYNPCC7002_A1269,rpiA,11.87,0.12,17.27,0.01,1.449,140.38,ribose-5-phosphate isomerase A RpiA,Energy metabolism,Pentose phosphate pathway,,Inner Membrane (1 transmembrane span),,SYNPCC7002_A1269,locus_tag: Locus tag
SYNPCC7002_A0228,rubA,21.58,0.12,20.41,0.006,0.943,165.9,photosystem I assembly protein membrane-associated rubredoxin RubA,Energy metabolism,Electron transport,Photosystem II,Thylakoid Membrane (1 transmembrane span),,SYNPCC7002_A0228,locus_tag: Locus tag
SYNPCC7002_A0521,pgpB,7.55,38.3,10.99,5.0,1.449,0.29,integral membrane phosphatidylglycerophosphatase PgpB,Fatty acid and phospholipid metabolism,Biosynthesis,Phosphatidylglycerol biosynthesis,Inner Membrane (6 transmembrane span),,SYNPCC7002_A0521,locus_tag: Locus tag
SYNPCC7002_A0070,fabZ,3.78,28.08,9.42,7.692,2.5,0.34,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Cytoplasm,,SYNPCC7002_A0070,locus_tag: Locus tag
SYNPCC7002_A2838,glpQ,24.28,107.23,37.67,4.348,1.563,0.35,glycerophosphoryl diester phosphodiesterase GlpQ,Fatty acid and phospholipid metabolism,Degradation,Glycerophospholipid metabolism,Cytoplasm,,SYNPCC7002_A2838,locus_tag: Locus tag
SYNPCC7002_A0159,desB,33.99,17.87,36.1,0.526,1.064,2.02,omega-3 acyl-lipid desaturase DesB,Fatty acid and phospholipid metabolism,Biosynthesis,Fatty acid biosynthesis,Inner Membrane (4 transmembrane span),,SYNPCC7002_A0159,locus_tag: Locus tag
SYNPCC7002_A2809,crtW,2.7,7.66,1.57,2.857,0.581,0.2,beta-carotene ketolase CrtW,Metabolism of terpenoids and polyketides,Carotenoid biosynthesis,Carotenoid biosynthesis; 3'-hydroxyechinenone,Inner Membrane (4 transmembrane span),,SYNPCC7002_A2809,locus_tag: Locus tag
