 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,Unnamed: 14,resolved_locus_tag,resolution_method
SputW3181_0900,pldA,25.1,50.0,19.2,1.99,0.76,0.38,phospholipase A1 PldA,Fatty acid and phospholipid metabolism,Biosynthesis,Glycerophospholipid metabolism,Outer membrane,,,,unresolved
SputW3181_0901,cysG,32.6,86.4,12.0,2.65,0.37,0.14,uroporphyrin-III C-methyltransferase CysG,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Heme and Siroheme biosynthesis,Cytoplasm,,,,unresolved
SputW3181_0902,cysD,75.4,155.3,68.1,2.06,0.9,0.44,sulfate adenylyltransferase small subunit CysD,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_0903,cysN,59.5,112.1,40.0,1.88,0.67,0.36,sulfate adenylyltransferase large subunit CysN,Energy metabolism,Sulfur metabolism,Sulfur assimilation,Cytoplasm,,,,unresolved
SputW3181_0904,,54.9,68.9,17.6,1.25,0.32,0.26,Trk-type sulfate permease,Transport and binding proteins,Anions,Sulfate transport,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_0905,cysC,36.3,33.8,4.8,0.93,0.13,0.14,adenylylsulfate kinase CysC,Energy metabolism,Sulfur metabolism,Sulfur metabolism,Cytoplasm,,,,unresolved
SputW3181_0906,,10.2,9.5,24.0,0.92,2.35,2.54,protein of unknown function DUF2806,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0911,nfnB,13.0,16.2,4.8,1.24,0.37,0.3,bifunctional oxygen-insensitive NAD(P)H nitroreductase/dihydropteridine reductase NfnB,Energy metabolism,Nitrogen metabolism,,Cytoplasm,,,,unresolved
SputW3181_0915,,67.9,86.4,32.0,1.27,0.47,0.37,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0919,,12.1,0.0,19.2,0.01,1.59,156.24,LysR family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_0920,lrgA,185.2,4.1,31.2,0.02,0.17,7.71,inner membrane protein LrgA,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0921,lrgB,143.3,6.8,18.4,0.05,0.13,2.73,inner membrane protein LrgB,Cellular processes,Toxin production and resistance,Murein hydrolase regulation and cell death,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_0926,,18.6,21.6,8.0,1.16,0.43,0.37,AraC family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_0927,pitB,11.2,10.8,0.0,0.97,0.01,0.01,metal ion-phosphate:proton symporter PitB,Transport and binding proteins,Anions,,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_0928,,13.0,10.8,3.2,0.83,0.25,0.3,protein of unknown function DUF72,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0937,slyX,38.1,36.5,96.9,0.96,2.54,2.66,functionally uncharacterized protein SlyX,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0939,fklB,50.2,63.5,168.9,1.26,3.36,2.66,peptidyl-prolyl cis-trans isomerase FklB,Protein fate,Protein folding and stabilization,Cell division,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_0944,,19.5,29.7,8.8,1.52,0.45,0.3,abortive infection protein,Unknown function,General,,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_0947,,6.5,6.8,0.0,1.04,0.02,0.02,acteyltransferase GNAT family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_0951,,15.8,9.5,46.4,0.6,2.94,4.91,protein of unknown function DUF3144,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0952,,9.3,16.2,32.8,1.74,3.53,2.03,hypothetical periplasmic protein,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_0953,pyrC,7.4,6.8,32.8,0.91,4.41,4.86,dihydroorotase homodimeric type PyrC,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,Pyrimidine biosynthesis,Cytoplasm,Crp,,,unresolved
SputW3181_0956,,3.7,2.7,8.8,0.73,2.37,3.26,ABC-type macrolide family export system ATPase component 1,Transport and binding proteins,Unknown substrate,,Cytoplasm,,,,unresolved
SputW3181_0957,,7.4,8.1,23.2,1.09,3.12,2.87,ABC-type macrolide family export system permease component 2,Transport and binding proteins,Unknown substrate,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_0959,,26.1,31.1,13.6,1.19,0.52,0.44,two component signal transduction system Sigma54-dependent response regulator Fis family,Signal transduction,Two component systems,Nitrogen metabolism,Cytoplasm,,,,unresolved
SputW3181_0960,,14.9,13.5,5.6,0.91,0.38,0.41,two component signal transduction system histidine kinase,Signal transduction,Two-component systems,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0961,csgE,3.7,114.8,0.0,30.85,0.03,0.0,curli secretion apparatus substrate specificity factor CsgE,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Periplasm,,,,unresolved
SputW3181_0962,csgF,2.8,66.2,0.0,23.71,0.04,0.0,curli secretion system chaperone CsgF,Protein fate,Protein and peptide secretion and trafficking,Curli amyloid fibers,Outer Membrane,,,,unresolved
SputW3181_0963,csgG,2.8,44.6,4.0,15.97,1.43,0.09,curli secretion system secretin CsgG,Transport and binding proteins,Porins and secretins,Curli amyloid fibers,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_0964,calR,14.9,12.2,0.0,0.82,0.01,0.01,transcriptional repressor of aromatic compound utilization CalR,Regulatory functions,DNA interactions,aromatic compound degradation,Cytoplasm,CalR and Crp,,,unresolved
SputW3181_0966,,160.0,170.2,35.2,1.06,0.22,0.21,protein of unknown function DUF3478,Unknown function,General,,Cytoplasm,Crp,,,unresolved
SputW3181_0967,,151.7,175.6,71.3,1.16,0.47,0.41,universal stress protein family,Cellular processes,Adaptations to atypical conditions,Stress response,Cytoplasm,,,,unresolved
SputW3181_0973,,66.1,94.6,22.4,1.43,0.34,0.24,hypothetical inner membrane protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_0975,,14.0,13.5,0.0,0.97,0.01,0.01,10 TMS drug/metabolite efflux pump (DME) family,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_0976,dnaK,522.9,648.3,193.0,1.24,0.37,0.3,chaperone protein DnaK,Protein fate,Protein folding and stabilization,,Cytoplasm,,,,unresolved
SputW3181_0977,dnaJ,492.2,516.0,124.1,1.05,0.25,0.24,chaperone protein DnaJ,Protein fate,Protein folding and stabilization,,Cytoplasm,,,,unresolved
SputW3181_0978,,80.0,43.2,20.0,0.54,0.25,0.46,methyl-accepting chemotaxis sensory transducer,Signal transduction,Taxis,,Cytoplasm,,,,unresolved
SputW3181_0979,,5.6,24.3,0.0,4.35,0.02,0.01,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0980,,9.3,32.4,6.4,3.48,0.69,0.2,protein of unknown function DUF3696,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0981,,8.4,25.7,5.6,3.06,0.67,0.22,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_0983,cobC,85.6,16.2,4.0,0.19,0.05,0.25,alpha-ribazole-5-phosphate phosphatase CobC,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0984,btuD,72.6,21.6,7.2,0.3,0.1,0.33,ABC-type cobalamin uptake system ATPase component BtuD,Transport and binding proteins,Cofactors and prosthetic groups,Cobalamin (B12) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_0993,,22.3,39.2,8.8,1.75,0.39,0.22,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_0996,,10.2,35.1,4.8,3.43,0.47,0.14,aldehyde dehydrogenase,Central intermediary metabolism,Polyol,Glycogen degradation,Cytoplasm,,,,unresolved
SputW3181_0997,gldA,34.4,71.6,5.6,2.08,0.16,0.08,glycerol dehydrogenase GldA,Central intermediary metabolism,Polyol,Glycogen degradation,Cytoplasm,,,,unresolved
SputW3181_1002,carA,49.3,78.3,287.5,1.59,5.83,3.67,carbamoyl-phosphate synthase small subunit CarA,"Purines, pyrimidines, nucleosides, and nucleotides",Pyrimidine ribonucleotide biosynthesis,Pyrimidine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_1004,,2.8,2.7,19.2,0.97,6.88,7.11,16S rRNA pseudouridine synthase RluA family,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_1006,,9.3,10.8,31.2,1.16,3.36,2.89,chemotaxis signal transduction system methyl accepting sensory transducer,Signal transduction,Taxis,,Cytoplasm,,,,unresolved
SputW3181_1016,,11.2,13.5,0.0,1.21,0.01,0.01,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1017,,9.3,21.6,9.6,2.32,1.03,0.44,SEC-C motif domain protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1020,tnpA_ISSpu17,23.3,17.6,0.0,0.75,0.01,0.01,ISSpu17 transposase TnpA_ISSpu17,Mobile and extrachromosomal element functions,Transposon functions,,Cytoplasm,,,,unresolved
SputW3181_1021,,52.1,44.6,201.0,0.86,3.86,4.51,periplasmic protein of unknown function DUF2607,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_1022,,16.7,8.1,20.8,0.48,1.24,2.57,TonB-dependent siderophore receptor,Transport and binding proteins,Porins and secretins,Iron homeostasis,Outer Membrane,,,,unresolved
SputW3181_1023,,13.0,4.1,0.0,0.31,0.01,0.03,membrane protein of unknown function DUF1624,Unknown function,General,,Inner Membrane (9 transmembrane spans),,,,unresolved
SputW3181_1024,dpsA,4.7,5.4,0.0,1.16,0.03,0.02,DNA-binding ferritin-like protein (oxidative damage protectant) DpsA,Transport and binding proteins,Cations and iron carrying compounds,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_1025,holD,81.0,51.3,127.3,0.63,1.57,2.48,DNA polymerase III psi subunit HolD,DNA metabolism,"DNA replication, recombination, and repair",DNA replication,Cytoplasm,,,,unresolved
SputW3181_1035,rlmH,53.0,72.9,175.4,1.38,3.31,2.4,23S rRNA (pseudouridine1915-N3)-methyltransferase RlmH,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_1037,nadD,10.2,9.5,20.8,0.92,2.03,2.2,nicotinate-nucleotide adenylyltransferase NadD,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridine nucleotides,NAD and NADP (B3) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_1053,,3.7,4.1,10.4,1.09,2.8,2.57,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_1060,secF,10.2,9.5,22.4,0.92,2.19,2.37,preprotein translocase subunit SecF,Transport and binding proteins,Protein export,Protein export - Sec,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1073,rpsO,451.3,699.7,1815.2,1.55,4.02,2.59,30S ribosomal protein S15 RpsO,Protein synthesis,Ribosomal proteins: synthesis and modification,,Cytoplasm,,,,unresolved
SputW3181_1077,int,7.4,4.1,0.0,0.54,0.02,0.03,ICESpuPO1 integrase Int,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,,,unresolved
SputW3181_1078,,10.2,2.7,0.0,0.26,0.01,0.05,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1083,umuD,9.3,2.7,15.2,0.29,1.64,5.63,DNA polymerase V subunit UmuD,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,LexA,,,unresolved
SputW3181_1086,,48.4,47.3,14.4,0.98,0.3,0.3,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1089,,40.0,64.8,14.4,1.62,0.36,0.22,type I restriction-modification locus conserved hypothetical protein,DNA metabolism,Restriction/modification,Restriction-modification,Cytoplasm,,,,unresolved
SputW3181_1093,,602.0,603.8,277.8,1.0,0.46,0.46,conserved hypothetical protein,Unknown function,General,Restriction-modification,Cytoplasm,,,,unresolved
SputW3181_1098,traI,3.7,2.7,66.5,0.73,17.86,24.6,IncJ-type conjugative system relaxase TraI,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,,,unresolved
SputW3181_1099,traD,13.0,5.4,1.6,0.41,0.12,0.3,IncJ-type conugative system coupling protein TraD,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_1100,,6.5,1.4,5.6,0.21,0.86,4.15,IncJ-type conjugative system protein 234,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,,,unresolved
SputW3181_1101,,11.2,5.4,0.0,0.48,0.01,0.02,IncJ-type integrating conjugative element protein PFL4697-type,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_1102,,38.1,27.0,11.2,0.71,0.29,0.41,IncJ-type conjugative transfer system uncharacterized protein,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,,,unresolved
SputW3181_1103,,499.7,439.0,56.9,0.88,0.11,0.13,IncJ-type conjugative transfer system uncharacterized protein,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,,,unresolved
SputW3181_1108,traV,2211.7,3687.5,851.1,1.67,0.38,0.23,IncJ-type conjugative transfer system lipoprotein TraV,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_1109,traA,455.0,498.4,212.2,1.1,0.47,0.43,IncJ-type conjugative transfer pilin subunit TraA,Cell envelope,Surface structures,Conjugation,Surface Structure,,,,unresolved
SputW3181_1120,golS,32.6,37.8,8.0,1.16,0.25,0.21,Au responsive transcriptional regulator GolS,Regulatory functions,DNA interactions,Detoxification - heavy metals (gold),Cytoplasm,,,,unresolved
SputW3181_1126,,5.6,5.4,2.4,0.97,0.43,0.44,heavy metal translocating P-type ATPase,Transport and binding proteins,Toxic compound efflux ,Detoxification - heavy metals (gold),Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1129,gesA,7.4,5.4,2.4,0.73,0.32,0.44,Au+ efflux pump MFP component GesA,Transport and binding proteins,Toxic compound efflux ,Detoxification - heavy metals (gold),Periplasm,,,,unresolved
SputW3181_1141,,24.2,9.5,29.6,0.39,1.22,3.13,IncJ-type conjugative transfer system protein 345,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_1144,traU,14.0,6.8,3.2,0.48,0.23,0.47,IncJ-type conjugative transfer system protein TraU,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Periplasm,,,,unresolved
SputW3181_1146,,77.2,32.4,82.5,0.42,1.07,2.54,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_1147,,98.6,79.7,197.8,0.81,2.01,2.48,GTPase domain protein,Unknown function,Enzymes of unknown specificity ,,Inner Membrane (3 transmembrane spans),,,,unresolved
SputW3181_1152,,442.0,232.3,73.7,0.53,0.17,0.32,single-strand binding protein,Mobile and extrachromosomal element functions,Conjugation,Conjugation,Cytoplasm,,,,unresolved
SputW3181_1153,,426.2,274.2,104.9,0.64,0.25,0.38,phage recombination protein Bet,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,,,unresolved
SputW3181_1156,,539.7,324.2,107.3,0.6,0.2,0.33,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1157,,456.9,317.4,125.7,0.69,0.28,0.4,protein of unknown function DUF3150,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1159,,558.3,353.9,120.1,0.63,0.22,0.34,von Willebrand factor type A,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1161,,428.9,294.5,130.5,0.69,0.3,0.44,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1163,,7.4,12.2,4.8,1.63,0.65,0.4,hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1164,,242.9,310.7,125.7,1.28,0.52,0.4,protein of unknown function DUF3703,Unknown function,General,Metal homeostasis,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_1166,,5.6,5.4,29.6,0.97,5.31,5.48,heavy metal efflux pump MFP component CzcB family,Transport and binding proteins,Toxic compound efflux,Metal homeostasis,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_1168,,6.5,4.1,28.0,0.62,4.3,6.92,heavy metal efflux pump-associated periplasmic metal chaperone,Cellular processes,Non-protein molecular trafficking,Metal homeostasis,Periplasm,,,,unresolved
SputW3181_1169,,11.2,9.5,0.0,0.85,0.01,0.01,Co/Zn/Cd efflux system permease,Transport and binding proteins,Toxic compound efflux,Metal homeostasis,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1170,,97.7,79.7,21.6,0.82,0.22,0.27,Cd(II)/Pb(II)-responsive transcriptional regulator MerR family,Regulatory functions,DNA interactions,Metal homeostasis,Cytoplasm,,,,unresolved
SputW3181_1171,,94.0,97.3,22.4,1.03,0.24,0.23,Co/Zn/Cd efflux system permease CzcD,Transport and binding proteins,Toxic compound efflux,Metal homeostasis,Inner Membrane (6 transmembrane spans),,,,unresolved
SputW3181_1173,traF,8.4,4.1,14.4,0.48,1.72,3.56,IncJ-type conjugative transfer system assembly protein TraF,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Periplasm,,,,unresolved
SputW3181_1174,traH,14.9,6.8,2.4,0.45,0.16,0.36,IncJ-type conjugative transfer system assembly protein TraH,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Outer Membrane,,,,unresolved
SputW3181_1175,traG,11.2,5.4,2.4,0.48,0.22,0.44,IncJ-type conjugative transfer system assembly protein TraG,Mobile and extrachromosomal element functions,Conjugation,Conjugation ,Inner Membrane (2 transmembrane spans),,,,unresolved
SputW3181_1178,setD,14.0,13.5,0.0,0.97,0.01,0.01,ICESpuPO1 conjugative element excision and transfer activator SetD,Mobile and extrachromosomal element functions,Plasmid functions,,Cytoplasm,,,,unresolved
SputW3181_1179,,15.8,8.1,0.0,0.51,0.01,0.02,ICESpuPO1 lysosyme,Mobile and extrachromosomal element functions,Plasmid functions,Cell envelope stability,Periplasm,,,,unresolved
SputW3181_1180,,13.0,9.5,0.0,0.73,0.01,0.01,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1182,,23.3,18.9,0.0,0.81,0.01,0.01,COG4197 family uncharacterized protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1185,,27.9,16.2,55.2,0.58,1.98,3.41,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1191,deoB,130.3,220.2,90.5,1.69,0.69,0.41,phosphopentomutase DeoB,DNA metabolism,Degradation of DNA,Pyrimidine deoxyribonucleoside degradation,Cytoplasm,,,,unresolved
SputW3181_1194,serB,21.4,20.3,58.5,0.95,2.73,2.88,phosphoserine phosphatase SerB,Amino acid biosynthesis,Serine family,Serine biosynthesis,Cytoplasm,,,,unresolved
SputW3181_1195,,11.2,8.1,3.2,0.73,0.29,0.4,esterase/lipase/thioesterase family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_1199,,14.0,16.2,7.2,1.16,0.52,0.44,purine transporter AzgA family,Transport and binding proteins,"Nucleosides, purines and pyrimidines",Purine Utilization,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_1200,,22.3,43.2,0.0,1.94,0.01,0.0,CBS domain containing protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1206,yhbV,0.0,0.0,11.2,1.0,91.14,91.14,U32 family peptidase YhbV,Protein fate,"Degradation of proteins, peptides, and glycopeptides",,Cytoplasm,,,,unresolved
SputW3181_1211,,28.8,39.2,8.0,1.36,0.28,0.2,signal transduction superfamily protein with modified HD-GYP domain,Regulatory functions,Small molecule interactions,,Cytoplasm,,,,unresolved
SputW3181_1212,,13.0,13.5,1.6,1.04,0.12,0.12,bifunctional diguanylate cyclase/phosphodiesterase,Regulatory functions,Small molecule interactions,,Inner Membrane (1 transmembrane span),,,,unresolved
SputW3181_1213,,7.4,9.5,32.0,1.27,4.3,3.39,YbgC/YbaW family acyl-CoA thioester hydrolase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_1216,,17.7,14.9,7.2,0.84,0.41,0.49,LysR family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_1217,,4.7,6.8,0.0,1.45,0.03,0.02,family 3 extracellular solute-binding protein,Transport and binding proteins,Unknown substrate,,Periplasm,,,,unresolved
SputW3181_1218,,8.4,9.5,0.0,1.13,0.01,0.01,OsmC-like superfamily protein,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1224,emrD3,20.5,27.0,8.8,1.32,0.43,0.33,multidrug efflux pump EmrD3,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,,,unresolved
SputW3181_1226,,13.0,10.8,52.0,0.83,4.0,4.82,HAE1 family efflux pump MFP component,Transport and binding proteins,Unknown substrate,,Periplasm,,,,unresolved
SputW3181_1230,,32.6,31.1,10.4,0.95,0.32,0.34,LysR family transcriptional regulator,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_1237,ribE,205.6,220.2,490.8,1.07,2.39,2.23,riboflavin synthase beta subunit RibE,"Biosynthesis of cofactors, prosthetic groups, and carriers","Riboflavin, FMN, and FAD","Riboflavin, FMN, and FAD (B2) biosynthesis and salvage",Cytoplasm,,,,unresolved
SputW3181_1238,nusB,113.5,102.7,382.7,0.9,3.37,3.73,transcription antitermination factor NusB,Transcription,Transcription factors,,Cytoplasm,,,,unresolved
SputW3181_1239,thiL,21.4,17.6,6.4,0.82,0.3,0.36,thiamine-phosphate kinase ThiL,"Biosynthesis of cofactors, prosthetic groups, and carriers",Thiamine,Thiamine (B1) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_1240,pgpA,32.6,32.4,6.4,1.0,0.2,0.2,phosphatidylglycerophosphatase A PgpA,Fatty acid and phospholipid metabolism,Degradation,,Inner Membrane (4 transmembrane spans),,,,unresolved
SputW3181_1242,,13.0,24.3,49.6,1.87,3.81,2.04,transporter AEC family,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),,,,unresolved
SputW3181_1243,lldR,29.8,35.1,3.2,1.18,0.11,0.09,L-lactate-responsive transcriptional regulator of lactate utilization LldR,Regulatory functions,DNA interactions,Lactate utilization,Cytoplasm,,,,unresolved
SputW3181_1249,,73.5,8.1,3.2,0.11,0.04,0.4,protein of unknown function DUF1852,Unknown function,General,,Cytoplasm,,,,unresolved
SputW3181_1250,metE,123.8,12.2,0.0,0.1,0.0,0.01,B12-independent methonine synthase C-terminal domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,,,unresolved
SputW3181_1252,aguA,10.2,8.1,40.0,0.79,3.91,4.94,agmatine deiminase AguA,Central intermediary metabolism,Amino acids and amines,,Cytoplasm,,,,unresolved
SputW3181_1253,,15.8,14.9,40.8,0.94,2.58,2.75,ATP diphosphatase MazG,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleotide and nucleoside interconversions,Cofactor folate (B9) biosynthesis and salvage,Cytoplasm,,,,unresolved
SputW3181_1262,nlpD,226.1,1469.6,392.3,6.5,1.74,0.27,lipoprotein NlpD,Cell envelope,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_1263,rpoS,126.5,705.1,325.9,5.57,2.58,0.46,RNA polymerase sigma-38 factor RpoS,Transcription,Transcription factors,Sigma factors,Cytoplasm,,,,unresolved
SputW3181_1265,recA,207.5,155.3,429.2,0.75,2.07,2.76,recombinase A RecA,DNA metabolism,"DNA replication, recombination, and repair",Stress response - DNA damage,Cytoplasm,LexA,,,unresolved
SputW3181_1272,yfiA,1291.5,994.1,210.6,0.77,0.16,0.21,ribosomal associated cold shock response protein YfiA,Protein synthesis,Translation factors,,Cytoplasm,,,,unresolved
SputW3181_1273,,84.7,59.4,24.8,0.7,0.29,0.42,cytochrome b561,Energy metabolism,Electron transport,,Inner Membrane (5 transmembrane spans),,,,unresolved
SputW3181_1275,trpR,186.1,208.0,74.5,1.12,0.4,0.36,transcriptional repressor of aromatic amino acid biosynthesis TrpR,Regulatory functions,DNA interactions,Aromatic amino acid metabolism,Cytoplasm,TrpR,,,unresolved
SputW3181_1277,thrA,78.2,132.4,1088.2,1.69,13.92,8.22,bifunctional aspartokinase I / homoserine dehydrogenase ThrA,Amino acid biosynthesis,Aspartate family,Branched-chain amino acid degradation,Cytoplasm,LiuR,,,unresolved
SputW3181_1278,thrB,95.8,136.4,900.8,1.42,9.4,6.6,homoserine kinase ThrB,Amino acid biosynthesis,Aspartate family,Threonine biosynthesis,Cytoplasm,LiuR,,,unresolved
SputW3181_1279,thrC,128.4,141.8,1082.6,1.1,8.43,7.63,threonine synthase ThrC,Amino acid biosynthesis,Aspartate family,Threonine biosynthesis,Cytoplasm,LiuR,,,unresolved
SputW3181_1283,,38.1,50.0,9.6,1.31,0.25,0.19,putative siderophore transporter component 3,Transport and binding proteins,Cations and iron carrying compounds,Iron homeostasis,Inner Membrane (4 transmembrane spans),Fur,,,unresolved
SputW3181_1287,raiA,254.9,197.2,76.9,0.77,0.3,0.39,ribosome-associated inhibitor A RaiA,Protein synthesis,Translation factors,,Cytoplasm,,,,unresolved
SputW3181_1291,,24.2,28.4,11.2,1.17,0.46,0.4,TetR family transcriptional repressor of putative xenobiotic reductase,Regulatory functions,DNA interactions,,Cytoplasm,,,,unresolved
SputW3181_1294,,15.8,13.5,4.8,0.85,0.3,0.36,RhlE family ATP-dependent RNA helicase,Transcription,Degradation of RNA,RNA degradation,Cytoplasm,,,,unresolved
SputW3181_1297,,53.0,23.0,6.4,0.43,0.12,0.28,transcriptional activator of singlet oxygen protection,Regulatory functions,DNA interactions,Oxidative stress,Cytoplasm,,,,unresolved
SputW3181_1306,,447.6,155.3,68.9,0.35,0.15,0.44,conserved lipoprotein,Unknown function,General,Oxidative stress - singlet oxygen,Outer Membrane Lipoprotein,,,,unresolved
SputW3181_1312,trmB,39.1,47.3,124.1,1.21,3.18,2.63,tRNA (guanine-N(7)-)-methyltransferase TrmB,Protein synthesis,tRNA and rRNA base modification,tRNA biogenesis,Cytoplasm,,,,unresolved
SputW3181_1317,,10.2,13.5,47.2,1.32,4.62,3.5,protein of unknown function DUF885,Unknown function,General,,Periplasm,,,,unresolved
SputW3181_1318,yggW,10.2,9.5,2.4,0.92,0.23,0.25,radical SAM superfamily protein YggW,"Biosynthesis of cofactors, prosthetic groups, and carriers","Heme, porphyrin, and cobalamin",,Cytoplasm,,,,unresolved
