RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tsl2428,Signal transduction,Two-component systems,None,two component signal transduction system NblS histidine kinase activator SipA,sipA,4,C,4,H,4544.010864,2782.157945,867.5725146,2731.247108
N/A,tsl2457,Unknown function,General,None,hypothetical chloroplast protein family YCF34,ycf34,4,C,4,H,78866.69554,50802.68079,36096.923,55255.43311
N/A,tsl2468,Unknown function,General,None,protein of unknown function DUF2555,,3,A,4,H,14376.79464,14520.49652,4908.782176,11268.69111
N/A,tsl2479,Energy metabolism,Photosynthesis,plastoquinol—plastocyanin reductase (cytochrome b6-f complex),cytochrome b6-f complex subunit VIII PetN,petN,2,B,2,F,14849.2845,15353.15159,28560.84368,19587.75992
N/A,tsr0004,Unknown function,General,None,hypothetical protein,,1,D,3,G,2542.956077,3685.062532,7030.449045,4419.489218
N/A,tsr0033,Energy metabolism,Photosynthesis - antenna proteins,phycobilisome turnover,phycobilisome degradation protein NblA,nblA,2,B,2,F,2742.608586,2515.780579,3111.365644,2789.91827
N/A,tsr0085,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S19 RpsS,rpsS,1,D,3,G,27496.33114,90442.18386,93094.3836,70344.29953
N/A,tsr0089,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L29 RpmC,rpmC,1,D,3,G,20791.38878,62187.4194,67468.44414,50149.08411
N/A,tsr0090,Translation,Ribosomal proteins: synthesis and modification,ribosome small subunit,SSU ribosomal protein S17 RpsQ,rpsQ,1,D,3,G,18267.77852,66167.27989,60584.02419,48339.6942
N/A,tsr0101,Translation,Translation factors,translation initiation,translation initiation factor InfA,infA,1,D,3,G,5922.075703,9345.963985,7434.902742,7567.647477
N/A,tsr0102,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L36 RpmJ,rpmJ,1,D,3,G,34373.87678,56066.01302,95864.23603,62101.37528
N/A,tsr0110,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L31 RpmE,rpmE,1,D,3,G,37511.43435,58128.57559,57493.01961,51044.34319
N/A,tsr0123,Unknown function,General,None,hypothetical protein,,4,C,4,H,1381.049276,579.7354373,581.6224884,847.4690673
N/A,tsr0124,Unknown function,General,None,protein of unknown function DUF1049,,4,C,0,,433.6814995,124.3556732,113.048458,223.6952103
N/A,tsr0149,Unknown function,General,None,YCII-related domain protein,,1,D,3,G,3550.202494,6016.345667,5346.30832,4970.95216
N/A,tsr0197,Energy metabolism,Photosynthesis,photosystem I other subunits in cyanobacteria,photosystem I subunit XII PsaM,psaM,4,C,3,G,108443.3168,75376.8335,65272.18595,83030.77876
N/A,tsr0219,Unknown function,General,None,hypothetical protein,,4,C,4,H,4979.571259,3717.100177,1402.483448,3366.384961
