Locus_Tag,Main Role,Subrole,Subsystem,Product,Gene,Locus_Tag,T8A_Low_Light_AX,T8B_Low_Light_AX,T9A_Mid_Light_AX,T9B_Mid_Light_AX,T10A_High_Light_AX,T10B_High_Light_AX,M14A_Low_Light_CC,M14B_Low_Light_CC,M13A_Mid_Light_CC,M13B_Mid_Light_CC,T18A_High_Light_CC,T18B_High_Light_CC,T10A_Low_Oxygen_AX,T10B_Low_Oxygen_AX,T15A_Mid_Oxygen_AX,T15B_Mid_Oxygen_AX,T16A_High_Oxygen_AX,T16B_High_Oxygen_AX,T18A_Low_Oxygen_CC,T18B_Low_Oxygen_CC,T19A_Mid_Oxygen_CC,T19B_Mid_Oxygen_CC,T20A_High_Oxygen_CC,T20B_High_Oxygen_CC
tll0007,Carbohydrate metabolism,Starch and sucrose metabolism,cellulose biosynthesis,UDP-forming cellullose synthase catalytic subunit CelA,celA,tll0007,7.802553625,8.052187755,5.802257426,6.341268526,5.617695348,5.719746128,7.950889075,7.99600013,6.173645238,6.220978028,5.842080334,5.916831608,5.617695348,5.719746128,6.121569774,5.801549978,5.918319299,6.464445286,5.842080334,5.916831608,6.368505309,5.843938281,6.190389411,6.310343612
tll0008,Unknown function,General,gliding motility,membrane PIN/TRAM domain protein YCF81,ycf81,tll0008,10.11807968,9.886004476,8.899297587,9.296181224,7.953971152,8.135450508,9.088868002,9.586591676,8.757961034,9.051253978,8.483684874,8.677165431,7.953971152,8.135450508,8.608199007,8.823833485,8.644685894,9.134612486,8.483684874,8.677165431,8.855326273,8.757288239,9.321197828,9.330252819
tll0009,Unknown function,General,None,hypothetical protein,,tll0009,6.918318422,6.949622572,5.742870156,6.294709753,4.828868504,5.029201552,6.588073522,6.668904915,5.691318469,5.614441936,5.289160246,4.926173309,4.828868504,5.029201552,5.947609518,5.647273712,5.581178662,6.184020175,5.289160246,4.926173309,5.302847158,5.788222687,6.329696406,6.017118505
tll0013,Intracellular trafficking_ assembly_ and processing,Peptidases,None,N-acyl-L-amino acid amidohydrolase Ama,ama,tll0013,6.067372015,6.470716106,5.58263228,5.610578926,5.797186454,5.618493404,6.294873706,6.143911528,5.462712156,4.815569665,4.873563645,5.831924415,5.797186454,5.618493404,6.294981282,5.647273712,6.21570512,6.209595322,4.873563645,5.831924415,6.21606852,5.871004164,5.980763981,6.045131064
tll0014,Regulatory functions,Small molecule interactions,None,adenylate cyclase,,tll0014,3.802368437,2.892789361,4.201870952,3.607491666,4.293235401,3.994244309,3.916498149,3.050193165,3.86011382,4.283565388,3.968758995,3.918236788,4.293235401,3.994244309,4.582668271,4.436716528,4.914630021,4.825032514,3.968758995,3.918236788,4.705867896,4.255786432,5.063429719,5.149452501
tll0015,Terpenoids and polyketides metabolism,Carotenoid metabolism,carotenoid cleavage,all-trans-8'-apo-beta-carotenal 15_15'-oxygenase Diox1,diox1,tll0015,5.589677433,5.55296458,6.501927957,6.294709753,6.478243783,6.465172533,5.337279373,5.334233586,6.393150481,6.289960497,6.897835264,6.496733944,6.478243783,6.465172533,7.105862179,6.914964572,7.073066934,7.131970426,6.897835264,6.496733944,6.607792045,6.656602652,7.125206836,7.176399705
tll0016,Transport and binding proteins,Cofactors and prosthetic groups,folic acid uptake,folate transporter Fbp,fbp,tll0016,6.282565189,6.659404447,6.849490856,6.871678498,6.321253078,6.566223134,5.846063503,5.984507765,6.808244338,6.811505991,7.024143019,6.881032996,6.321253078,6.566223134,7.126383206,6.754702272,7.391761158,7.495914087,7.024143019,6.881032996,6.702578932,6.898872447,7.493968419,7.232179435
tll0019,Unknown function,General,None,protein of unknown function DUF212,,tll0019,4.388608714,4.66484875,5.281715579,5.405968824,5.194034067,5.262874892,4.800697178,4.750795032,5.146768195,5.151159055,4.98946546,5.645333091,5.194034067,5.262874892,5.580752495,5.427589942,5.355081368,5.326970296,4.98946546,5.645333091,5.419685161,5.398831266,5.063429719,5.200463163
tll0020,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,C10-C20 isoprenoid biosynthesis,geranylgeranyl diphosphate synthase type II CrtE,crtE,tll0020,6.038055822,5.777622409,8.153045544,7.720866519,8.054091562,8.160775725,6.814842084,6.873577732,7.882102904,7.86235124,8.640823691,8.185681689,8.054091562,8.160775725,7.97824024,7.85791266,7.80618791,7.844443199,8.640823691,8.185681689,8.17725285,8.156148366,7.880797803,7.920044997
tll0021,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,folic acid biosynthesis,bifunctional methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,folD,tll0021,5.706299891,5.918925993,6.067082155,5.684865788,7.420191711,7.026337551,6.421619185,6.45474543,6.662406444,6.479026877,6.693292408,6.362154733,7.420191711,7.026337551,6.858436543,6.73574247,6.541999875,6.485521488,6.693292408,6.362154733,6.397144901,6.609272164,6.140781719,6.298764906
tll0022,Unknown function,General,None,hypothetical protein,,tll0022,4.068438254,4.376315686,4.00658444,4.138413845,4.071440954,4.669286777,4.100267835,4.028986537,3.86011382,4.37331158,4.747238416,4.474963747,4.071440954,4.669286777,4.455951203,4.69862249,4.753774367,4.89046301,4.747238416,4.474963747,5.302847158,4.747457029,4.697821454,4.862510815
tll0024,Unknown function,General,None,pentapeptide repeat protein,,tll0024,4.290051355,3.900396446,3.645333153,3.762021974,4.208840368,3.406754701,4.041797563,3.88533178,3.741951499,3.71377358,3.846263194,4.619439081,4.208840368,3.406754701,3.781976445,4.229576809,4.060095022,3.61548485,3.846263194,4.619439081,3.121832,3.471634473,3.572702951,3.510816133
tll0025,Regulatory functions,DNA interactions,Iron homeostasis,Fur family transcriptional regulator,,tll0025,4.79726977,4.66484875,4.107787433,3.762021974,3.918224124,4.122541394,4.61736625,4.866361941,3.968404394,4.283565388,3.846263194,4.474963747,3.918224124,4.122541394,4.075828917,5.048858942,4.16867758,4.89046301,3.846263194,4.474963747,3.990981031,3.471634473,4.38704637,3.749273712
tll0026,Transport and binding proteins,Cations and iron carrying compounds,None,CAC2 family Ca2::H+ antiporter,,tll0026,1.739332835,2.892789361,2.56401692,2.620638279,2.724881641,1.739332835,1.739332835,1.739332835,2.868750126,2.597100669,2.933900283,3.14754039,2.724881641,1.739332835,1.739332835,3.021853075,3.088411199,2.624795792,2.933900283,3.14754039,3.121832,2.550692665,3.398739558,1.739332835
tll0030,Unknown function,General,None,hypothetical protein,,tll0030,6.654680343,6.48892929,4.953269977,5.001482712,5.484151206,5.639325561,5.987094072,6.379910666,5.660815296,4.611970812,4.932706312,5.267227133,5.484151206,5.639325561,5.423000233,5.3792813,5.759650307,5.584107769,4.932706312,5.267227133,4.960184004,5.241191407,5.63101306,5.273698171
tll0032,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD,lpxD,tll0032,5.629617859,6.022727223,5.914120691,5.789529382,6.177710582,6.110836443,5.264937249,5.461240507,5.914437535,6.072203422,6.285594124,6.213666815,6.177710582,6.110836443,6.141904249,5.973613112,5.825240969,5.990978729,6.285594124,6.213666815,5.809870935,6.526755767,5.832268433,5.648153424
tll0037,Unknown function,Enzymes of unknown specificity,phosphate homeostasis,phosphate starvation-inducible ATPase PhoH,phoH,tll0037,8.947583889,10.15448557,8.660388929,8.78054894,8.587095656,8.564750773,9.520217793,9.249704448,8.512151573,8.834061899,8.041457112,8.310854132,8.587095656,8.564750773,9.628599943,9.158521904,7.926486823,9.259000275,8.041457112,8.310854132,8.002153135,7.64096037,7.625790612,8.424296101
tll0039,Unknown function,General,None,KH domain RNA binding protein YlqC,ylqC,tll0039,6.008128318,6.826201639,6.269726059,6.630769284,6.1339193,5.758322649,6.454331794,6.327765917,5.629647339,5.815401303,5.714257938,6.097346707,6.1339193,5.758322649,5.970543263,6.265991681,5.977175541,5.503438128,5.714257938,6.097346707,5.932529643,5.70036119,5.557102009,5.592176748
tll0043,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ Embden-Meyerhof pathway,glyceraldehyde 3-phosphate dehydrogenase GapA,gapA,tll0043,6.09610149,6.452269378,7.984457136,7.910080585,7.766339993,7.90651407,6.129076219,6.097920829,7.677280935,7.877346996,8.131476239,7.997698541,7.766339993,7.90651407,7.692080738,8.099354717,7.933913988,8.203243974,8.131476239,7.997698541,7.954842422,8.036132652,8.116750084,8.093985231
tll0044,Unknown function,Enzymes of unknown specificity,None,rhodanese-like domain-containing protein,,tll0044,4.995162745,5.154602313,6.137854586,6.451468581,5.918429434,6.002680268,4.99309004,4.938440759,6.411538716,6.398048991,6.414326448,6.421379735,5.918429434,6.002680268,6.618676083,6.392527536,6.430767253,6.331059068,6.414326448,6.421379735,6.992420273,6.576831119,7.06008602,6.263458446
