RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
fig.6666666.52381.peg.1669,SY28_RS08325,Unknown function,General,,membrane protein,,2,F,75.48680093,17.82807727,98.04675249,63.78721023,SY28_08330,tier1:NCBI Locus Tag
fig.6666666.52381.peg.167,SY28_RS00835,Translation,Transfer RNA biogenesis,tRNA aminoacylation,valyl-tRNA synthetase ValS,valS,3,G,104.8440784,83.20666875,48.81504689,78.95526467,SY28_00835,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1670,SY28_RS08330,Unknown function,General,,hypothetical protein,,3,G,77.36663022,79.42709833,31.65417714,62.81596856,SY28_08335,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1671,SY28_RS08335,Unknown function,General,,hypothetical protein,,3,G,34.50064087,30.41526436,53.05789779,39.32460101,SY28_08340,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1672,SY28_RS08340,Regulatory functions,General,GlmYZ sRNA regulatory cascade,glmZ(sRNA)-inactivating NTPase,yhbJ,3,G,210.0340135,147.0024758,71.24900449,142.7618313,SY28_08345,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1673,SY28_RS08345,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,,peptidylprolyl isomerase,,3,G,70.97852706,98.21852941,14.83249011,61.34318219,SY28_08350,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1674,SY28_RS08350,Translation,tRNA and rRNA base modification,23S rRNA modification factors,23S rRNA (adenine2503-C2)-methyltransferase RlmN,rlmN,3,G,108.5819959,93.25027695,108.239281,103.3571846,SY28_08355,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1675,SY28_RS08355,Transport and binding proteins,Unknown substrate,,MFS superfamily transporter,,3,G,12.27273739,14.36800088,38.35310617,21.66461481,SY28_08360,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1676,SY28_RS08370,Translation,Transfer RNA biogenesis,tRNA aminoacylation,alanine-tRNA ligase AlaS,alaS,3,G,96.38059058,83.83411455,111.3381374,97.18428083,SY28_08375,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1677,SY28_RS08375,Nucleic acid metabolism,DNA replication_ recombination_ and repair,,putative holliday junction resolvase RuvX,ruvX,3,G,89.02306203,70.13915655,99.30213251,86.1547837,SY28_08380,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1678,SY28_RS08380,Unknown function,General,,YceG family conserved hypothetical protein,,3,G,36.7257381,72.91106936,49.59473933,53.07718226,SY28_08385,tier1:NCBI Locus Tag
fig.6666666.52381.peg.1679,SY28_RS08385,Defense and invasion systems,Restriction-modification systems,,restriction system protein Mrr,mrr,4,H,59.05703453,81.85791443,115.6320905,85.51567982,SY28_08390,tier1:NCBI Locus Tag
