RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_ox,Clust name_ox,HLLO-CC-TS040514.18_AV,HLMO-CC-TS040514.19_AV,HLHO-CC-TS040514.20_AV,Average_ox_Conditions,resolved_locus_tag,resolution_method
,tll1511,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,chlorophyllide a biosynthesis from protoporphyrin IX,magnesium chelatase subunit BchI,bchI,3,G,19463.92302,16116.77876,12136.73959,15905.81379,tll1511,locus_tag:NCBI Locus Tag
,tll1515,Prosthetic groups_ cofactors_ and carriers,General,7_8-didemethyl-8-hydroxy-5-deazariboflavin (FO) biosynthesis,7_8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG,cofG,4,H,253.9530189,263.0019366,389.0869104,302.0139553,tll1515,locus_tag:NCBI Locus Tag
,tll1518,Unknown function,General,,CHAD domain protein,,4,H,3348.936432,3563.744153,4038.863221,3650.514602,tll1518,locus_tag:NCBI Locus Tag
,tll1519,Defense and invasion systems,Detoxification and inactivation,resistance to reactive oxygen species (ROS),Mn-superoxide dismutase SodB,sodB,1,E,38026.2558,43030.02139,34799.52171,38618.59963,tll1519,locus_tag:NCBI Locus Tag
,tll1523,Unknown function,General,,hypothetical protein,,4,H,669.6459704,1086.514958,1216.240099,990.8003425,tll1523,locus_tag:NCBI Locus Tag
,tll1525,Intracellular trafficking_ assembly_ and processing,Enzyme assembly,photosystem I assembly,photosystem I assembly protein Ycf3,ycf3,2,F,3916.725504,3163.185709,3681.623159,3587.178124,tll1525,locus_tag:NCBI Locus Tag
,tll1529,Energy metabolism,Electron transport,,ferredoxin (2Fe-2S),,2,F,8652.272135,7138.942467,7933.883827,7908.366143,tll1529,locus_tag:NCBI Locus Tag
,tll1534,Carbohydrate metabolism,Citrate cycle (TCA cycle),citrate cycle_ second carbon oxidation,fumarate hydratase class II FumC,fumC,3,G,1710.441143,1361.369602,1183.733043,1418.514596,tll1534,locus_tag:NCBI Locus Tag
,tll1537,Unknown function,General,,FHA domain protein,,3,G,835.4030965,819.2922808,759.7852005,804.8268593,tll1537,locus_tag:NCBI Locus Tag
,tll1538,Translation,tRNA and rRNA base modification,23S rRNA modifcation,23S rRNA pseudouridine1911/1915/1917 synthase RluD,rluD,4,H,662.0069399,673.462549,712.9303366,682.7999418,tll1538,locus_tag:NCBI Locus Tag
,tll1539,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,chlorophyll biosynthesis from chlorophyllide a,chlorophyll synthase BchG,bchG,3,G,6053.055909,6078.695816,4992.417124,5708.056283,tll1539,locus_tag:NCBI Locus Tag
,tll1545,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,multiple sugar uptake system,ABC-type multiple sugar uptake system permease component,,0,,630.7563459,604.5962901,636.4164995,623.9230452,tll1545,locus_tag:NCBI Locus Tag
,tll1550,Unknown function,Enzymes of unknown specificity,,UDP-glycosyltransferase / glycogen phosphorylase superfamily enzyme,,4,H,2693.102722,2936.397807,3018.072535,2882.524355,,unresolved
,tll1551,Energy metabolism,Photosynthesis - antenna proteins,allophycocyanin biosynthesis,allophycocyanin B alpha subunit ApcD,apcD,3,G,30396.77468,24181.11445,19355.10496,24644.33136,tll1551,locus_tag:NCBI Locus Tag
,tll1554,Unknown function,General,,hypothetical protein,,3,G,4379.468808,4421.846215,3584.258476,4128.524499,tll1554,locus_tag:NCBI Locus Tag
,tll1555,Unknown function,Enzymes of unknown specificity,,MoxR-like ATPase,,2,F,1643.161978,1326.106537,1712.110059,1560.459525,tll1555,locus_tag:NCBI Locus Tag
,tll1556,Prosthetic groups_ cofactors_ and carriers,Riboflavin metabolism,riboflavin_ FAD and FMN from GTP and ribulose-5-P,bifunctional riboflavin kinase / FMN adenylyltransferase RibF,ribF,3,G,3249.647917,2478.195681,2584.366847,2770.736815,tll1556,locus_tag:NCBI Locus Tag
,tll1558,Nucleic acid metabolism,Pyrimidine metabolism,uridine monophosphate biosynthesis from glutamine,aspartate carbamoyltransferase catalytic subunit PyrB,pyrB,4,H,2088.12515,2341.498415,2686.663395,2372.095653,tll1558,locus_tag:NCBI Locus Tag
,tll1559,Unknown function,Enzymes of unknown specificity,,phosphoribosyltransferase,,4,H,4415.172891,4585.418155,5274.414047,4758.335031,tll1559,locus_tag:NCBI Locus Tag
,tll1560,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),phytoene synthase CrtB,crtB,2,F,3839.662722,3664.449774,4056.666917,3853.593137,tll1560,locus_tag:NCBI Locus Tag
,tll1561,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),15-cis-phytoene desaturase CrtP,crtP,4,H,5662.849356,7019.483346,6766.541622,6482.958108,tll1561,locus_tag:NCBI Locus Tag
,tll1562,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,plastoquinone 9 biosynthesis,chorismate pyruvate-lyase YCF21,ycf21,4,H,417.9276212,529.6034665,528.5180478,492.0163785,tll1562,locus_tag:NCBI Locus Tag
,tll1566,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Base excision repair,formamidopyrimidine-DNA glycosylase MutM,mutM,3,G,7250.729776,6804.877813,4623.389699,6226.33243,tll1566,locus_tag:NCBI Locus Tag
,tll1569,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,chorismate biosynthesis via shikimate,3-deoxy-7-phosphoheptulonate synthase AroF,aroF,4,H,21754.84082,28240.04444,27184.66203,25726.51576,tll1569,locus_tag:NCBI Locus Tag
,tll1570,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,lipopolysaccharide export system LptABCDEFG,ABC-type lipopolysaccharide export system permease component LptG,lptG,2,F,534.9185199,465.2673362,539.4745237,513.2201266,tll1570,locus_tag:NCBI Locus Tag
,tll1571,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,lipopolysaccharide export system LptABCDEFG,ABC-type lipopolysaccharide export system ATPase component LptB,lptB,2,F,1829.602783,1648.018082,1989.476033,1822.365633,tll1571,locus_tag:NCBI Locus Tag
,tll1572,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,lipopolysaccharide export system LptABCDEFG,ABC-type lipopolysaccharide export porin system periplasmic chaperone LptA,lptA,4,H,4220.058855,4114.086519,4825.044248,4386.396541,tll1572,locus_tag:NCBI Locus Tag
