function category,Gene Name,Gene ID,Score,Log2 fold change,resolved_locus_tag,resolution_method
Conserved hypothetical and hypothetical ORFs,SYNW1193,hypothetical,-5.31,-0.44,SYNW1193,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2125,conserved hypothetical protein,-5.27,-0.37,SYNW2125,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1358,hypothetical,-5.23,-0.93,SYNW1358,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1606,conserved hypothetical protein,-5.18,-1.28,SYNW1606,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0625,conserved hypothetical protein,-5.17,-0.95,SYNW0625,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0372,conserved hypothetical protein,-5.07,-0.25,SYNW0372,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2061,conserved hypothetical protein,-5.06,-2.11,SYNW2061,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1886,conserved hypothetical protein,-5.03,-0.78,SYNW1886,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1135,hypothetical,-4.98,-0.29,SYNW1135,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0760,conserved hypothetical protein,-4.96,-0.25,SYNW0760,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0008,conserved hypothetical protein,-4.94,-0.46,SYNW0008,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0286,conserved hypothetical protein,-4.9,-0.3,SYNW0286,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1647,conserved hypothetical protein,-4.9,-0.68,SYNW1647,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1446,hypothetical,-4.87,-1.19,SYNW1446,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2233,conserved hypothetical protein in cyanobacteria,-4.87,-1.16,SYNW2233,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1445,hypothetical,-4.8,-0.81,SYNW1445,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0911,conserved hypothetical protein,-4.79,-0.32,SYNW0911,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1257,conserved hypothetical protein,-4.78,-0.74,SYNW1257,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1940,hypothetical,-4.73,-1.63,SYNW1940,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0622,conserved hypothetical protein,-4.7,-0.94,SYNW0622,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2031,conserved hypothetical protein,-4.69,-0.79,SYNW2031,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0809,conserved hypothetical protein,-4.69,-0.45,SYNW0809,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2240,cyanobacterial conserved hypothetical,-4.68,-0.42,SYNW2240,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1510,conserved hypothetical protein,-4.67,-0.99,SYNW1510,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1434,conserved hypothetical protein,-4.61,-0.48,SYNW1434,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1795,conserved hypothetical protein,-4.49,-0.33,SYNW1795,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1377,hypothetical,-4.36,-0.62,SYNW1377,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0270,conserved hypothetical protein,-4.34,-0.44,SYNW0270,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1532,hypothetical,-4.32,-0.59,SYNW1532,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0935,conserved hypothetical protein,-4.22,-0.37,SYNW0935,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1060,conserved hypothetical protein,-4.21,-0.99,SYNW1060,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0496,hypothetical ,-4.19,-0.31,SYNW0496,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0386,hypothetical,-4.19,-0.72,SYNW0386,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1895,conserved hypothetical protein,-4.18,-0.66,SYNW1895,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0385,hypothetical,-4.11,-0.79,SYNW0385,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2399,conserved hypothetical protein,-4.05,-0.44,SYNW2399,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2312,conserved hypothetical protein,-4.01,-0.79,SYNW2312,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1520,conserved hypothetical protein,-3.95,-0.27,SYNW1520,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1556,hypothetical,-3.93,-0.58,SYNW1556,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1359,hypothetical,-3.93,-0.68,SYNW1359,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0804,hypothetical,-3.93,-0.86,,unresolved
Conserved hypothetical and hypothetical ORFs,SYNW2178,conserved hypothetical protein,-3.89,-0.44,SYNW2178,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0810,conserved hypothetical protein,-3.88,-0.87,SYNW0810,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2122,conserved hypothetical protein,-3.86,-0.17,SYNW2122,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2258,conserved hypothetical protein,-3.85,-0.53,SYNW2258,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2456,conserved hypothetical protein,-3.85,-0.4,SYNW2456,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0345,conserved hypothetical protein,-3.81,-0.3,SYNW0345,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0803,conserved hypothetical,-3.8,-0.22,SYNW0803,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0576,conserved hypothetical protein,-3.78,-0.22,SYNW0576,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1402,conserved hypothetical protein,-3.74,-0.29,SYNW1402,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1624,conserved hypothetical protein,-3.73,-0.39,SYNW1624,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1499,conserved hypothetical protein,-3.73,-0.26,SYNW1499,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1420,conserved hypothetical protein,-3.72,-0.26,SYNW1420,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0325,conserved hypothetical protein,-3.72,-0.41,SYNW0325,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0755,conserved hypothetical protein,-3.68,-0.29,SYNW0755,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1732,conserved hypothetical protein,-3.67,-0.3,SYNW1732,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2204,conserved hypothetical protein,-3.66,-0.33,SYNW2204,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1905,hypothetical,-3.65,-0.27,SYNW1905,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1360,conserved hypothetical protein,-3.65,-0.98,SYNW1360,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2330,conserved hypothetical protein,-3.65,-0.56,SYNW2330,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1235,conserved hypothetical protein,-3.61,-0.17,SYNW1235,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0829,conserved hypothetical protein,-3.59,-0.42,SYNW0829,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0105,conserved hypothetical protein,-3.53,-0.43,SYNW0105,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0531,conserved hypothetical protein,-3.51,-0.2,SYNW0531,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0190,conserved hypothetical protein,-3.47,-0.16,SYNW0190,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1512,conserved hypothetical,-3.47,-0.31,SYNW1512,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0098,conserved hypothetical protein,-3.43,-0.33,SYNW0098,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1615,conserved hypothetical protein,-3.41,-0.94,SYNW1615,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2267,conserved hypothetical protein,-3.37,-0.22,SYNW2267,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1860,conserved hypothetical protein,-3.35,-0.62,SYNW1860,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0293,conserved hypothetical protein,-3.33,-0.38,SYNW0293,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1585,conserved hypothetical protein,-3.29,-0.17,SYNW1585,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0159,conserved hypothetical protein,-3.29,-0.29,SYNW0159,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1549,conserved hypothetical,-3.29,-0.19,SYNW1549,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0172,conserved hypothetical protein,-3.27,-0.31,SYNW0172,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0361,hypothetical,-3.25,-0.23,SYNW0361,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0326,conserved hypothetical protein,-3.24,-0.32,SYNW0326,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0313,conserved hypothetical protein,-3.23,-0.65,SYNW0313,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2259,conserved hypothetical protein,-3.21,-0.21,SYNW2259,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW0995,conserved hypothetical protein,-3.2,-0.72,SYNW0995,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1451,conserved hypothetical protein,-3.2,-0.24,SYNW1451,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW2149,conserved hypothetical protein,-3.19,-0.52,SYNW2149,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1942,conserved hypothetical protein,-3.16,-0.3,SYNW1942,locus_tag:Gene Name
Conserved hypothetical and hypothetical ORFs,SYNW1804,conserved hypothetical protein,-3.1,-0.22,SYNW1804,locus_tag:Gene Name
