baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene,resolved_locus_tag,resolution_method
983.4409793,-2.027889437,0.137759488,-14.72050652,4.76e-49,2.2799999999999998e-48,MIT0604_00142,EW14_0142,tier1:gene
629.8149905,0.860233941,0.094160145,9.135860419,6.49e-20,1.62e-19,MIT0604_00143,EW14_0143,tier1:gene
79.45605107,2.855801417,0.35484235,8.048085067,8.41e-16,1.88e-15,MIT0604_00144,EW14_0144,tier1:gene
509.069499,1.097273849,0.184596276,5.944181928,2.78e-09,4.98e-09,MIT0604_00145,EW14_0145,tier1:gene
300.2629442,-1.803696204,0.251899182,-7.160389286,8.04e-13,1.65e-12,MIT0604_00146,,unresolved
303.8446976,1.798343811,0.130612028,13.76859269,3.9400000000000004e-43,1.6799999999999997e-42,MIT0604_00147,EW14_0147,tier1:gene
671.51549,0.894675647,0.103205692,8.668859528,4.36e-18,1.03e-17,MIT0604_00148,EW14_0148,tier1:gene
942.3507357,-2.962831003,0.121695406,-24.34628481,6.35e-131,8.96e-130,MIT0604_00149,EW14_0149,tier1:gene
1119.298787,-1.324209421,0.085403093,-15.50540359,3.1899999999999996e-54,1.65e-53,MIT0604_00150,EW14_0150,tier1:gene
82.33206328,1.49482814,0.236963847,6.308254021,2.82e-10,5.25e-10,MIT0604_00152,,unresolved
124.826758,1.554736073,0.237956822,6.533689847,6.42e-11,1.23e-10,MIT0604_00153,EW14_0153,tier1:gene
125.018022,1.785166048,0.233582794,7.642540858,2.13e-14,4.58e-14,MIT0604_00154,EW14_0154,tier1:gene
353.3912566,2.250968538,0.203860671,11.0417008,2.3999999999999998e-28,7.36e-28,MIT0604_00155,EW14_0155,tier1:gene
115.8751588,-0.75944091,0.22280015,-3.408619378,0.000653,0.000879,MIT0604_00156,EW14_0156,tier1:gene
358.1751317,-2.600187471,0.197929663,-13.13692668,2.02e-39,8.13e-39,MIT0604_00157,EW14_0157,tier1:gene
735.5387065,3.459577118,0.179734332,19.24828203,1.46e-82,1.08e-81,MIT0604_00158,EW14_0158,tier1:gene
1414.86026,1.454950826,0.15297752,9.51087996,1.89e-21,4.89e-21,MIT0604_00159,EW14_0159,tier1:gene
720.4022938,1.305106793,0.195541481,6.674321925,2.48e-11,4.85e-11,MIT0604_00160,EW14_0160,tier1:gene
806.7911823,7.158338478,0.281324758,25.44510668,8.0000000000000005e-143,1.31e-141,MIT0604_00161,EW14_0161,tier1:gene
27.06817573,1.330838383,0.392086769,3.394244559,0.000688,0.000923,MIT0604_00162,EW14_0162,tier1:gene
14983.00249,8.48646125,0.191374023,44.34489649,0.0,0.0,MIT0604_00163,EW14_0163,tier1:gene
3257.381212,7.727613098,0.209802741,36.83275575,5.5199999999999995e-297,3.14e-295,MIT0604_00164,EW14_0164,tier1:gene
73.86381871,-1.6465456,0.320341403,-5.139971241,2.75e-07,4.47e-07,MIT0604_00165,EW14_0165,tier1:gene
39.64598126,-0.041126707,0.321360492,-0.127976861,0.898167285,0.90801797,MIT0604_00166,EW14_0166,tier1:gene
173.9681532,-0.951050512,0.158944095,-5.983553595,2.18e-09,3.93e-09,MIT0604_00167,EW14_0167,tier1:gene
145.1665374,0.514040043,0.165362318,3.108568199,0.001879963,0.002449576,MIT0604_00168,EW14_0168,tier1:gene
1594.074679,-1.970352328,0.217175214,-9.072639063,1.16e-19,2.87e-19,MIT0604_00169,EW14_0169,tier1:gene
305.5799463,1.881715289,0.219523469,8.57181829,1.02e-17,2.37e-17,MIT0604_00170,EW14_0170,tier1:gene
939.3019058,0.615408453,0.096165548,6.39946909,1.56e-10,2.93e-10,MIT0604_00171,EW14_0171,tier1:gene
4199.668561,0.769637364,0.099781044,7.713262309,1.23e-14,2.66e-14,MIT0604_00172,EW14_0172,tier1:gene
1126.895359,-0.743488247,0.125411974,-5.928367304,3.06e-09,5.45e-09,MIT0604_00173,EW14_0173,tier1:gene
242.5179115,-1.071883023,0.167733535,-6.390391908,1.65e-10,3.11e-10,MIT0604_00174,EW14_0174,tier1:gene
4049.540257,-1.932987063,0.168658536,-11.46095007,2.07e-30,6.68e-30,MIT0604_00175,EW14_0175,tier1:gene
2221.261396,-0.808198239,0.106318907,-7.601641705,2.92e-14,6.26e-14,MIT0604_00176,EW14_0176,tier1:gene
1867.177855,0.031154784,0.084108416,0.370412206,0.71107538,0.732178724,MIT0604_00177,EW14_0177,tier1:gene
1478.975307,0.370530822,0.08318047,4.454541082,8.41e-06,1.28e-05,MIT0604_00178,EW14_0178,tier1:gene
780.598604,0.682620992,0.091409434,7.467730208,8.16e-14,1.73e-13,MIT0604_00179,EW14_0179,tier1:gene
722.1688827,-2.501477814,0.130063005,-19.23281585,1.9699999999999998e-82,1.45e-81,MIT0604_00180,EW14_0180,tier1:gene
1050.966912,-3.833026289,0.165811699,-23.11674216,3.14e-118,3.65e-117,MIT0604_00181,EW14_0181,tier1:gene
358.1911984,1.136226522,0.197182598,5.762306263,8.3e-09,1.45e-08,MIT0604_00182,EW14_0182,tier1:gene
3446.328714,-2.447185759,0.19668762,-12.44199182,1.55e-35,5.74e-35,MIT0604_00183,EW14_0183,tier1:gene
1192.028068,-0.341203917,0.129387597,-2.637068202,0.008362602,0.010444323,MIT0604_00184,EW14_0184,tier1:gene
