mit0604_id,locus_tag
MIT0604_00397,EW14_0397
MIT0604_00398,EW14_0398
MIT0604_00399,EW14_0399
MIT0604_00400,EW14_0400
MIT0604_00401,EW14_0401
MIT0604_00402,EW14_0402
MIT0604_00403,EW14_0403
MIT0604_00404,EW14_0404
MIT0604_00405,EW14_0405
MIT0604_00406,EW14_0406
MIT0604_00407,EW14_0407
MIT0604_00408,EW14_0408
MIT0604_00409,EW14_0409
MIT0604_00410,EW14_0410
MIT0604_00411,EW14_0411
MIT0604_00412,EW14_0412
MIT0604_00413,EW14_0413
MIT0604_00414,EW14_0414
MIT0604_00415,EW14_0415
MIT0604_00417,EW14_0417
MIT0604_00418,EW14_0418
MIT0604_00419,EW14_0419
MIT0604_00420,EW14_0420
MIT0604_00421,EW14_0421
MIT0604_00422,EW14_0422
MIT0604_00423,EW14_0423
MIT0604_00424,EW14_0424
MIT0604_00425,EW14_0425
MIT0604_00426,EW14_0426
MIT0604_00427,EW14_0427
MIT0604_00428,EW14_0428
MIT0604_00429,EW14_0429
MIT0604_00430,EW14_0430
MIT0604_00431,EW14_0431
MIT0604_00432,EW14_0432
MIT0604_00433,EW14_0433
MIT0604_00434,EW14_0434
MIT0604_00435,EW14_0435
MIT0604_00436,EW14_0436
MIT0604_00437,EW14_0437
MIT0604_00438,EW14_0438
MIT0604_00439,EW14_0439
MIT0604_00440,EW14_0440
MIT0604_00441,EW14_0441
MIT0604_00442,EW14_0442
MIT0604_00443,EW14_0443
MIT0604_00444,EW14_0444
MIT0604_00445,EW14_0445
MIT0604_00446,EW14_0446
MIT0604_00447,EW14_0447
MIT0604_00448,EW14_0448
MIT0604_00449,EW14_0449
MIT0604_00450,EW14_0450
MIT0604_00451,EW14_0451
MIT0604_00452,EW14_0452
MIT0604_00453,EW14_0453
MIT0604_00454,EW14_0454
MIT0604_00455,EW14_0455
MIT0604_00456,EW14_0456
MIT0604_00457,EW14_0457
MIT0604_00458,EW14_0458
MIT0604_00459,EW14_0459
MIT0604_00460,EW14_0460
MIT0604_00461,EW14_0461
MIT0604_00462,EW14_0462
MIT0604_00463,EW14_0463
MIT0604_00464,EW14_0464
MIT0604_00465,EW14_0465
MIT0604_00466,EW14_0466
MIT0604_00467,EW14_0467
MIT0604_00468,EW14_0468
MIT0604_00469,EW14_0469
MIT0604_00470,EW14_0470
MIT0604_00471,EW14_0471
MIT0604_00472,EW14_0472
MIT0604_00473,EW14_0473
MIT0604_00474,EW14_0474
MIT0604_00475,EW14_0475
MIT0604_00476,EW14_0476
MIT0604_00477,EW14_0477
MIT0604_00478,EW14_0478
MIT0604_00479,EW14_0479
MIT0604_00480,EW14_0480
MIT0604_00481,EW14_0481
MIT0604_00482,EW14_0482
MIT0604_00483,EW14_0483
MIT0604_00484,EW14_0484
MIT0604_00485,EW14_0485
