locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0379,2,-0.31,1.17,0.83,0.87,Conserved hypothetical protein,hypothetical,12h,PMM0379,locus_tag:locus_tag
PMM0383,2,1.86,0.29,0.2,0.17,Transport and binding proteins,probable periplasmic protein,12h,PMM0383,locus_tag:locus_tag
PMM0388,2,0.32,1.33,0.94,1.0,Chemotaxis,putative similar to tRNA-(MS[2]IO[6]A)-hydroxylase,12h,PMM0388,locus_tag:locus_tag
PMM0395,2,1.05,0.97,0.69,0.9,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0395,locus_tag:locus_tag
PMM0400,2,-0.86,0.67,0.47,0.48,Adaptations and atypical conditions,light repressed protein A homolog,12h,PMM0400,locus_tag:locus_tag
PMM0403,2,-0.02,0.7,0.5,0.7,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0403,locus_tag:locus_tag
PMM0405,2,-0.15,0.36,0.26,0.66,Transport and binding proteins,Dihydrolipoamide acetyltransferase component (E2) of pyruvate de,12h,PMM0405,locus_tag:locus_tag
PMM0407,2,0.01,0.49,0.35,0.87,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,12h,PMM0407,locus_tag:locus_tag
PMM0410,2,-2.04,0.69,0.49,0.0,Ribosomal proteins,30S ribosomal protein S4,12h,PMM0410,locus_tag:locus_tag
PMM0411,2,0.75,0.21,0.15,0.75,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0411,locus_tag:locus_tag
PMM0412,2,1.3,0.07,0.05,0.28,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0412,locus_tag:locus_tag
PMM0416,2,-1.6,0.14,0.1,0.02,"RNA synthesis, modification, and DNA transcription SAM (and some other nucleotide) binding motif:Generic methyl-...",,12h,PMM0416,locus_tag:locus_tag
PMM0417,2,-0.42,0.59,0.42,0.71,Conserved hypothetical protein,hypothetical,12h,PMM0417,locus_tag:locus_tag
PMM0418,2,0.7,1.72,1.22,0.33,Other,NifU-like protein,12h,PMM0418,locus_tag:locus_tag
PMM0428,2,-1.92,0.78,0.56,0.0,"Cobalamin, heme, phycobilin and porphyrin",chlorophyll synthase 33 kD subunit,12h,PMM0428,locus_tag:locus_tag
PMM0429,2,-2.6,0.53,0.38,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0429,locus_tag:locus_tag
PMM0435,2,-0.26,0.18,0.12,0.59,NADH dehydrogenase,putative NADH dehydrogenase (complex I) subunit (chain 2),12h,PMM0435,locus_tag:locus_tag
PMM0436,2,0.95,0.65,0.46,1.0,"DNA replication, recombination, and repair",Prokaryotic DNA topoisomerase,12h,PMM0436,locus_tag:locus_tag
PMM0441,2,1.07,0.92,0.65,0.4,Other,Aldo/keto reductase family,12h,PMM0441,locus_tag:locus_tag
PMM0443,2,0.9,1.06,0.75,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0443,locus_tag:locus_tag
PMM0445,2,0.89,0.0,0.0,0.96,Respiratory terminal oxidases,"Cytochrome c oxidase, subunit I",12h,PMM0445,locus_tag:locus_tag
PMM0446,2,2.49,0.6,0.43,0.0,Respiratory terminal oxidases,"putative cytochrome c oxidase, subunit 2",12h,PMM0446,locus_tag:locus_tag
PMM0447,2,4.49,0.09,0.06,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0447,locus_tag:locus_tag
PMM0448,2,0.26,0.87,0.62,0.66,"Cobalamin, heme, phycobilin and porphyrin",putative protoheme IX farnesyltransferase,12h,PMM0448,locus_tag:locus_tag
PMM0451,2,2.23,0.85,0.6,0.0,Other,possible Arenavirus glycoprotein,12h,PMM0451,locus_tag:locus_tag
PMM0452,2,-2.16,0.75,0.53,0.0,Chaperones,GroEL2 protein (Chaperonin cpn60 2),12h,PMM0452,locus_tag:locus_tag
PMM0453,2,-4.26,1.63,1.15,0.0,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier protein] reductase,12h,PMM0453,locus_tag:locus_tag
PMM0461,2,0.0,0.45,0.32,0.76,Cytochrome b6/f complex,Cytochrome f,12h,PMM0461,locus_tag:locus_tag
PMM0462,2,-0.94,0.26,0.18,0.15,Cytochrome b6/f complex,Rieske iron-sulfur protein,12h,PMM0462,locus_tag:locus_tag
PMM0465,2,0.1,0.3,0.21,0.84,Conserved hypothetical protein,hypothetical,12h,PMM0465,locus_tag:locus_tag
PMM0468,2,-3.46,1.84,1.3,0.0,Photosystem I,Photosystem I PsaJ protein (subunit IX),12h,PMM0468,locus_tag:locus_tag
PMM0469,2,-2.4,0.57,0.4,0.0,Photosystem I,Photosystem I PsaF protein (subunit III),12h,PMM0469,locus_tag:locus_tag
PMM0470,2,-0.31,0.1,0.07,0.64,Other,probable o-sialoglycoprotein endopeptidase,12h,PMM0470,locus_tag:locus_tag
PMM0471,2,-0.85,0.35,0.25,0.39,Adaptations and atypical conditions,possible high light inducible protein,12h,PMM0471,locus_tag:locus_tag
PMM0472,2,-0.12,0.67,0.48,0.75,Transport and binding proteins,"putative Na+/H+ antiporter, CPA1 family",12h,PMM0472,locus_tag:locus_tag
PMM0473,2,-0.48,0.04,0.03,0.55,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA synthetase,12h,PMM0473,locus_tag:locus_tag
PMM0474,2,-1.19,0.3,0.21,0.22,Conserved hypothetical protein,Conserved hypothetical protein,12h,PMM0474,locus_tag:locus_tag
PMM0475,2,-1.1,0.14,0.1,0.08,Ribosomal proteins,Ribosomal protein L19,12h,PMM0475,locus_tag:locus_tag
PMM0476,2,-1.15,0.85,0.6,0.4,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0476,locus_tag:locus_tag
PMM0477,2,-0.42,0.39,0.27,0.9,Protein modification and translation factors,putative methionine aminopeptidase,12h,PMM0477,locus_tag:locus_tag
PMM0478,2,-4.19,0.45,0.32,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0478,locus_tag:locus_tag
PMM0479,2,-0.28,1.31,0.92,0.57,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0479,locus_tag:locus_tag
PMM0480,2,2.4,0.74,0.52,0.01,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0480,locus_tag:locus_tag
PMM0481,2,-0.92,0.02,0.01,0.39,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0481,locus_tag:locus_tag
PMM0482,2,1.62,1.26,0.89,0.36,Other,Band 7 protein,12h,PMM0482,locus_tag:locus_tag
PMM0483,2,-0.6,0.41,0.29,0.37,"Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde 2,1-aminomutase",12h,PMM0483,locus_tag:locus_tag
PMM0491,2,3.43,1.29,0.91,0.0,Other,4a-hydroxytetrahydrobiopterin dehydratase (PCD),12h,PMM0491,locus_tag:locus_tag
PMM0492,2,-2.45,1.34,0.94,0.02,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0492,locus_tag:locus_tag
PMM0493,2,-0.16,1.9,1.34,0.44,Other,Carboxypeptidase Taq (M32) metallopeptidase,12h,PMM0493,locus_tag:locus_tag
PMM0494,2,-1.78,0.31,0.22,0.03,Phosphorus compounds,putative inorganic pyrophosphatase,12h,PMM0494,locus_tag:locus_tag
PMM0495,2,0.59,1.73,1.22,1.0,"Cobalamin, heme, phycobilin and porphyrin",Porphobilinogen deaminase,12h,PMM0495,locus_tag:locus_tag
PMM0496,2,-0.15,0.09,0.07,0.64,"RNA synthesis, modification, and DNA transcription",Putative principal RNA polymerase sigma factor,12h,PMM0496,locus_tag:locus_tag
PMM0500,2,-0.25,1.12,0.79,0.5,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0500,locus_tag:locus_tag
PMM0501,2,-0.96,1.14,0.81,0.96,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0501,locus_tag:locus_tag
PMM0502,2,2.45,0.07,0.05,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0502,locus_tag:locus_tag
PMM0503,2,-1.94,1.91,1.35,0.22,"Cobalamin, heme, phycobilin and porphyrin",possible precorrin-6X reductase,12h,PMM0503,locus_tag:locus_tag
PMM0506,2,0.07,1.07,0.75,0.73,Purine ribonucleotide biosynthesis,Adenylosuccinate synthetase,12h,PMM0506,locus_tag:locus_tag
PMM0507,2,0.9,1.01,0.71,1.0,Photosystem II,possible Photosystem II reaction center Psb27 protein,12h,PMM0507,locus_tag:locus_tag
PMM0508,2,-0.61,0.34,0.24,0.54,Aminoacyl tRNA synthetases and tRNA modification,Prolyl-tRNA synthetase,12h,PMM0508,locus_tag:locus_tag
PMM0510,2,-1.85,0.08,0.06,0.0,Transposon-related functions,possible Reverse transcriptase (RNA-dependent,12h,PMM0510,locus_tag:locus_tag
PMM0511,2,-1.76,0.27,0.19,0.01,Other,Inorganic pyrophosphatase,12h,PMM0511,locus_tag:locus_tag
PMM0515,2,-0.56,0.52,0.37,0.56,"Cobalamin, heme, phycobilin and porphyrin",possible alpha-ribazole-5'-P phosphatase,12h,PMM0515,locus_tag:locus_tag
PMM0519,2,1.76,0.38,0.27,0.12,Other,Transaldolase,12h,PMM0519,locus_tag:locus_tag
PMM0520,2,-1.27,1.17,0.82,0.13,Other,NAD binding site,12h,PMM0520,locus_tag:locus_tag
PMM0522,2,-0.84,0.74,0.52,0.28,Pyrimidine ribonucleotide biosynthesis,uridylate kinase,12h,PMM0522,locus_tag:locus_tag
PMM0525,2,-1.01,1.62,1.14,0.09,Other,Ferrochelatase,12h,PMM0525,locus_tag:locus_tag
PMM0526,2,0.36,0.24,0.17,0.78,Branched chain family,Acetolactate synthase large subunit,12h,PMM0526,locus_tag:locus_tag
PMM0530,2,0.23,0.88,0.62,0.76,Ribosomal proteins,"30S ribosomal protein S1 homolog B, putative Nbp1",12h,PMM0530,locus_tag:locus_tag
PMM0532,2,0.72,1.2,0.85,0.55,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0532,locus_tag:locus_tag
PMM0533,2,-0.73,0.69,0.49,0.42,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0533,locus_tag:locus_tag
PMM0534,2,-1.66,1.53,1.08,0.05,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, alpha subunit",12h,PMM0534,locus_tag:locus_tag
PMM0536,2,-1.4,1.02,0.72,0.18,Folic acid,putative GTP cyclohydrolase I,12h,PMM0536,locus_tag:locus_tag
PMM0537,2,0.07,0.17,0.12,0.92,Aromatic amino acid family,phosphoribosylanthranilate isomerase,12h,PMM0537,locus_tag:locus_tag
PMM0540,2,-3.39,1.74,1.23,0.0,Photosystem I,possible photosystem I reaction centre subunit XII (PsaM),12h,PMM0540,locus_tag:locus_tag
PMM0541,2,0.38,0.04,0.03,0.91,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0541,locus_tag:locus_tag
PMM0543,2,-0.15,0.23,0.16,0.86,"Cobalamin, heme, phycobilin and porphyrin",Protochlorophyllide reductase iron-sulfur ATP-binding protein,12h,PMM0543,locus_tag:locus_tag
PMM0544,2,0.48,0.72,0.51,0.81,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit B,12h,PMM0544,locus_tag:locus_tag
PMM0545,2,-0.29,0.05,0.03,1.0,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit N,12h,PMM0545,locus_tag:locus_tag
PMM0546,2,0.33,0.05,0.04,1.0,Conserved hypothetical protein,conserved hypothetical,12h,PMM0546,locus_tag:locus_tag
PMM0548,2,0.39,0.42,0.3,1.0,Other,HAM1 family protein,12h,PMM0548,locus_tag:locus_tag
PMM0549,2,-2.81,0.36,0.26,0.0,CO2 fixation,carboxysome shell protein CsoS1,12h,PMM0549,locus_tag:locus_tag
PMM0550,2,-1.48,0.2,0.14,0.01,CO2 fixation,"Ribulose bisphosphate carboxylase, large chain",12h,PMM0550,locus_tag:locus_tag
PMM0551,2,-1.09,0.63,0.45,0.24,CO2 fixation,"Ribulose bisphosphate carboxylase, small chain",12h,PMM0551,locus_tag:locus_tag
PMM0552,2,-1.98,0.37,0.26,0.0,CO2 fixation,carboxysome shell protein CsoS2,12h,PMM0552,locus_tag:locus_tag
PMM0554,2,-0.03,0.63,0.44,0.76,CO2 fixation,putative carboxysome peptide A,12h,PMM0554,locus_tag:locus_tag
PMM0555,2,-0.13,0.46,0.32,0.7,CO2 fixation,putative carboxysome peptide B,12h,PMM0555,locus_tag:locus_tag
PMM0557,2,-1.75,0.03,0.02,0.03,Conserved hypothetical protein,conserved hypothetical,12h,PMM0557,locus_tag:locus_tag
PMM0558,2,1.33,1.0,0.71,0.3,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0558,locus_tag:locus_tag
PMM0560,2,-0.82,0.49,0.34,0.26,Other,possible ATP phosphoribosyltransferase,12h,PMM0560,locus_tag:locus_tag
PMM0561,2,-0.69,1.18,0.83,0.35,Transport and binding proteins,putative multidrug efflux ABC transporter,12h,PMM0561,locus_tag:locus_tag
PMM0564,2,-0.5,0.42,0.3,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0564,locus_tag:locus_tag
PMM0565,2,1.9,0.49,0.34,0.07,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,12h,PMM0565,locus_tag:locus_tag
PMM0570,2,1.19,0.09,0.07,0.48,NADH dehydrogenase,NADH dehydrogenase subunit NdhL (ndhL),12h,PMM0570,locus_tag:locus_tag
PMM0571,2,3.04,2.01,1.42,0.03,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0571,locus_tag:locus_tag
PMM0573,2,-0.59,0.28,0.2,0.45,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0573,locus_tag:locus_tag
PMM0574,2,0.1,0.79,0.56,0.77,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0574,locus_tag:locus_tag
PMM0577,2,-0.12,0.52,0.37,0.83,"RNA synthesis, modification, and DNA transcription","Putative type II alternative sigma factor, sigma70 family",12h,PMM0577,locus_tag:locus_tag
PMM0579,2,1.2,0.84,0.59,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0579,locus_tag:locus_tag
PMM0580,2,-0.41,1.22,0.87,0.48,"Degradation of proteins, peptides, and glycopeptides ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",,12h,PMM0580,locus_tag:locus_tag
PMM0581,2,-0.59,1.36,0.96,0.97,Soluble electron carriers,plastocyanin,12h,PMM0581,locus_tag:locus_tag
PMM0583,2,-3.46,0.65,0.46,0.0,"Cobalamin, heme, phycobilin and porphyrin",Uroporphyrinogen decarboxylase (URO-D),12h,PMM0583,locus_tag:locus_tag
PMM0586,2,-0.02,0.84,0.6,0.82,Conserved hypothetical protein,conserved hypothetical,12h,PMM0586,locus_tag:locus_tag
PMM0593,2,0.17,0.29,0.21,1.0,Other,Peptidase family M3,12h,PMM0593,locus_tag:locus_tag
PMM0594,2,-0.21,0.62,0.44,0.65,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 4),12h,PMM0594,locus_tag:locus_tag
PMM0595,2,0.87,0.36,0.25,0.64,Aspartate family,Homoserine kinase:GHMP kinases putative ATP-binding domain,12h,PMM0595,locus_tag:locus_tag
PMM0599,2,-3.19,0.74,0.53,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0599,locus_tag:locus_tag
PMM0601,2,-0.7,0.62,0.44,0.45,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn",12h,PMM0601,locus_tag:locus_tag
PMM0603,2,-1.08,0.11,0.08,0.29,Transport and binding proteins,"ABC transporter component, possibly Mn transport",12h,PMM0603,locus_tag:locus_tag
PMM0605,2,-3.78,1.23,0.87,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0605,locus_tag:locus_tag
PMM0609,2,0.22,0.57,0.4,0.86,Polysaccharides and glycoproteins,Putative ADPglucose-glucosyltransferase (GlgA),12h,PMM0609,locus_tag:locus_tag
PMM0613,2,-0.17,0.36,0.26,0.73,Aromatic amino acid family,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),12h,PMM0613,locus_tag:locus_tag
PMM0614,2,-2.22,0.6,0.42,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0614,locus_tag:locus_tag
PMM0615,2,-0.06,0.22,0.16,0.73,Other,Possible nitrilase,12h,PMM0615,locus_tag:locus_tag
PMM0618,2,1.4,1.57,1.11,0.39,Carotenoid,polyprenyl synthetase; solanesyl diphosphate synthase (sds),12h,PMM0618,locus_tag:locus_tag
PMM0619,2,0.8,0.24,0.17,0.94,Pyruvate and acetyl-CoA metabolism,acetyl-coenzyme A synthetase,12h,PMM0619,locus_tag:locus_tag
PMM0622,2,-0.12,1.22,0.86,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0622,locus_tag:locus_tag
PMM0626,2,2.23,1.07,0.75,0.08,Conserved hypothetical protein,hypothetical,12h,PMM0626,locus_tag:locus_tag
PMM0627,2,-1.0,0.53,0.38,0.94,Photosystem II,light-harvesting complex protein,12h,PMM0627,locus_tag:locus_tag
PMM0628,2,0.68,0.58,0.41,1.0,Transport and binding proteins,"possible sodium:solute symporter, ESS family",12h,PMM0628,locus_tag:locus_tag
PMM0629,2,-0.78,0.81,0.58,0.27,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0629,locus_tag:locus_tag
PMM0633,2,-2.08,2.45,1.73,0.0,Carotenoid,putative lycopene epsilon cyclase,12h,PMM0633,locus_tag:locus_tag
PMM0637,2,-0.11,0.72,0.51,0.68,Regulatory functions,Ferric uptake regulator family,12h,PMM0637,locus_tag:locus_tag
PMM0638,2,-1.1,0.68,0.48,0.36,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0638,locus_tag:locus_tag
PMM0641,2,-0.86,0.64,0.45,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0641,locus_tag:locus_tag
PMM0642,2,-0.82,0.26,0.18,0.42,Serine family / Sulfur assimilation,putative O-Acetyl homoserine sulfhydrylase,12h,PMM0642,locus_tag:locus_tag
PMM0647,2,2.58,1.23,0.87,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0647,locus_tag:locus_tag
PMM0649,2,-2.37,0.25,0.18,0.0,Other,Pentapeptide repeats,12h,PMM0649,locus_tag:locus_tag
PMM0651,2,0.04,0.38,0.27,0.75,Regulatory functions,possible VHS domain,12h,PMM0651,locus_tag:locus_tag
PMM0652,2,-1.06,0.17,0.12,0.3,"RNA synthesis, modification, and DNA transcription","possible 5'-3' exonuclease, C-terminal SAM fol",12h,PMM0652,locus_tag:locus_tag
PMM0658,2,-1.28,1.48,1.05,0.56,Aminoacyl tRNA synthetases and tRNA modification,putative pseudouridylate synthase specific to ribosomal small subunit,12h,PMM0658,locus_tag:locus_tag
PMM0659,2,-0.82,1.95,1.38,0.04,"DNA replication, recombination, and repair",NAD-dependent DNA ligase N-terminus,12h,PMM0659,locus_tag:locus_tag
PMM0660,2,0.46,1.77,1.25,0.82,Degradation of RNA,"possible RNA recognition motif. (a.k.a. RRM, R",12h,PMM0660,locus_tag:locus_tag
PMM0661,2,1.76,0.08,0.05,0.14,Purine ribonucleotide biosynthesis,ribonucleotide reductase (Class II),12h,PMM0661,locus_tag:locus_tag
PMM0664,2,0.08,0.93,0.66,0.77,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0664,locus_tag:locus_tag
PMM0665,2,0.24,0.84,0.59,0.83,Other,Hsp33 protein,12h,PMM0665,locus_tag:locus_tag
PMM0667,2,2.73,0.95,0.67,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0667,locus_tag:locus_tag
PMM0674,2,-0.16,0.92,0.65,0.65,Aspartate family,Aminotransferases class-I,12h,PMM0674,locus_tag:locus_tag
PMM0681,2,1.66,0.37,0.26,0.1,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0681,locus_tag:locus_tag
PMM0683,2,1.2,0.51,0.36,0.42,Purine ribonucleotide biosynthesis,phosphoribosylaminoimidazole carboxylase,12h,PMM0683,locus_tag:locus_tag
PMM0684,2,2.77,0.22,0.16,0.01,Regulatory functions,"possible Zinc finger, C2H2 type",12h,PMM0684,locus_tag:locus_tag
PMM0685,2,3.2,0.55,0.39,0.0,Conserved hypothetical protein,hypothetical protein,12h,PMM0685,locus_tag:locus_tag
PMM0687,2,2.7,2.03,1.43,0.01,Conserved hypothetical protein,conserved hypothetical,12h,PMM0687,locus_tag:locus_tag
PMM0688,2,1.48,1.97,1.39,0.53,Protein modification and translation factors,possible Elongation factor Tu domain 2,12h,PMM0688,locus_tag:locus_tag
PMM0689,2,4.28,1.87,1.32,0.0,Adaptations and atypical conditions,possible high light inducible protein,12h,PMM0689,locus_tag:locus_tag
PMM0691,2,0.23,3.69,2.61,0.21,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0691,locus_tag:locus_tag
PMM0692,2,-0.85,0.06,0.04,1.0,Regulatory functions,possible DDT domain,12h,PMM0692,locus_tag:locus_tag
PMM0693,2,-0.15,0.51,0.36,0.73,Other,possible Hepatitis C virus envelope glycoprote,12h,PMM0693,locus_tag:locus_tag
PMM0698,2,0.69,0.64,0.45,0.71,Chaperones,possible DnaJ central domain (4 repeats),12h,PMM0698,locus_tag:locus_tag
PMM0699,2,-4.82,0.86,0.61,0.0,Conserved hypothetical protein,conserved hypothetical,12h,PMM0699,locus_tag:locus_tag
PMM0700,2,-0.9,0.49,0.34,0.85,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0700,locus_tag:locus_tag
PMM0703,2,1.18,1.07,0.75,0.33,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0703,locus_tag:locus_tag
PMM0704,2,0.8,1.06,0.75,0.5,Regulatory functions,"putative potassium channel, VIC family",12h,PMM0704,locus_tag:locus_tag
PMM0705,2,1.3,1.77,1.25,0.47,Regulatory functions,"two-component response regulator, phosphate",12h,PMM0705,locus_tag:locus_tag
PMM0707,2,0.22,0.38,0.27,1.0,Other,possible Lipoprotein,12h,PMM0707,locus_tag:locus_tag
PMM0708,2,1.56,0.48,0.34,0.25,Regulatory functions,putative secreted protein,12h,PMM0708,locus_tag:locus_tag
PMM0709,2,0.63,0.01,0.01,0.92,"Membranes, lipoproteins and porins",possible porin,12h,PMM0709,locus_tag:locus_tag
PMM0710,2,-3.05,0.17,0.12,0.0,Transport and binding proteins,"ABC transporter, substrate binding protein, phosphate",12h,PMM0710,locus_tag:locus_tag
PMM0717,2,-1.2,0.63,0.45,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0717,locus_tag:locus_tag
PMM0719,2,-0.87,1.68,1.19,0.8,Conserved hypothetical protein,hypothetical,12h,PMM0719,locus_tag:locus_tag
PMM0722,2,-0.8,0.14,0.1,1.0,Conserved hypothetical protein,hypothetical,12h,PMM0722,locus_tag:locus_tag
PMM0725,2,0.13,0.97,0.68,0.75,Transport and binding proteins,"putative phosphate ABC transporter, ATP binding subunit",12h,PMM0725,locus_tag:locus_tag
PMM0726,2,2.25,1.36,0.96,0.06,Conserved hypothetical protein,hypothetical,12h,PMM0726,locus_tag:locus_tag
PMM0732,2,-0.23,1.11,0.78,0.79,Other,possible Major surface glycoprotein,12h,PMM0732,locus_tag:locus_tag
PMM0736,2,0.2,0.31,0.22,0.99,Other,possible Alpha-2-macroglobulin family N-termin,12h,PMM0736,locus_tag:locus_tag
PMM0739,2,0.53,0.32,0.23,1.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0739,locus_tag:locus_tag
PMM0740,2,-0.29,0.13,0.09,0.56,Cytochrome b6/f complex,Cytochrome b6-f complex subunit VIII,12h,PMM0740,locus_tag:locus_tag
PMM0741,2,-0.74,0.04,0.03,0.45,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0741,locus_tag:locus_tag
PMM0742,2,1.04,0.18,0.13,0.71,"Degradation of proteins, peptides, and glycopeptides",Clp protease subunit,12h,PMM0742,locus_tag:locus_tag
PMM0743,2,-0.02,0.26,0.18,0.71,Cell division,FtsH ATP-dependent protease homolog,12h,PMM0743,locus_tag:locus_tag
PMM0744,2,-1.52,0.15,0.11,0.24,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0744,locus_tag:locus_tag
PMM0747,2,-3.03,1.73,1.22,0.0,"Cobalamin, heme, phycobilin and porphyrin",ferredoxin-dependent biliverdin reductase,12h,PMM0747,locus_tag:locus_tag
PMM0751,2,-2.72,0.08,0.06,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0751,locus_tag:locus_tag
PMM0753,2,-1.29,0.28,0.2,0.04,Ribosomal proteins,30S ribosomal protein S2,12h,PMM0753,locus_tag:locus_tag
PMM0754,2,-2.94,1.63,1.15,0.0,Protein modification and translation factors,putative Elongation factor Ts,12h,PMM0754,locus_tag:locus_tag
PMM0758,2,1.04,1.27,0.9,0.56,Serine family / Sulfur assimilation,Ferredoxin-sulfite reductase,12h,PMM0758,locus_tag:locus_tag
PMM0760,2,-0.59,0.17,0.12,0.5,"Cobalamin, heme, phycobilin and porphyrin",Aromatic-ring hydroxylase (flavoprotein monooxygenase),12h,PMM0760,locus_tag:locus_tag
PMM0762,2,-0.46,0.51,0.36,0.6,Aromatic amino acid family,tyrosine binding protein,12h,PMM0762,locus_tag:locus_tag
PMM0766,2,-1.92,1.09,0.77,0.0,Other,Ribulose-phosphate 3-epimerase,12h,PMM0766,locus_tag:locus_tag
PMM0767,2,-1.2,0.44,0.31,0.04,"Surface polysaccharides, lipopolysaccharides and antigens Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis phosphatase",,12h,PMM0767,locus_tag:locus_tag
PMM0769,2,-1.61,0.44,0.31,0.0,Other,ADP-glucose pyrophosphorylase,12h,PMM0769,locus_tag:locus_tag
PMM0770,2,2.53,1.04,0.74,0.0,Pentose phosphate pathway,6-phosphogluconate dehydrogenase,12h,PMM0770,locus_tag:locus_tag
PMM0772,2,-0.52,1.14,0.8,0.7,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0772,locus_tag:locus_tag
PMM0774,2,1.25,0.34,0.24,0.44,Branched chain family,Dihydroxy-acid dehydratase,12h,PMM0774,locus_tag:locus_tag
PMM0775,2,-1.95,1.96,1.38,0.3,Conserved hypothetical protein,conserved hypothetical,12h,PMM0775,locus_tag:locus_tag
PMM0777,2,0.55,1.16,0.82,0.85,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0777,locus_tag:locus_tag
PMM0779,2,1.03,0.61,0.43,0.8,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0779,locus_tag:locus_tag
PMM0781,2,-1.55,0.45,0.32,0.01,"Fatty acid, phospholipid and sterol metabolism","Fructose-bisphosphate/sedoheptulose-1,7-bisphosph ate aldolase",12h,PMM0781,locus_tag:locus_tag
PMM0784,2,-1.99,0.82,0.58,0.0,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, beta subunit",12h,PMM0784,locus_tag:locus_tag
PMM0785,2,-3.91,1.09,0.77,0.0,CO2 fixation,phosphoribulokinase,12h,PMM0785,locus_tag:locus_tag
PMM0790,2,1.21,0.1,0.07,0.35,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0790,locus_tag:locus_tag
PMM0794,2,0.11,0.18,0.13,0.82,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0794,locus_tag:locus_tag
PMM0797,2,-2.25,0.92,0.65,0.0,Nucleoproteins,possible mRNA binding protein,12h,PMM0797,locus_tag:locus_tag
PMM0799,2,-2.18,1.81,1.28,0.0,Conserved hypothetical protein,conserved hypothetical protein,12h,PMM0799,locus_tag:locus_tag
