locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point,resolved_locus_tag,resolution_method
PMM0371,2,2.65,0.7,0.5,0.0,Transport and binding proteins,putative cyanate ABC transporter,24h,PMM0371,locus_tag:locus_tag
PMM0373,2,-0.37,0.47,0.33,0.64,Other,Cyanate lyase,24h,PMM0373,locus_tag:locus_tag
PMM0374,2,2.23,0.5,0.35,0.0,Other,mttA/Hcf106 family,24h,PMM0374,locus_tag:locus_tag
PMM0377,2,0.9,0.55,0.39,0.37,Conserved hypothetical protein,hypothetical,24h,PMM0377,locus_tag:locus_tag
PMM0378,2,1.51,0.69,0.49,0.97,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0378,locus_tag:locus_tag
PMM0379,2,-0.32,1.28,0.9,0.48,Conserved hypothetical protein,hypothetical,24h,PMM0379,locus_tag:locus_tag
PMM0383,2,2.2,0.59,0.42,0.01,Transport and binding proteins,probable periplasmic protein,24h,PMM0383,locus_tag:locus_tag
PMM0388,2,1.84,1.26,0.89,0.02,Chemotaxis,putative similar to tRNA-(MS[2]IO[6]A)-hydroxylase,24h,PMM0388,locus_tag:locus_tag
PMM0395,2,1.96,0.35,0.25,0.08,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0395,locus_tag:locus_tag
PMM0400,2,-1.52,1.82,1.29,0.16,Adaptations and atypical conditions,light repressed protein A homolog,24h,PMM0400,locus_tag:locus_tag
PMM0403,2,-0.16,1.03,0.73,0.43,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0403,locus_tag:locus_tag
PMM0405,2,-1.43,0.12,0.09,0.03,Transport and binding proteins,Dihydrolipoamide acetyltransferase component (E2) of pyruvate de,24h,PMM0405,locus_tag:locus_tag
PMM0407,2,0.06,0.54,0.38,0.84,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,24h,PMM0407,locus_tag:locus_tag
PMM0410,2,-1.68,0.68,0.48,0.0,Ribosomal proteins,30S ribosomal protein S4,24h,PMM0410,locus_tag:locus_tag
PMM0411,2,0.8,0.67,0.48,0.6,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0411,locus_tag:locus_tag
PMM0412,2,1.77,0.55,0.39,0.03,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0412,locus_tag:locus_tag
PMM0416,2,-3.02,0.73,0.51,0.0,"RNA synthesis, modification, and DNA transcription SAM (and some other nucleotide) binding motif:Generic methyl-...",,24h,PMM0416,locus_tag:locus_tag
PMM0417,2,-1.53,0.04,0.03,0.07,Conserved hypothetical protein,hypothetical,24h,PMM0417,locus_tag:locus_tag
PMM0418,2,-0.21,1.49,1.06,1.0,Other,NifU-like protein,24h,PMM0418,locus_tag:locus_tag
PMM0428,2,-1.57,0.55,0.39,0.02,"Cobalamin, heme, phycobilin and porphyrin",chlorophyll synthase 33 kD subunit,24h,PMM0428,locus_tag:locus_tag
PMM0429,2,-3.39,0.09,0.06,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0429,locus_tag:locus_tag
PMM0435,2,-0.53,0.31,0.22,0.31,NADH dehydrogenase,putative NADH dehydrogenase (complex I) subunit (chain 2),24h,PMM0435,locus_tag:locus_tag
PMM0436,2,0.67,0.91,0.64,0.92,"DNA replication, recombination, and repair",Prokaryotic DNA topoisomerase,24h,PMM0436,locus_tag:locus_tag
PMM0441,2,1.26,0.09,0.06,0.19,Other,Aldo/keto reductase family,24h,PMM0441,locus_tag:locus_tag
PMM0443,2,1.15,0.04,0.03,0.2,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0443,locus_tag:locus_tag
PMM0445,2,0.95,0.38,0.27,1.0,Respiratory terminal oxidases,"Cytochrome c oxidase, subunit I",24h,PMM0445,locus_tag:locus_tag
PMM0446,2,2.06,0.47,0.33,0.01,Respiratory terminal oxidases,"putative cytochrome c oxidase, subunit 2",24h,PMM0446,locus_tag:locus_tag
PMM0447,2,3.76,0.63,0.45,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0447,locus_tag:locus_tag
PMM0448,2,0.16,0.38,0.27,0.99,"Cobalamin, heme, phycobilin and porphyrin",putative protoheme IX farnesyltransferase,24h,PMM0448,locus_tag:locus_tag
PMM0451,2,0.97,0.68,0.48,0.21,Other,possible Arenavirus glycoprotein,24h,PMM0451,locus_tag:locus_tag
PMM0452,2,-2.3,0.86,0.61,0.0,Chaperones,GroEL2 protein (Chaperonin cpn60 2),24h,PMM0452,locus_tag:locus_tag
PMM0453,2,-4.63,1.51,1.07,0.0,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier protein] reductase,24h,PMM0453,locus_tag:locus_tag
PMM0461,2,-0.34,0.09,0.06,0.5,Cytochrome b6/f complex,Cytochrome f,24h,PMM0461,locus_tag:locus_tag
PMM0462,2,-1.36,0.04,0.03,0.03,Cytochrome b6/f complex,Rieske iron-sulfur protein,24h,PMM0462,locus_tag:locus_tag
PMM0465,2,-0.92,1.16,0.82,0.2,Conserved hypothetical protein,hypothetical,24h,PMM0465,locus_tag:locus_tag
PMM0468,2,-2.93,0.32,0.23,0.0,Photosystem I,Photosystem I PsaJ protein (subunit IX),24h,PMM0468,locus_tag:locus_tag
PMM0469,2,-3.27,0.3,0.21,0.0,Photosystem I,Photosystem I PsaF protein (subunit III),24h,PMM0469,locus_tag:locus_tag
PMM0470,2,-0.75,0.57,0.4,0.27,Other,probable o-sialoglycoprotein endopeptidase,24h,PMM0470,locus_tag:locus_tag
PMM0471,2,-2.22,1.78,1.26,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0471,locus_tag:locus_tag
PMM0472,2,0.88,0.81,0.58,0.85,Transport and binding proteins,"putative Na+/H+ antiporter, CPA1 family",24h,PMM0472,locus_tag:locus_tag
PMM0473,2,-0.85,0.77,0.54,0.36,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA synthetase,24h,PMM0473,locus_tag:locus_tag
PMM0474,2,-0.68,0.71,0.5,0.95,Conserved hypothetical protein,Conserved hypothetical protein,24h,PMM0474,locus_tag:locus_tag
PMM0475,2,-1.32,0.44,0.31,0.09,Ribosomal proteins,Ribosomal protein L19,24h,PMM0475,locus_tag:locus_tag
PMM0476,2,0.32,0.34,0.24,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0476,locus_tag:locus_tag
PMM0477,2,-0.74,0.17,0.12,0.87,Protein modification and translation factors,putative methionine aminopeptidase,24h,PMM0477,locus_tag:locus_tag
PMM0479,2,-0.75,0.52,0.36,0.31,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0479,locus_tag:locus_tag
PMM0480,2,1.61,0.06,0.05,0.04,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0480,locus_tag:locus_tag
PMM0481,2,-1.18,0.18,0.13,0.14,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0481,locus_tag:locus_tag
PMM0482,2,0.78,0.53,0.37,1.0,Other,Band 7 protein,24h,PMM0482,locus_tag:locus_tag
PMM0483,2,-0.08,0.22,0.16,0.76,"Cobalamin, heme, phycobilin and porphyrin","glutamate-1-semialdehyde 2,1-aminomutase",24h,PMM0483,locus_tag:locus_tag
PMM0485,2,0.96,1.36,0.96,0.94,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0485,locus_tag:locus_tag
PMM0491,2,1.95,0.25,0.18,0.04,Other,4a-hydroxytetrahydrobiopterin dehydratase (PCD),24h,PMM0491,locus_tag:locus_tag
PMM0492,2,-1.14,0.48,0.34,0.15,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0492,locus_tag:locus_tag
PMM0493,2,-1.04,1.47,1.04,0.03,Other,Carboxypeptidase Taq (M32) metallopeptidase,24h,PMM0493,locus_tag:locus_tag
PMM0494,2,-1.69,1.94,1.37,0.03,Phosphorus compounds,putative inorganic pyrophosphatase,24h,PMM0494,locus_tag:locus_tag
PMM0495,2,0.78,0.48,0.34,0.6,"Cobalamin, heme, phycobilin and porphyrin",Porphobilinogen deaminase,24h,PMM0495,locus_tag:locus_tag
PMM0496,2,0.8,0.96,0.68,0.43,"RNA synthesis, modification, and DNA transcription",Putative principal RNA polymerase sigma factor,24h,PMM0496,locus_tag:locus_tag
PMM0500,2,-0.67,0.54,0.38,0.28,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0500,locus_tag:locus_tag
PMM0502,2,1.25,0.06,0.05,0.2,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0502,locus_tag:locus_tag
PMM0503,2,-0.54,1.07,0.76,0.47,"Cobalamin, heme, phycobilin and porphyrin",possible precorrin-6X reductase,24h,PMM0503,locus_tag:locus_tag
PMM0506,2,-0.48,1.16,0.82,0.4,Purine ribonucleotide biosynthesis,Adenylosuccinate synthetase,24h,PMM0506,locus_tag:locus_tag
PMM0507,2,-0.16,0.33,0.23,0.65,Photosystem II,possible Photosystem II reaction center Psb27 protein,24h,PMM0507,locus_tag:locus_tag
PMM0508,2,0.14,1.0,0.71,0.84,Aminoacyl tRNA synthetases and tRNA modification,Prolyl-tRNA synthetase,24h,PMM0508,locus_tag:locus_tag
PMM0510,2,-2.09,0.2,0.14,0.0,Transposon-related functions,possible Reverse transcriptase (RNA-dependent,24h,PMM0510,locus_tag:locus_tag
PMM0511,2,-2.11,0.08,0.06,0.0,Other,Inorganic pyrophosphatase,24h,PMM0511,locus_tag:locus_tag
PMM0515,2,-1.81,1.54,1.09,0.0,"Cobalamin, heme, phycobilin and porphyrin",possible alpha-ribazole-5'-P phosphatase,24h,PMM0515,locus_tag:locus_tag
PMM0519,2,1.22,0.66,0.47,0.32,Other,Transaldolase,24h,PMM0519,locus_tag:locus_tag
PMM0520,2,-0.38,0.14,0.1,0.48,Other,NAD binding site,24h,PMM0520,locus_tag:locus_tag
PMM0522,2,-0.15,0.07,0.05,0.64,Pyrimidine ribonucleotide biosynthesis,uridylate kinase,24h,PMM0522,locus_tag:locus_tag
PMM0525,2,-0.58,0.3,0.21,0.37,Other,Ferrochelatase,24h,PMM0525,locus_tag:locus_tag
PMM0526,2,0.48,0.04,0.03,1.0,Branched chain family,Acetolactate synthase large subunit,24h,PMM0526,locus_tag:locus_tag
PMM0530,2,-0.37,0.14,0.1,0.37,Ribosomal proteins,"30S ribosomal protein S1 homolog B, putative Nbp1",24h,PMM0530,locus_tag:locus_tag
PMM0532,2,0.14,0.39,0.27,0.98,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0532,locus_tag:locus_tag
PMM0533,2,-0.77,0.62,0.44,0.28,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0533,locus_tag:locus_tag
PMM0534,2,-1.42,0.31,0.22,0.05,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, alpha subunit",24h,PMM0534,locus_tag:locus_tag
PMM0536,2,-1.19,0.26,0.18,0.1,Folic acid,putative GTP cyclohydrolase I,24h,PMM0536,locus_tag:locus_tag
PMM0537,2,-0.39,0.97,0.68,0.4,Aromatic amino acid family,phosphoribosylanthranilate isomerase,24h,PMM0537,locus_tag:locus_tag
PMM0540,2,-3.57,1.58,1.11,0.0,Photosystem I,possible photosystem I reaction centre subunit XII (PsaM),24h,PMM0540,locus_tag:locus_tag
PMM0541,2,-0.75,0.5,0.35,0.27,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0541,locus_tag:locus_tag
PMM0543,2,0.07,0.31,0.22,0.75,"Cobalamin, heme, phycobilin and porphyrin",Protochlorophyllide reductase iron-sulfur ATP-binding protein,24h,PMM0543,locus_tag:locus_tag
PMM0544,2,0.25,0.41,0.29,0.69,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit B,24h,PMM0544,locus_tag:locus_tag
PMM0545,2,-1.1,0.09,0.06,0.19,"Cobalamin, heme, phycobilin and porphyrin",Light-independent protochlorophyllide reductase subunit N,24h,PMM0545,locus_tag:locus_tag
PMM0546,2,1.78,0.34,0.24,0.02,Conserved hypothetical protein,conserved hypothetical,24h,PMM0546,locus_tag:locus_tag
PMM0548,2,2.96,0.73,0.52,0.0,Other,HAM1 family protein,24h,PMM0548,locus_tag:locus_tag
PMM0549,2,-3.04,0.99,0.7,0.0,CO2 fixation,carboxysome shell protein CsoS1,24h,PMM0549,locus_tag:locus_tag
PMM0550,2,-1.28,0.23,0.16,0.11,CO2 fixation,"Ribulose bisphosphate carboxylase, large chain",24h,PMM0550,locus_tag:locus_tag
PMM0551,2,-1.24,0.02,0.01,0.09,CO2 fixation,"Ribulose bisphosphate carboxylase, small chain",24h,PMM0551,locus_tag:locus_tag
PMM0552,2,-2.02,0.19,0.13,0.0,CO2 fixation,carboxysome shell protein CsoS2,24h,PMM0552,locus_tag:locus_tag
PMM0554,2,-0.05,0.55,0.39,0.65,CO2 fixation,putative carboxysome peptide A,24h,PMM0554,locus_tag:locus_tag
PMM0555,2,0.2,1.31,0.93,0.81,CO2 fixation,putative carboxysome peptide B,24h,PMM0555,locus_tag:locus_tag
PMM0556,2,-0.17,1.25,0.88,0.76,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0556,locus_tag:locus_tag
PMM0557,2,-1.28,1.11,0.78,0.01,Conserved hypothetical protein,conserved hypothetical,24h,PMM0557,locus_tag:locus_tag
PMM0558,2,-0.04,0.35,0.25,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0558,locus_tag:locus_tag
PMM0560,2,-1.09,0.22,0.15,0.05,Other,possible ATP phosphoribosyltransferase,24h,PMM0560,locus_tag:locus_tag
PMM0561,2,-0.77,1.15,0.81,0.27,Transport and binding proteins,putative multidrug efflux ABC transporter,24h,PMM0561,locus_tag:locus_tag
PMM0564,2,-1.12,0.78,0.55,0.16,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0564,locus_tag:locus_tag
PMM0565,2,0.93,0.56,0.4,0.41,"DNA replication, recombination, and repair",chromosomal replication initiator protein DnaA,24h,PMM0565,locus_tag:locus_tag
PMM0570,2,1.46,0.65,0.46,0.2,NADH dehydrogenase,NADH dehydrogenase subunit NdhL (ndhL),24h,PMM0570,locus_tag:locus_tag
PMM0571,2,3.88,2.48,1.76,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0571,locus_tag:locus_tag
PMM0573,2,-0.78,0.86,0.61,0.25,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0573,locus_tag:locus_tag
PMM0574,2,-0.64,0.73,0.51,0.48,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0574,locus_tag:locus_tag
PMM0577,2,-0.48,0.75,0.53,0.85,"RNA synthesis, modification, and DNA transcription","Putative type II alternative sigma factor, sigma70 family",24h,PMM0577,locus_tag:locus_tag
PMM0579,2,1.12,0.05,0.03,0.48,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0579,locus_tag:locus_tag
PMM0580,2,-1.05,0.24,0.17,0.15,"Degradation of proteins, peptides, and glycopeptides ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",,24h,PMM0580,locus_tag:locus_tag
PMM0581,2,-1.01,0.9,0.64,1.0,Soluble electron carriers,plastocyanin,24h,PMM0581,locus_tag:locus_tag
PMM0583,2,-4.21,0.95,0.67,0.0,"Cobalamin, heme, phycobilin and porphyrin",Uroporphyrinogen decarboxylase (URO-D),24h,PMM0583,locus_tag:locus_tag
PMM0586,2,-0.78,0.26,0.18,0.3,Conserved hypothetical protein,conserved hypothetical,24h,PMM0586,locus_tag:locus_tag
PMM0593,2,0.5,0.01,0.01,0.86,Other,Peptidase family M3,24h,PMM0593,locus_tag:locus_tag
PMM0594,2,0.12,0.5,0.35,0.58,NADH dehydrogenase,putative NADH Dehydrogenase (complex I) subunit (chain 4),24h,PMM0594,locus_tag:locus_tag
PMM0595,2,0.4,0.84,0.6,1.0,Aspartate family,Homoserine kinase:GHMP kinases putative ATP-binding domain,24h,PMM0595,locus_tag:locus_tag
PMM0599,2,-3.64,0.97,0.69,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0599,locus_tag:locus_tag
PMM0601,2,-0.78,0.77,0.54,0.33,Transport and binding proteins,"ABC transporter, substrate binding protein, possibly Mn",24h,PMM0601,locus_tag:locus_tag
PMM0603,2,-1.02,0.55,0.39,0.22,Transport and binding proteins,"ABC transporter component, possibly Mn transport",24h,PMM0603,locus_tag:locus_tag
PMM0605,2,-3.91,0.16,0.11,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0605,locus_tag:locus_tag
PMM0609,2,0.1,0.26,0.18,1.0,Polysaccharides and glycoproteins,Putative ADPglucose-glucosyltransferase (GlgA),24h,PMM0609,locus_tag:locus_tag
PMM0613,2,-0.4,0.23,0.16,0.48,Aromatic amino acid family,EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase),24h,PMM0613,locus_tag:locus_tag
PMM0614,2,-0.73,0.2,0.14,0.34,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0614,locus_tag:locus_tag
PMM0615,2,0.39,1.02,0.72,0.91,Other,Possible nitrilase,24h,PMM0615,locus_tag:locus_tag
PMM0618,2,1.33,0.51,0.36,0.37,Carotenoid,polyprenyl synthetase; solanesyl diphosphate synthase (sds),24h,PMM0618,locus_tag:locus_tag
PMM0619,2,1.08,0.04,0.03,0.4,Pyruvate and acetyl-CoA metabolism,acetyl-coenzyme A synthetase,24h,PMM0619,locus_tag:locus_tag
PMM0622,2,-0.39,0.64,0.45,0.52,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0622,locus_tag:locus_tag
PMM0626,2,2.49,0.31,0.22,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0626,locus_tag:locus_tag
PMM0627,2,-1.55,0.29,0.21,1.0,Photosystem II,light-harvesting complex protein,24h,PMM0627,locus_tag:locus_tag
PMM0628,2,0.93,0.1,0.07,0.37,Transport and binding proteins,"possible sodium:solute symporter, ESS family",24h,PMM0628,locus_tag:locus_tag
PMM0629,2,-0.64,0.85,0.6,0.48,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0629,locus_tag:locus_tag
PMM0633,2,-1.55,1.1,0.78,0.0,Carotenoid,putative lycopene epsilon cyclase,24h,PMM0633,locus_tag:locus_tag
PMM0637,2,0.63,0.35,0.25,0.39,Regulatory functions,Ferric uptake regulator family,24h,PMM0637,locus_tag:locus_tag
PMM0638,2,-0.3,0.18,0.13,0.54,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0638,locus_tag:locus_tag
PMM0641,2,-0.8,0.52,0.37,0.36,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0641,locus_tag:locus_tag
PMM0642,2,-0.1,0.93,0.66,0.62,Serine family / Sulfur assimilation,putative O-Acetyl homoserine sulfhydrylase,24h,PMM0642,locus_tag:locus_tag
PMM0647,2,0.73,0.55,0.39,0.51,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0647,locus_tag:locus_tag
PMM0649,2,-0.87,1.11,0.79,0.36,Other,Pentapeptide repeats,24h,PMM0649,locus_tag:locus_tag
PMM0651,2,2.56,0.28,0.2,0.0,Regulatory functions,possible VHS domain,24h,PMM0651,locus_tag:locus_tag
PMM0652,2,-0.54,0.43,0.3,0.48,"RNA synthesis, modification, and DNA transcription","possible 5'-3' exonuclease, C-terminal SAM fol",24h,PMM0652,locus_tag:locus_tag
PMM0658,2,-0.91,0.95,0.67,0.36,Aminoacyl tRNA synthetases and tRNA modification,putative pseudouridylate synthase specific to ribosomal small subunit,24h,PMM0658,locus_tag:locus_tag
PMM0659,2,0.39,0.82,0.58,1.0,"DNA replication, recombination, and repair",NAD-dependent DNA ligase N-terminus,24h,PMM0659,locus_tag:locus_tag
PMM0660,2,-1.54,0.49,0.34,0.05,Degradation of RNA,"possible RNA recognition motif. (a.k.a. RRM, R",24h,PMM0660,locus_tag:locus_tag
PMM0661,2,1.48,0.09,0.06,0.16,Purine ribonucleotide biosynthesis,ribonucleotide reductase (Class II),24h,PMM0661,locus_tag:locus_tag
PMM0664,2,0.18,0.18,0.13,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0664,locus_tag:locus_tag
PMM0665,2,1.36,0.26,0.19,0.11,Other,Hsp33 protein,24h,PMM0665,locus_tag:locus_tag
PMM0667,2,0.98,1.32,0.94,0.5,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0667,locus_tag:locus_tag
PMM0674,2,-0.34,0.51,0.36,0.55,Aspartate family,Aminotransferases class-I,24h,PMM0674,locus_tag:locus_tag
PMM0681,2,2.3,0.22,0.16,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0681,locus_tag:locus_tag
PMM0683,2,0.86,0.63,0.45,0.37,Purine ribonucleotide biosynthesis,phosphoribosylaminoimidazole carboxylase,24h,PMM0683,locus_tag:locus_tag
PMM0684,2,3.38,0.04,0.03,0.0,Regulatory functions,"possible Zinc finger, C2H2 type",24h,PMM0684,locus_tag:locus_tag
PMM0685,2,3.58,0.55,0.39,0.0,Conserved hypothetical protein,hypothetical protein,24h,PMM0685,locus_tag:locus_tag
PMM0687,2,3.13,0.68,0.48,0.0,Conserved hypothetical protein,conserved hypothetical,24h,PMM0687,locus_tag:locus_tag
PMM0688,2,0.67,0.16,0.11,0.48,Protein modification and translation factors,possible Elongation factor Tu domain 2,24h,PMM0688,locus_tag:locus_tag
PMM0689,2,3.44,0.77,0.54,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0689,locus_tag:locus_tag
PMM0690,2,4.37,0.58,0.41,0.0,Adaptations and atypical conditions,possible high light inducible protein,24h,PMM0690,locus_tag:locus_tag
PMM0691,2,-1.54,1.35,0.96,0.01,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0691,locus_tag:locus_tag
PMM0692,2,-2.43,0.5,0.35,0.0,Regulatory functions,possible DDT domain,24h,PMM0692,locus_tag:locus_tag
PMM0693,2,1.17,1.59,1.12,0.25,Other,possible Hepatitis C virus envelope glycoprote,24h,PMM0693,locus_tag:locus_tag
PMM0697,2,1.08,2.01,1.42,0.47,"DNA replication, recombination, and repair",possible D12 class N6 adenine-specific DNA met,24h,PMM0697,locus_tag:locus_tag
PMM0698,2,2.19,1.55,1.09,0.0,Chaperones,possible DnaJ central domain (4 repeats),24h,PMM0698,locus_tag:locus_tag
PMM0699,2,-2.12,1.79,1.26,0.01,Conserved hypothetical protein,conserved hypothetical,24h,PMM0699,locus_tag:locus_tag
PMM0700,2,-0.39,0.51,0.36,0.6,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0700,locus_tag:locus_tag
PMM0703,2,0.61,0.68,0.48,0.8,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0703,locus_tag:locus_tag
PMM0704,2,1.87,0.28,0.2,0.01,Regulatory functions,"putative potassium channel, VIC family",24h,PMM0704,locus_tag:locus_tag
PMM0705,2,0.59,0.34,0.24,0.63,Regulatory functions,"two-component response regulator, phosphate",24h,PMM0705,locus_tag:locus_tag
PMM0707,2,1.29,0.56,0.4,0.13,Other,possible Lipoprotein,24h,PMM0707,locus_tag:locus_tag
PMM0708,2,1.52,0.21,0.15,0.13,Regulatory functions,putative secreted protein,24h,PMM0708,locus_tag:locus_tag
PMM0709,2,0.48,0.22,0.16,1.0,"Membranes, lipoproteins and porins",possible porin,24h,PMM0709,locus_tag:locus_tag
PMM0710,2,-4.0,0.03,0.02,0.0,Transport and binding proteins,"ABC transporter, substrate binding protein, phosphate",24h,PMM0710,locus_tag:locus_tag
PMM0714,2,1.61,1.51,1.07,0.27,Regulatory functions,"Bacterial regulatory proteins, ArsR family",24h,PMM0714,locus_tag:locus_tag
PMM0717,2,-0.56,0.59,0.41,0.43,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0717,locus_tag:locus_tag
PMM0719,2,0.72,0.16,0.11,0.56,Conserved hypothetical protein,hypothetical,24h,PMM0719,locus_tag:locus_tag
PMM0722,2,-0.08,2.95,2.08,0.97,Conserved hypothetical protein,hypothetical,24h,PMM0722,locus_tag:locus_tag
PMM0725,2,0.52,0.01,0.01,1.0,Transport and binding proteins,"putative phosphate ABC transporter, ATP binding subunit",24h,PMM0725,locus_tag:locus_tag
PMM0726,2,3.59,1.24,0.88,0.0,Conserved hypothetical protein,hypothetical,24h,PMM0726,locus_tag:locus_tag
PMM0732,2,-0.35,0.58,0.41,0.53,Other,possible Major surface glycoprotein,24h,PMM0732,locus_tag:locus_tag
PMM0736,2,-0.48,1.09,0.77,0.5,Other,possible Alpha-2-macroglobulin family N-termin,24h,PMM0736,locus_tag:locus_tag
PMM0739,2,1.04,0.21,0.15,0.33,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0739,locus_tag:locus_tag
PMM0740,2,-0.11,0.15,0.1,0.48,Cytochrome b6/f complex,Cytochrome b6-f complex subunit VIII,24h,PMM0740,locus_tag:locus_tag
PMM0741,2,-0.07,0.72,0.51,0.63,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0741,locus_tag:locus_tag
PMM0742,2,1.24,0.62,0.44,0.38,"Degradation of proteins, peptides, and glycopeptides",Clp protease subunit,24h,PMM0742,locus_tag:locus_tag
PMM0743,2,-0.83,0.16,0.11,0.28,Cell division,FtsH ATP-dependent protease homolog,24h,PMM0743,locus_tag:locus_tag
PMM0744,2,0.21,3.01,2.13,0.65,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0744,locus_tag:locus_tag
PMM0747,2,-2.43,0.58,0.41,0.0,"Cobalamin, heme, phycobilin and porphyrin",ferredoxin-dependent biliverdin reductase,24h,PMM0747,locus_tag:locus_tag
PMM0751,2,-2.8,1.09,0.77,0.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0751,locus_tag:locus_tag
PMM0753,2,-1.08,0.33,0.24,0.21,Ribosomal proteins,30S ribosomal protein S2,24h,PMM0753,locus_tag:locus_tag
PMM0754,2,-1.27,0.86,0.61,0.03,Protein modification and translation factors,putative Elongation factor Ts,24h,PMM0754,locus_tag:locus_tag
PMM0758,2,0.16,0.93,0.66,1.0,Serine family / Sulfur assimilation,Ferredoxin-sulfite reductase,24h,PMM0758,locus_tag:locus_tag
PMM0760,2,-0.97,0.16,0.11,0.18,"Cobalamin, heme, phycobilin and porphyrin",Aromatic-ring hydroxylase (flavoprotein monooxygenase),24h,PMM0760,locus_tag:locus_tag
PMM0762,2,-0.48,0.01,0.01,0.46,Aromatic amino acid family,tyrosine binding protein,24h,PMM0762,locus_tag:locus_tag
PMM0766,2,-2.4,1.46,1.04,0.0,Other,Ribulose-phosphate 3-epimerase,24h,PMM0766,locus_tag:locus_tag
PMM0767,2,-1.48,0.36,0.25,0.01,"Surface polysaccharides, lipopolysaccharides and antigens Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis phosphatase",,24h,PMM0767,locus_tag:locus_tag
PMM0769,2,-1.95,0.2,0.14,0.0,Other,ADP-glucose pyrophosphorylase,24h,PMM0769,locus_tag:locus_tag
PMM0770,2,1.6,0.51,0.36,0.11,Pentose phosphate pathway,6-phosphogluconate dehydrogenase,24h,PMM0770,locus_tag:locus_tag
PMM0772,2,0.56,1.2,0.85,0.69,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0772,locus_tag:locus_tag
PMM0774,2,1.22,0.41,0.29,0.28,Branched chain family,Dihydroxy-acid dehydratase,24h,PMM0774,locus_tag:locus_tag
PMM0775,2,0.14,0.97,0.68,0.95,Conserved hypothetical protein,conserved hypothetical,24h,PMM0775,locus_tag:locus_tag
PMM0777,2,0.36,0.18,0.12,1.0,Conserved hypothetical protein,conserved hypothetical protein,24h,PMM0777,locus_tag:locus_tag
