Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_02863,hypothetical protein,4,7,4.01,7.01,1,0.572039943
AMHOT1A3_single_02868,hypothetical protein,4,4,4.01,4.01,1,1
AMHOT1A3_single_02871,major facilitator family protein,4,4,4.01,4.01,1,1
AMHOT1A3_single_02873,peptidyl-dipeptidase Dcp,4,0,4.01,0.01,1,401
AMHOT1A3_single_02880,transposase,4,8,4.01,8.01,1,0.50062422
AMHOT1A3_single_02889,esterase,4,0,4.01,0.01,1,401
AMHOT1A3_single_02890,non-ribosomal peptide synthetase,4,7,4.01,7.01,1,0.572039943
AMHOT1A3_single_02898,glucose/galactose transporter,4,1,4.01,1.01,1,3.97029703
AMHOT1A3_single_02899,N-acetylglucosamine-6-phosphate deacetylase,4,0,4.01,0.01,1,401
AMHOT1A3_single_02901,BadF/BadG/BcrA/BcrD type ATPase,4,0,4.01,0.01,1,401
AMHOT1A3_single_02902,beta-N-acetylhexosaminidase,4,11,4.01,11.01,1,0.364214351
AMHOT1A3_single_02966,cation efflux system protein CusA,3,2,3.01,2.01,1,1.497512438
AMHOT1A3_single_02967,cation efflux system protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_02968,cation efflux protein,3,6,3.01,6.01,1,0.500831947
AMHOT1A3_single_03002,branched-chain amino acid ABC transporter,3,0,3.01,0.01,1,301
AMHOT1A3_single_03003,amino acid transporter,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03004,Cro/CI family transcriptional regulator,3,0,3.01,0.01,1,301
AMHOT1A3_single_03005,MFS permease,3,2,3.01,2.01,1,1.497512438
AMHOT1A3_single_03008,transaldolase,3,9,3.01,9.01,1,0.334073252
AMHOT1A3_single_03016,transcriptional regulator,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03018,two-component system regulatory protein,3,8,3.01,8.01,1,0.375780275
AMHOT1A3_single_03020,hypothetical protein,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03023,arsenate reductase,3,0,3.01,0.01,1,301
AMHOT1A3_single_03024,NADPH-dependent FMN reductase,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03025,arsenical pump membrane protein,3,9,3.01,9.01,1,0.334073252
AMHOT1A3_single_03034,membrane protein,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03035,adenosine deaminase,3,2,3.01,2.01,1,1.497512438
AMHOT1A3_single_03036,sterol desaturase protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03049,transport-associated protein,3,9,3.01,9.01,1,0.334073252
AMHOT1A3_single_03050,MFS permease,3,7,3.01,7.01,1,0.429386591
AMHOT1A3_single_03051,membrane protein,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03052,emrE protein,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03054,"DNA-binding response regulator, LuxR family protein",3,0,3.01,0.01,1,301
AMHOT1A3_single_03057,TonB-dependent receptor,3,0,3.01,0.01,1,301
AMHOT1A3_single_03064,SSS sodium solute transporter superfamily protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03065,Bacterial membrane flanked domain protein,3,9,3.01,9.01,1,0.334073252
AMHOT1A3_single_03066,Bacterial membrane flanked domain protein,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03076,ABC transporter substrate-binding protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03080,oxidoreductase,3,9,3.01,9.01,1,0.334073252
AMHOT1A3_single_03085,citrate transporter,3,5,3.01,5.01,1,0.600798403
AMHOT1A3_single_03086,fucose permease,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03087,regulator of pathogenicity factors,3,10,3.01,10.01,1,0.300699301
AMHOT1A3_single_03098,fumarase,3,2,3.01,2.01,1,1.497512438
AMHOT1A3_single_03099,hypothetical protein,3,8,3.01,8.01,1,0.375780275
AMHOT1A3_single_03101,hypothetical protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03115,two-component system response regulator,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03122,response regulator containing a CheY-like receiver domain and a GGDEF domain protein,3,3,3.01,3.01,1,1
AMHOT1A3_single_03131,lipopolysaccharide ABC transporter permease,3,0,3.01,0.01,1,301
AMHOT1A3_single_03139,membrane protein,3,3,3.01,3.01,1,1
AMHOT1A3_single_03141,diguanylate cyclase,3,5,3.01,5.01,1,0.600798403
AMHOT1A3_single_03151,hypothetical protein,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03153,lipase-like protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03158,ferrichrome receptor FcuA,3,0,3.01,0.01,1,301
AMHOT1A3_single_03159,hypothetical protein,3,6,3.01,6.01,1,0.500831947
AMHOT1A3_single_03160,PepSY-associated TM helix family protein,3,8,3.01,8.01,1,0.375780275
AMHOT1A3_single_03162,disulfide isomerase/thiol-disulfide oxidase,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03163,thiol:disulfide interchange protein,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03165,integral membrane sensor signal transduction histidine kinase,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03171,MadN protein,3,2,3.01,2.01,1,1.497512438
AMHOT1A3_single_03172,hypothetical protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03173,TonB-dependent receptor,3,6,3.01,6.01,1,0.500831947
AMHOT1A3_single_03179,diguanylate cyclase,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03180,malonate transporter,3,4,3.01,4.01,1,0.750623441
AMHOT1A3_single_03209,ECF subfamily RNA polymerase sigma-24 subunit,3,0,3.01,0.01,1,301
AMHOT1A3_single_03210,FecR/PupR family sigma factor regulatory protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03211,"TonB-dependent receptor, plug",3,11,3.01,11.01,1,0.273387829
AMHOT1A3_single_03212,metallophosphoesterase,3,0,3.01,0.01,1,301
AMHOT1A3_single_03214,L-lactate dehydrogenase,3,5,3.01,5.01,1,0.600798403
AMHOT1A3_single_03217,curli production assembly/transport component CsgG,3,5,3.01,5.01,1,0.600798403
AMHOT1A3_single_03221,minor curlin subunit CsgB,3,0,3.01,0.01,1,301
AMHOT1A3_single_03224,2-keto-4-pentenoate hydratase,3,8,3.01,8.01,1,0.375780275
AMHOT1A3_single_03231,sensory box protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03234,LysR family transcriptional regulator,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03235,TonB-dependent receptor,3,1,3.01,1.01,1,2.98019802
AMHOT1A3_single_03236,membrane protein,3,0,3.01,0.01,1,301
AMHOT1A3_single_03237,aminotransferase,3,0,3.01,0.01,1,301
AMHOT1A3_single_03242,DNA polymerase II,3,3,3.01,3.01,1,1
AMHOT1A3_single_03300,metallo-beta-lactamase,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03301,glyoxalase family protein,2,3,2.01,3.01,1,0.667774086
AMHOT1A3_single_03304,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03306,Inner membrane protein YiaA,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03310,cytosine/purines uracil thiamine allantoin permease,2,0,2.01,0.01,1,201
AMHOT1A3_single_03311,TonB-dependent receptor,2,4,2.01,4.01,1,0.501246883
AMHOT1A3_single_03312,methylmalonate-semialdehyde dehydrogenase,2,6,2.01,6.01,1,0.334442596
AMHOT1A3_single_03313,flavin reductase,2,4,2.01,4.01,1,0.501246883
AMHOT1A3_single_03314,malonic semialdehyde reductase,2,8,2.01,8.01,1,0.25093633
AMHOT1A3_single_03315,alpha/beta fold family hydrolase,2,5,2.01,5.01,1,0.401197605
AMHOT1A3_single_03316,pyrimidine utilization protein C,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03317,pyrimidine utilization protein B,2,7,2.01,7.01,1,0.286733238
AMHOT1A3_single_03318,pyrimidine utilization protein A,2,2,2.01,2.01,1,1
AMHOT1A3_single_03323,gluconate transporter,2,2,2.01,2.01,1,1
AMHOT1A3_single_03349,Na+ dependent nucleoside transporter,2,0,2.01,0.01,1,201
AMHOT1A3_single_03355,DNA polymerase,2,6,2.01,6.01,1,0.334442596
AMHOT1A3_single_03359,chemotaxis protein CheY,2,0,2.01,0.01,1,201
AMHOT1A3_single_03368,nptA protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03380,ankyrin,2,0,2.01,0.01,1,201
AMHOT1A3_single_03391,Baf family transcriptional activator,2,7,2.01,7.01,1,0.286733238
AMHOT1A3_single_03401,fe-s-cluster oxidoreductase,2,11,2.01,11.01,1,0.182561308
AMHOT1A3_single_03419,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03440,Glycosyl transferase family 2,2,0,2.01,0.01,1,201
AMHOT1A3_single_03441,hypothetical protein,2,2,2.01,2.01,1,1
AMHOT1A3_single_03465,hypothetical protein,2,7,2.01,7.01,1,0.286733238
AMHOT1A3_single_03469,phosphodiesterase/alkaline phosphatase D,2,5,2.01,5.01,1,0.401197605
AMHOT1A3_single_03482,hypothetical protein,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03488,hypothetical protein,2,3,2.01,3.01,1,0.667774086
AMHOT1A3_single_03498,protein kinase,2,0,2.01,0.01,1,201
AMHOT1A3_single_03509,TonB dependent outer membrane receptor,2,5,2.01,5.01,1,0.401197605
AMHOT1A3_single_03510,iron-regulated membrane protein,2,2,2.01,2.01,1,1
AMHOT1A3_single_03514,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03515,Formylglycine-generating sulfatase enzyme,2,5,2.01,5.01,1,0.401197605
AMHOT1A3_single_03516,hypothetical protein,2,2,2.01,2.01,1,1
AMHOT1A3_single_03517,"biopolymer transport protein, ExbB family",2,5,2.01,5.01,1,0.401197605
AMHOT1A3_single_03519,"Secreted protein, containing von Willebrand factor (vWF) type A domain",2,3,2.01,3.01,1,0.667774086
AMHOT1A3_single_03522,membrane-fusion protein,2,3,2.01,3.01,1,0.667774086
AMHOT1A3_single_03523,toxin secretion ABC transporter ATP-binding protein/permease,2,9,2.01,9.01,1,0.223085461
AMHOT1A3_single_03524,transcriptional regulator,2,0,2.01,0.01,1,201
AMHOT1A3_single_03525,hypothetical protein,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03526,Ribosomal protein S6--L-glutamate ligase,2,0,2.01,0.01,1,201
AMHOT1A3_single_03530,ATP-dependent protease subunit HslV,2,0,2.01,0.01,1,201
AMHOT1A3_single_03567,inner membrane transport permease,2,0,2.01,0.01,1,201
AMHOT1A3_single_03577,flavodoxin/nitric oxide synthase,2,0,2.01,0.01,1,201
AMHOT1A3_single_03578,Nickel uptake substrate-specific transmembrane region,2,0,2.01,0.01,1,201
AMHOT1A3_single_03579,ApbE family lipoprotein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03581,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03582,iron-regulated membrane protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03583,hypothetical protein,2,4,2.01,4.01,1,0.501246883
AMHOT1A3_single_03584,tetratricopeptide repeat protein,2,1,2.01,1.01,1,1.99009901
AMHOT1A3_single_03585,Gram-negative bacterial tonB protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03586,biopolymer transport protein ExbD/TolR,2,0,2.01,0.01,1,201
AMHOT1A3_single_03587,biopolymer transport proteins-like protein,2,4,2.01,4.01,1,0.501246883
AMHOT1A3_single_03588,biopolymer transport proteins-like protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03589,molybdate ABC transporter ATP-binding protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03590,outer membrane receptor FepA,2,0,2.01,0.01,1,201
AMHOT1A3_single_03591,(S)-2-hydroxy-acid oxidase,2,0,2.01,0.01,1,201
AMHOT1A3_single_03593,molybdate ABC transporter permease,2,0,2.01,0.01,1,201
AMHOT1A3_single_03606,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03607,hypothetical protein,2,0,2.01,0.01,1,201
AMHOT1A3_single_03631,ATP-dependent RNA helicase,1,0,1.01,0.01,1,101
AMHOT1A3_single_03632,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03677,hydrolase,1,8,1.01,8.01,1,0.126092385
AMHOT1A3_single_03678,two component transcriptional regulator,1,0,1.01,0.01,1,101
AMHOT1A3_single_03679,integral membrane sensor signal transduction histidine kinase,1,1,1.01,1.01,1,1
AMHOT1A3_single_03680,Aspartate kinase,1,1,1.01,1.01,1,1
AMHOT1A3_single_03681,TonB-dependent receptor,1,3,1.01,3.01,1,0.335548173
AMHOT1A3_single_03682,RND family efflux transporter MFP subunit,1,0,1.01,0.01,1,101
AMHOT1A3_single_03683,acrB/AcrD/AcrF family protein,1,6,1.01,6.01,1,0.168053245
AMHOT1A3_single_03702,transporter,1,3,1.01,3.01,1,0.335548173
AMHOT1A3_single_03703,TonB-dependent receptor,1,0,1.01,0.01,1,101
AMHOT1A3_single_03705,"glucan endo-1,3-beta-D-glucosidase",1,0,1.01,0.01,1,101
AMHOT1A3_single_03711,glucose/galactose transporter family protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03717,cyd operon protein YbgTEB3,1,1,1.01,1.01,1,1
AMHOT1A3_single_03718,cytochrome D ubiquinol oxidase subunit II,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03719,"cytochrome d ubiquinol oxidase, subunit I",1,0,1.01,0.01,1,101
AMHOT1A3_single_03720,cytochrome c family protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03737,mfs transporter,1,0,1.01,0.01,1,101
AMHOT1A3_single_03744,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03756,TonB-dependent receptor protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03760,cation efflux protein,1,2,1.01,2.01,1,0.502487562
AMHOT1A3_single_03761,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03762,RND efflux system protein,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03763,RND efflux system protein MFP subunit,1,0,1.01,0.01,1,101
AMHOT1A3_single_03764,cation transporter,1,0,1.01,0.01,1,101
AMHOT1A3_single_03771,mercuric transporter MerT,1,1,1.01,1.01,1,1
AMHOT1A3_single_03772,mercuric transport periplasmic protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03773,mercury transport protein MerC,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03780,long-chain fatty acid transport protein,1,3,1.01,3.01,1,0.335548173
AMHOT1A3_single_03785,flavin dependent oxidoreductase,1,0,1.01,0.01,1,101
AMHOT1A3_single_03787,DeoR family transcriptional regulator,1,0,1.01,0.01,1,101
AMHOT1A3_single_03791,transmembrane protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03797,NAD(P) transhydrogenase subunit beta,1,7,1.01,7.01,1,0.144079886
AMHOT1A3_single_03800,TonB-dependent receptor,1,0,1.01,0.01,1,101
AMHOT1A3_single_03801,tryptophan halogenase,1,0,1.01,0.01,1,101
AMHOT1A3_single_03804,ApbE family lipoprotein,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03805,EF hand domain-containing protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03806,Nickel uptake substrate-specific transmembrane region,1,1,1.01,1.01,1,1
AMHOT1A3_single_03807,TonB-dependent receptor,1,0,1.01,0.01,1,101
AMHOT1A3_single_03809,TonB-dependent receptor,1,0,1.01,0.01,1,101
AMHOT1A3_single_03814,Inner membrane protein YgjV,1,0,1.01,0.01,1,101
AMHOT1A3_single_03815,protoheme IX farnesyltransferase,1,3,1.01,3.01,1,0.335548173
AMHOT1A3_single_03817,cytochrome o ubiquinol oxidase subunit III,1,2,1.01,2.01,1,0.502487562
AMHOT1A3_single_03818,cytochrome-c oxidase,1,0,1.01,0.01,1,101
AMHOT1A3_single_03819,ubiquinol oxidase subunit II,1,5,1.01,5.01,1,0.201596806
AMHOT1A3_single_03821,IclR family transcriptional regulator,1,0,1.01,0.01,1,101
AMHOT1A3_single_03822,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03823,TonB dependent receptor,1,0,1.01,0.01,1,101
AMHOT1A3_single_03824,pectin methylesterase pme8A,1,0,1.01,0.01,1,101
AMHOT1A3_single_03826,integrase family protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03828,RNA-directed DNA polymerase,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03830,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03832,HNH endonuclease,1,3,1.01,3.01,1,0.335548173
AMHOT1A3_single_03860,potassium channel protein,1,4,1.01,4.01,1,0.251870324
AMHOT1A3_single_03864,osmolarity sensor protein,1,2,1.01,2.01,1,0.502487562
AMHOT1A3_single_03865,osmolarity sensor protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03880,general secretion pathway protein M,1,0,1.01,0.01,1,101
AMHOT1A3_single_03893,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03899,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03910,ComF protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03916,Na(+) driven multidrug efflux pump,1,0,1.01,0.01,1,101
AMHOT1A3_single_03936,Mg chelatase subunit ChlI,1,0,1.01,0.01,1,101
AMHOT1A3_single_03937,DNA-binding transcriptional regulator IlvY,1,6,1.01,6.01,1,0.168053245
AMHOT1A3_single_03938,ketol-acid reductoisomerase,1,1,1.01,1.01,1,1
AMHOT1A3_single_03939,bicyclomycin resistance protein,1,1,1.01,1.01,1,1
AMHOT1A3_single_03942,Translocation and assembly module TamB,1,0,1.01,0.01,1,101
AMHOT1A3_single_03946,membrane protein,1,7,1.01,7.01,1,0.144079886
AMHOT1A3_single_03952,hypothetical protein,1,0,1.01,0.01,1,101
AMHOT1A3_single_03978,DTW domain containing protein,0,3,0.01,3.01,1,0.003322259
AMHOT1A3_single_03996,hypothetical protein,0,10,0.01,10.01,1,0.000999001
AMHOT1A3_single_03997,hypothetical protein,0,2,0.01,2.01,1,0.004975124
AMHOT1A3_single_04046,diguanylate cyclase,0,1,0.01,1.01,1,0.00990099
AMHOT1A3_single_04061,hypothetical protein,0,3,0.01,3.01,1,0.003322259
AMHOT1A3_single_04066,hypothetical protein,0,5,0.01,5.01,1,0.001996008
AMHOT1A3_single_04068,hypothetical protein,0,5,0.01,5.01,1,0.001996008
AMHOT1A3_single_04077,PepSY-associated TM helix domain-containing protein,0,2,0.01,2.01,1,0.004975124
AMHOT1A3_single_04102,hydrogenase expression/formation protein HypA,0,3,0.01,3.01,1,0.003322259
AMHOT1A3_single_04141,IstB ATP binding domain-containing protein,0,1,0.01,1.01,1,0.00990099
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
