Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 ,Expression med 4,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3
AMHOT1A3_single_01969,succinyl-CoA synthetase subunit alpha,780,977,780.01,977.01,0.44277482,0.798364397
AMHOT1A3_single_00591,"3',5'-cyclic-nucleotide phosphodiesterase",779,843,779.01,843.01,0.608930566,0.924081565
AMHOT1A3_single_00600,Putative peptidoglycan binding domain protein,778,1020,778.01,1020.01,0.415960402,0.762747424
AMHOT1A3_single_00838,histidine ammonia-lyase,775,545,775.01,545.01,0.738360288,1.422010605
AMHOT1A3_single_00700,diadenosine tetraphosphatase,742,536,742.01,536.01,0.619854767,1.384321188
AMHOT1A3_single_00710,hypothetical protein,739,698,739.01,698.01,0.590987757,1.058738413
AMHOT1A3_single_00234,agglutinin biogenesis protein MshP,721,548,721.01,548.01,0.613905943,1.31568767
AMHOT1A3_single_01697,succinylarginine dihydrolase,717,976,717.01,976.01,0.38667383,0.734633866
AMHOT1A3_single_00147,chromosome replication initiation inhibitor protein,710,273,710.01,273.01,1,2.600673968
AMHOT1A3_single_00019,glycyl-tRNA ligase subunit alpha,701,707,701.01,707.01,0.532340564,0.991513557
AMHOT1A3_single_01468,peptidyl-tRNA hydrolase,692,589,692.01,589.01,0.576739365,1.174869697
AMHOT1A3_single_00104,thiamine biosynthesis protein ThiH,689,610,689.01,610.01,0.553417895,1.129506074
AMHOT1A3_single_01795,ABC transporter substrate-binding protein,682,1622,682.01,1622.01,0.927561321,0.42047213
AMHOT1A3_single_00149,exporter protein (SMR family),667,500,667.01,500.01,0.6160058,1.33399332
AMHOT1A3_single_01859,leucyl/phenylalanyl-tRNA--protein transferase,657,443,657.01,443.01,0.928958262,1.483059073
AMHOT1A3_single_01485,hypothetical protein,653,451,653.01,451.01,0.688941107,1.447883639
AMHOT1A3_single_00365,AraC family transcriptional regulator,652,353,652.01,353.01,0.70109986,1.847001501
AMHOT1A3_single_00277,hypothetical protein,619,284,619.01,284.01,0.40122072,2.179535932
AMHOT1A3_single_03106,yecA family protein,616,536,616.01,536.01,0.571882946,1.149250947
AMHOT1A3_single_02748,hypothetical protein,614,527,614.01,527.01,0.574720177,1.165082257
AMHOT1A3_single_01931,succinylglutamate desuccinylase/aspartoacylase,611,288,611.01,288.01,0.429608005,2.121488837
AMHOT1A3_single_01450,hypothetical protein,609,251,609.01,251.01,0.919230451,2.426237998
AMHOT1A3_single_00132,hypothetical protein,608,518,608.01,518.01,0.588091075,1.17374182
AMHOT1A3_single_01321,metal dependent hydrolase,588,808,588.01,808.01,0.426335305,0.727726142
AMHOT1A3_single_00732,amino acid ABC transporter/signal transduction system substrate-binding protein,587,424,587.01,424.01,0.584842096,1.384424896
AMHOT1A3_single_01626,xanthan biosynthesis pyruvyl transferase GumL,563,612,563.01,612.01,0.477476092,0.919935949
AMHOT1A3_single_04055,"transposase, IS911",555,481,555.01,481.01,0.566136539,1.153842955
AMHOT1A3_single_03222,secreted serine protease,549,322,549.01,322.01,1,1.704947051
AMHOT1A3_single_01757,pterin-4-alpha-carbinolamine dehydratase protein,547,755,547.01,755.01,0.328421855,0.72450696
AMHOT1A3_single_02551,imidazole glycerol-phosphate dehydratase/histidinol phosphatase,535,787,535.01,787.01,0.288015062,0.679800765
AMHOT1A3_single_03302,LysR family transcriptional regulator,520,249,520.01,249.01,0.568982275,2.088309706
AMHOT1A3_single_00976,phosphatidate cytidylyltransferase,514,259,514.01,259.01,0.553181,1.984517972
AMHOT1A3_single_04053,integrase,505,200,505.01,200.01,0.338489341,2.524923754
AMHOT1A3_single_00075,flagellar basal body-associated protein FliL-like protein,505,368,505.01,368.01,0.927522617,1.372272493
AMHOT1A3_single_02000,hypothetical protein,503,387,503.01,387.01,0.613313614,1.299733857
AMHOT1A3_single_03831,resolvase domain-containing protein,498,475,498.01,475.01,0.527899292,1.048420033
AMHOT1A3_single_02900,glutamine--fructose-6-phosphate transaminase (isomerizing),498,343,498.01,343.01,0.665938759,1.451881869
AMHOT1A3_single_01421,molecular chaperone DnaJ,498,234,498.01,234.01,0.96406316,2.128156916
AMHOT1A3_single_03427,hypothetical protein,497,566,497.01,566.01,0.428305142,0.878094027
AMHOT1A3_single_00296,chemoreceptor glutamine deamidase CheD,495,599,495.01,599.01,0.420483126,0.826380194
AMHOT1A3_single_01539,response regulator receiver protein,493,271,493.01,271.01,1,1.819157965
