pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio,resolved_locus_tag,resolution_method
PMED4_06331,glgB,"1,4-alpha-glucan branching enzyme (NCBI)",3.0,11.4,8.4,2.14,0.3,7.1,PMM0584,tier1:pmed4_id
PMED4_06391,proA,Gamma-glutamyl phosphate reductase (NCBI),4.0,3.2,23.0,0.58,0.74,0.8,PMM0590,tier1:pmed4_id
PMED4_06471,trpS,Tryptophanyl-tRNA synthetase (NCBI),0.5,14.3,13.9,1.46,0.24,6.1,PMM0598,tier1:pmed4_id
PMED4_06671,sds,polyprenyl synthetase; solanesyl diphosphate synthase,6.1,15.7,9.6,0.98,0.28,3.5,PMM0618,tier1:pmed4_id
PMED4_06681,acs,acetyl-coenzyme A synthetase (NCBI),15.0,18.7,3.7,0.82,0.22,3.7,PMM0619,tier1:pmed4_id
PMED4_06911,,conserved hypothetical protein (NCBI),2.7,22.4,19.8,0.66,0.3,2.2,PMM0641,tier1:pmed4_id
PMED4_07151,,Conserved hypothetical protein (Katherine Huang),7.4,9.7,2.3,1.48,0.5,3.0,PMM1859,tier1:pmed4_id
PMED4_07171,nrdJ,ribonucleotide reductase (Class II) (NCBI),15.7,20.0,4.4,4.18,3.08,1.4,PMM0661,tier1:pmed4_id
PMED4_07381,aroB,3-dehydroquinate synthase (NCBI),19.9,19.4,23.5,0.54,0.22,2.5,PMM0682,tier1:pmed4_id
PMED4_07841,,"ABC transporter, substrate binding protein, phosphate",23.2,12.8,13.6,0.7,0.08,8.8,PMM0710,tier1:pmed4_id
PMED4_07981,,hypothetical (NCBI),3.4,21.2,17.7,1.24,0.22,5.6,PMM0722,tier1:pmed4_id
PMED4_08091,,possible Major surface glycoprotein (NCBI),7.9,7.6,23.8,2.42,0.14,17.3,PMM0732,tier1:pmed4_id
PMED4_08181,,possible Alpha-2-macroglobulin family N-termin (NCBI),13.3,6.0,16.2,0.82,0.12,6.8,PMM0736,tier1:pmed4_id
PMED4_08261,,conserved hypothetical protein (NCBI),2.0,13.5,11.4,1.16,0.18,6.4,PMM0741,tier1:pmed4_id
PMED4_08271,,Clp protease subunit (NCBI),17.0,17.3,0.4,0.82,0.2,4.1,PMM0742,tier1:pmed4_id
PMED4_08281,,FtsH ATP-dependent protease homolog (NCBI),4.6,9.7,5.2,1.66,0.22,7.5,PMM0743,tier1:pmed4_id
PMED4_08381,rpsB,30S ribosomal protein S2 (NCBI),3.8,8.0,4.2,1.78,0.12,14.8,PMM0753,tier1:pmed4_id
PMED4_08431,sir,Ferredoxin-sulfite reductase (NCBI),16.7,19.7,3.0,1.3,0.32,4.1,PMM0758,tier1:pmed4_id
PMED4_08451,chlP,Aromatic-ring hydroxylase (flavoprotein monooxygenase),14.0,3.0,12.3,1.12,0.54,2.1,PMM0760,tier1:pmed4_id
PMED4_08471,typA,tyrosine binding protein (NCBI),3.0,4.8,2.2,0.84,0.08,10.5,PMM0762,tier1:pmed4_id
PMED4_08511,rpe,Ribulose-phosphate 3-epimerase (NCBI),3.1,4.2,1.2,2.44,0.32,7.6,PMM0766,tier1:pmed4_id
PMED4_08521,glpX,"Fructose-1,6-bisphosphatase/sedoheptulose-1, 7-bis",4.4,12.3,7.9,2.1,0.1,21.0,PMM0767,tier1:pmed4_id
