gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2785712560	86	4	83	2.9e-39	119.5	TIGR02181	Glutaredoxin, GrxC family
2785712567	315	49	285	7.0e-82	260.2	TIGR00163	phosphatidylserine decarboxylase precursor
2785712568	347	74	333	7.7e-91	290	TIGR00157	ribosome small subunit-dependent GTPase A
2785712576	462	53	397	4.7e-124	400	TIGR04416	group II intron reverse transcriptase/maturase
2785712580	572	4	568	0.0e+00	858.6	TIGR00118	acetolactate synthase, large subunit, biosynthetic type
2785712581	165	1	160	2.0e-62	195.9	TIGR00119	acetolactate synthase, small subunit
2785712583	79	3	49	8.5e-24	69.2	TIGR01411	twin arginine-targeting protein translocase, TatA/E family
2785712584	99	2	81	3.3e-30	90.7	TIGR01410	twin arginine-targeting protein translocase TatB
2785712585	251	7	224	7.4e-77	244.1	TIGR00945	Twin arginine targeting (Tat) protein translocase TatC
2785712587	258	4	257	1.1e-63	201	TIGR00010	hydrolase, TatD family
2785712588	632	459	627	4.5e-53	165.5	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712590	503	15	309	2.0e-89	285.8	TIGR03706	exopolyphosphatase
2785712592	108	8	108	1.2e-42	130.5	TIGR01068	thioredoxin
2785712593	421	1	418	0.0e+00	722.2	TIGR00767	transcription termination factor Rho
2785712594	432	37	417	9.7e-112	359.6	TIGR01891	amidohydrolase
2785712596	424	24	398	0.0e+00	457.3	TIGR00773	Na+/H+ antiporter NhaA
2785712597	164	4	161	1.1e-65	206	TIGR01162	phosphoribosylaminoimidazole carboxylase, PurE protein
2785712598	378	2	353	7.3e-109	350.3	TIGR01161	phosphoribosylaminoimidazole carboxylase, PurK protein
2785712605	289	15	117	3.0e-35	106.7	TIGR01068	thioredoxin
2785712609	432	6	431	0.0e+00	640.6	TIGR00184	adenylosuccinate synthase
2785712613	572	45	562	0.0e+00	534.7	TIGR00066	gamma-glutamyltranspeptidase
2785712618	337	44	334	2.1e-125	403.6	TIGR00274	N-acetylmuramic acid 6-phosphate etherase
2785712619	358	3	356	6.5e-106	340.3	TIGR00492	alanine racemase
2785712630	109	2	109	1.4e-40	124.1	TIGR00686	alkylphosphonate utilization operon protein PhnA
2785712637	242	35	192	5.5e-63	199.1	TIGR04416	group II intron reverse transcriptase/maturase
2785712643	87	8	87	6.7e-37	111.9	TIGR02116	toxin-antitoxin system, toxin component, Txe/YoeB family
2785712644	84	3	56	1.3e-09	23.5	TIGR01552	prevent-host-death family protein
2785712645	87	3	84	9.9e-12	31.5	TIGR02385	addiction module toxin, RelE/StbE family
2785712652	449	35	382	1.9e-124	401.3	TIGR04416	group II intron reverse transcriptase/maturase
2785712679	317	1	315	0.0e+00	464.7	TIGR02249	integron integrase
2785712680	387	3	387	0.0e+00	692	TIGR02445	fatty oxidation complex, beta subunit FadA
2785712680	387	6	385	0.0e+00	449.1	TIGR01930	acetyl-CoA acetyltransferases
2785712681	716	1	715	0.0e+00	1141.6	TIGR02437	fatty oxidation complex, alpha subunit FadB
2785712686	103	2	102	2.4e-48	149	TIGR00061	ribosomal protein L21
2785712687	85	1	83	9.9e-46	140	TIGR00062	ribosomal protein L27
2785712688	388	157	330	2.8e-14	40.3	TIGR00231	small GTP-binding protein domain
2785712688	388	3	333	0.0e+00	485.4	TIGR02729	Obg family GTPase CgtA
2785712690	165	1	145	3.5e-57	178.8	TIGR02753	superoxide dismutase, Ni
2785712694	330	42	326	0.0e+00	461	TIGR02394	RNA polymerase sigma factor RpoS
2785712694	330	87	315	1.2e-40	125.9	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2785712697	211	1	211	2.5e-79	252.1	TIGR00080	protein-L-isoaspartate(D-aspartate) O-methyltransferase
2785712698	361	4	265	5.4e-63	199.7	TIGR00094	tRNA pseudouridine synthase, TruD family
2785712699	157	2	156	9.6e-73	229.5	TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
2785712700	253	7	225	9.5e-76	240.1	TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
2785712702	571	10	525	1.5e-106	343	TIGR03545	TIGR03545 family protein
2785712704	1265	518	1008	0.0e+00	654.4	TIGR01238	delta-1-pyrroline-5-carboxylate dehydrogenase (PutA C-terminal domain)
2785712705	484	11	481	1.9e-73	233.7	TIGR01845	efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
2785712706	492	111	425	1.1e-34	105.8	TIGR01730	RND family efflux transporter, MFP subunit
2785712710	200	33	199	4.0e-52	162.8	TIGR04211	SH3 domain protein
2785712713	225	7	223	1.0e-90	288.7	TIGR02248	DNA mismatch repair endonuclease MutH
2785712715	772	187	756	0.0e+00	443.1	TIGR01417	phosphoenolpyruvate-protein phosphotransferase
2785712717	270	1	269	6.7e-86	274.1	TIGR00544	prolipoprotein diacylglyceryl transferase
2785712718	277	2	87	6.1e-45	139.6	TIGR03284	thymidylate synthase
2785712720	329	158	324	1.2e-59	186.9	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712725	238	3	231	5.0e-58	182.7	TIGR00005	pseudouridine synthase, RluA family
2785712731	457	31	451	0.0e+00	467.8	TIGR02745	cytochrome c oxidase accessory protein FixG
2785712734	460	218	454	1.6e-99	319.5	TIGR01469	uroporphyrin-III C-methyltransferase
2785712734	460	4	208	1.2e-67	214.6	TIGR01470	siroheme synthase, N-terminal domain
2785712736	924	11	903	0.0e+00	506	TIGR02917	putative PEP-CTERM system TPR-repeat lipoprotein
2785712739	457	19	450	2.3e-115	371.8	TIGR01844	type I secretion outer membrane protein, TolC family
2785712740	208	11	196	9.1e-63	197.3	TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family
2785712744	631	2	627	0.0e+00	1078.6	TIGR01055	DNA topoisomerase IV, B subunit, proteobacterial
2785712754	233	66	203	4.0e-16	46.7	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2785712758	341	16	335	0.0e+00	485.4	TIGR03821	EF-P beta-lysylation protein EpmB
2785712758	341	2	328	3.4e-114	368.2	TIGR00238	KamA family protein
2785712759	189	4	187	2.3e-82	261.2	TIGR00038	translation elongation factor P
2785712760	322	13	317	6.5e-127	409.1	TIGR00462	EF-P lysine aminoacylase GenX
2785712774	849	10	800	0.0e+00	1097.1	TIGR02374	nitrite reductase [NAD(P)H], large subunit
2785712775	123	16	123	1.8e-34	104.2	TIGR02378	nitrite reductase [NAD(P)H], small subunit
2785712777	327	73	311	3.0e-83	265.2	TIGR01469	uroporphyrin-III C-methyltransferase
2785712780	532	358	530	5.8e-49	152.1	TIGR00254	diguanylate cyclase (GGDEF) domain
2785712781	438	17	144	9.9e-14	37.7	TIGR00229	PAS domain S-box
2785712785	300	25	254	2.2e-109	350.5	TIGR01184	nitrate transport ATP-binding subunits C and D
2785712789	640	1	640	3.3e-93	299.2	TIGR01779	TonB-dependent vitamin B12 receptor
2785712791	476	42	476	0.0e+00	547.1	TIGR02745	cytochrome c oxidase accessory protein FixG
2785712801	349	42	347	3.3e-82	262	TIGR01730	RND family efflux transporter, MFP subunit
2785712802	1035	3	1026	0.0e+00	801.1	TIGR00915	The (Largely Gram-negative Bacterial) Hydrophobe/Amphiphile Efflux-1 (HAE1) Family
2785712806	610	371	598	9.9e-41	126.2	TIGR02937	RNA polymerase sigma factor, sigma-70 family
2785712806	610	372	609	3.1e-124	400.2	TIGR02393	RNA polymerase sigma factor RpoD, C-terminal domain
2785712807	592	4	422	0.0e+00	492.8	TIGR01391	DNA primase, catalytic core
2785712809	71	2	59	2.9e-28	83.8	TIGR00030	ribosomal protein S21
2785712810	341	3	318	0.0e+00	453.2	TIGR03723	tRNA threonylcarbamoyl adenosine modification protein TsaD
2785712810	341	4	310	9.6e-130	419.2	TIGR00329	metallohydrolase, glycoprotease/Kae1 family
2785712812	200	1	195	1.0e-66	210.5	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase
2785712813	117	1	117	7.1e-31	94.1	TIGR00526	FolB domain
2785712813	117	2	114	2.3e-29	89.4	TIGR00525	dihydroneopterin aldolase
2785712814	164	6	131	1.9e-27	82.1	TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2785712815	266	6	257	5.4e-78	248.2	TIGR00753	undecaprenyl-diphosphatase UppP
2785712819	396	2	390	3.0e-93	298.8	TIGR00843	benzoate transporter
2785712823	229	1	226	9.0e-115	367.7	TIGR02154	phosphate regulon transcriptional regulatory protein PhoB
2785712824	433	93	424	0.0e+00	453.9	TIGR02966	phosphate regulon sensor kinase PhoR
2785712825	343	13	329	7.5e-68	214.8	TIGR02136	phosphate binding protein
2785712828	882	38	882	7.0e-59	185.8	TIGR01782	TonB-dependent receptor
2785712833	202	123	201	3.8e-19	55.1	TIGR01352	TonB family C-terminal domain
2785712836	959	6	125	2.2e-13	36.6	TIGR00229	PAS domain S-box
2785712840	936	3	915	4.9e-117	377.7	TIGR00117	aconitate hydratase 2
2785712846	870	1	854	0.0e+00	1502	TIGR00117	aconitate hydratase 2
2785712848	449	3	449	5.9e-130	421.2	TIGR00657	aspartate kinase
2785712848	449	3	449	1.5e-125	406.3	TIGR00656	aspartate kinase, monofunctional class
2785712851	275	4	275	2.9e-92	295	TIGR00668	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
2785712853	275	8	266	4.8e-93	297.1	TIGR00755	ribosomal RNA small subunit methyltransferase A
2785712854	328	6	324	3.1e-129	416.9	TIGR00557	4-hydroxythreonine-4-phosphate dehydrogenase
2785712858	308	20	308	3.1e-119	384.6	TIGR02225	tyrosine recombinase XerD
2785712858	308	20	308	5.4e-101	324.8	TIGR02224	tyrosine recombinase XerC
2785712860	573	19	570	0.0e+00	514	TIGR00644	single-stranded-DNA-specific exonuclease RecJ
2785712862	237	6	152	3.1e-32	97.9	TIGR00613	DNA repair protein RecO
2785712863	245	5	240	8.9e-101	322.4	TIGR00559	pyridoxine 5'-phosphate synthase
2785712864	126	2	126	5.4e-41	126.9	TIGR00516	holo-[acyl-carrier-protein] synthase
2785712864	126	2	126	8.1e-32	97.1	TIGR00556	phosphopantetheine--protein transferase domain
2785712865	486	63	476	2.5e-96	309	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
2785712866	727	47	724	0.0e+00	610.5	TIGR00691	(p)ppGpp synthetase, RelA/SpoT family
2785712867	315	18	307	1.7e-93	298.8	TIGR00444	MazG family protein
2785712868	388	8	386	3.3e-108	348.1	TIGR00533	3-hydroxy-3-methylglutaryl Coenzyme A reductase, hydroxymethylglutaryl-CoA reductase (NADP)
2785712884	142	2	142	2.2e-70	221.1	TIGR01066	ribosomal protein L13, bacterial type
2785712886	210	21	204	5.0e-75	237.4	TIGR01416	ubiquinol-cytochrome c reductase, iron-sulfur subunit
2785712894	452	9	452	7.9e-96	307.4	TIGR00400	Mg2+ transporter (mgtE)
2785712895	90	2	83	8.9e-31	92	TIGR01003	Phosphotransferase System HPr (HPr) Family
