gene_oid	gene_length	feature_type	start_coord	end_coord
2785715932	201	cleavage	21	22
2785715939	465	cleavage	22	23
2785715940	800	cleavage	26	27
2785715944	265	cleavage	24	25
2785715946	148	cleavage	21	22
2785715947	193	cleavage	30	31
2785715950	296	cleavage	40	41
2785715955	173	cleavage	20	21
2785715958	458	cleavage	20	21
2785715959	339	cleavage	39	40
2785715960	347	cleavage	21	22
2785715969	188	cleavage	19	20
2785715971	689	cleavage	23	24
2785715973	336	cleavage	18	19
2785715975	452	cleavage	25	26
2785715979	340	cleavage	24	25
2785715989	382	cleavage	30	31
2785715995	968	cleavage	26	27
2785716000	299	cleavage	21	22
2785716001	264	cleavage	23	24
2785716002	775	cleavage	22	23
2785716004	1054	cleavage	38	39
2785716007	248	cleavage	32	33
2785716017	440	cleavage	23	24
2785716018	977	cleavage	26	27
2785716020	607	cleavage	23	24
2785716032	269	cleavage	17	18
2785716036	314	cleavage	21	22
2785716043	539	cleavage	21	22
2785716044	253	cleavage	19	20
2785716049	271	cleavage	22	23
2785716051	250	cleavage	26	27
2785716052	253	cleavage	26	27
2785716059	807	cleavage	24	25
2785716064	683	cleavage	28	29
2785716082	194	cleavage	24	25
2785716085	183	cleavage	22	23
2785716095	261	cleavage	18	19
2785716102	1012	cleavage	29	30
2785716107	644	cleavage	22	23
2785716108	234	cleavage	21	22
2785716109	1055	cleavage	23	24
2785716118	826	cleavage	20	21
2785716121	518	cleavage	23	24
2785716127	885	cleavage	31	32
2785716144	387	cleavage	26	27
2785716146	1186	cleavage	21	22
2785716156	663	cleavage	26	27
2785716157	612	cleavage	48	49
2785716166	820	cleavage	25	26
2785716167	194	cleavage	43	44
2785716175	430	cleavage	23	24
2785716192	155	cleavage	19	20
2785716193	213	cleavage	20	21
2785716227	226	cleavage	19	20
2785716232	302	cleavage	24	25
2785716241	169	cleavage	26	27
2785716242	454	cleavage	24	25
2785716246	130	cleavage	18	19
2785716248	159	cleavage	22	23
2785716249	160	cleavage	21	22
2785716255	71	cleavage	20	21
2785716257	143	cleavage	23	24
2785716259	281	cleavage	31	32
2785716260	644	cleavage	31	32
2785716266	332	cleavage	39	40
2785716280	150	cleavage	22	23
2785716287	163	cleavage	22	23
2785716288	117	cleavage	21	22
2785716290	156	cleavage	22	23
2785716291	156	cleavage	19	20
2785716293	136	cleavage	23	24
2785716299	136	cleavage	22	23
2785716316	206	cleavage	24	25
2785716400	302	cleavage	24	25
2785716412	91	cleavage	19	20
2785716421	311	cleavage	33	34
2785716422	444	cleavage	36	37
2785716423	131	cleavage	37	38
2785716432	604	cleavage	33	34
