refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS08470,0.98239838,2.56059187955534e-07,1.10262266,3.45853398159215e-19
TX50_RS08475,0.12386404,0.76423867,-0.3804128,0.1025668
TX50_RS08480,0.53818101,0.01544521,0.40261569,0.05370563
TX50_RS08485,0.07283663,0.85488908,-0.1509963,0.62757622
TX50_RS08495,1.78514467,6.80685961647834e-16,2.41170445,1.4158784540125e-40
TX50_RS08500,0.83139454,5.65004612019938e-06,1.03368707,2.44989139679354e-14
TX50_RS08505,1.43471742,8.86890989856585e-14,1.67766262,2.32575715763271e-25
TX50_RS08510,0.15468635,0.50783594,0.35244351,0.00668184
TX50_RS08515,-0.226924,0.50691613,-0.4524358,0.13808237
TX50_RS08520,-0.788456,0.0138458,-0.8382225,0.00251384
TX50_RS08525,-0.5000882,0.24903482,-1.322949,0.00610252
TX50_RS08530,0.09820605,0.71396575,-0.2624963,0.18139588
TX50_RS08535,0.60973805,0.085011,0.80022472,0.00182698
TX50_RS08540,-0.6787842,0.00726753,-0.8949391,1.66791795886823e-09
TX50_RS08545,-0.8103407,6.87907542957833e-05,-0.6420815,0.00014589
TX50_RS08550,-0.3701721,0.21577744,-0.6352571,0.00230218
TX50_RS08555,-1.3712932,3.95431029925539e-17,-1.4491878,8.73648302812343e-29
TX50_RS08560,0.88968709,0.00036473,0.61400651,1.03690050939245e-06
TX50_RS08565,-1.6758438,6.71730468666592e-05,-1.5329179,9.45789433812697e-18
TX50_RS08570,0.16923452,0.56122815,0.86628561,2.0763246287965e-14
TX50_RS08575,0.47221476,0.16771543,-0.0516211,0.90622021
TX50_RS08580,-0.1878804,0.56131658,0.42950279,0.04064372
TX50_RS08585,1.82218038,9.1716341182419e-10,1.95623064,9.22484713054885e-17
TX50_RS08590,0.14567231,0.61899281,0.39398341,0.06259515
TX50_RS08595,-1.0630462,6.72130100680583e-11,-1.2663836,8.67921775500619e-23
TX50_RS08600,0.72485135,0.00472953,0.85362541,5.82866660268703e-07
TX50_RS08605,1.51881473,6.31988747300341e-08,1.26600561,3.65092931675619e-22
TX50_RS08610,0.41439657,0.12184546,0.02965165,0.84216872
TX50_RS08615,-0.25215,0.3082523,-0.652683,3.34812489126564e-07
TX50_RS08620,-0.4175502,0.16071661,-0.3769932,0.00512587
TX50_RS08625,0.62308145,0.42004748,-0.6453627,0.3865201
TX50_RS08630,0.6896387,0.00012553,0.75245104,4.71729991941884e-07
TX50_RS08635,0.29616547,0.22892821,0.48668249,0.01169756
TX50_RS08640,-0.0979093,0.77871409,-0.08935,0.66972128
TX50_RS08645,-0.6212485,0.03121485,-0.5501387,0.01481455
TX50_RS08650,0.62095208,0.00030454,0.79506051,6.56823676051085e-15
TX50_RS08655,-0.5870268,0.00062877,-0.7144039,3.30554886080112e-09
TX50_RS08660,-0.0200098,0.9109499,-0.0790629,0.5052787
TX50_RS08665,-0.431264,0.20013824,-0.9454026,0.00250932
TX50_RS08670,-0.4433588,0.27292461,-0.1552735,0.62141319
TX50_RS08675,0.1026624,0.7803391,0.40532108,0.00371456
TX50_RS08680,-1.2107633,0.00291766,-1.1274833,1.02678866095515e-05
TX50_RS08685,-2.0435052,1.14695869135751e-15,-2.3103933,1.31226116139351e-23
TX50_RS08690,-0.7557183,3.45645406061276e-05,-0.534565,0.00047654
TX50_RS08695,1.05953612,5.65753195673687e-05,1.20060125,1.57503975649991e-09
TX50_RS08700,0.11198452,0.66584967,0.07065858,0.7250193
TX50_RS08705,-1.6283317,5.5967993491803e-18,-1.2831991,4.52516482738534e-09
TX50_RS08710,0.04235414,0.81757188,0.42754082,0.01640377
TX50_RS08715,1.21088938,2.48087517645399e-15,1.34594149,8.41218233468653e-29
TX50_RS08720,0.59420198,0.34645912,-0.2182387,0.73116914
TX50_RS08725,-0.1649342,0.82600468,-0.2004644,0.7985999
TX50_RS08730,0.15215967,0.52532109,-0.0770884,0.69606216
TX50_RS08735,-0.0350071,0.86676313,-0.1491315,0.28923759
TX50_RS08740,-0.1316168,0.58405615,-0.118307,0.53761054
TX50_RS08745,0.01822457,0.92797024,-0.0596761,0.65805875
TX50_RS08750,-0.0996108,0.61002971,-0.12049,0.42492545
TX50_RS08755,-0.6477021,0.00098164,-0.8643804,3.06758501084046e-10
TX50_RS08760,0.77629867,9.44100737143957e-08,0.58820838,3.96195901156214e-07
TX50_RS08765,-0.9852039,0.00022612,-0.9955593,4.78246621395833e-06
TX50_RS08770,-0.4637037,0.27077752,-0.3232784,0.3577925
TX50_RS08775,1.99364681,2.14735467592397e-37,2.24583877,3.72151822207344e-85
TX50_RS08780,-0.2206105,0.54055566,-0.9170277,3.66019813133609e-05
TX50_RS08785,0.96807421,1.09775718817313e-08,1.13321174,1.25064936159146e-14
TX50_RS08790,1.54838768,5.19655865960914e-07,1.5946628,4.87833434155994e-22
TX50_RS08795,-0.0881156,0.67137503,0.13171267,0.4625068
TX50_RS08800,-0.2628815,0.43590616,-0.5159055,0.04673037
TX50_RS08805,-0.2934346,0.25107297,0.17988811,0.46324629
TX50_RS08810,-0.1203482,0.66916974,-0.0038279,0.98311184
TX50_RS08815,-0.2203685,0.20013824,-0.5444954,2.76175207848412e-06
TX50_RS08820,0.56209372,0.00410095,0.37264602,0.0134988
TX50_RS08825,-1.2891481,5.0969004557965e-07,-1.1968468,3.72055387182756e-12
TX50_RS08830,-0.5934427,0.0006195,-0.4300759,0.00014946
TX50_RS08835,0.38796492,0.04772695,0.5681567,9.11994645104056e-07
TX50_RS08840,-0.7676507,0.00125813,-1.0890491,1.36377631728509e-05
TX50_RS08845,-0.0700743,0.76456709,-0.5449999,0.00023938
TX50_RS08850,-0.8879773,6.067505223981e-07,-0.9145044,9.28498176511174e-11
TX50_RS08855,0.65046029,0.06225297,1.00627775,6.64213246063451e-16
TX50_RS08860,-0.149495,0.58204605,-0.0775916,0.65439699
TX50_RS08865,-0.1791483,0.54331829,-0.6661018,3.66180775240309e-05
TX50_RS08870,-0.5333143,0.02193405,-0.6565764,0.00694677
TX50_RS08875,0.62450832,0.02539599,0.08836215,0.54378807
TX50_RS08880,-0.0131987,0.9585218,-0.5509725,4.02586978042833e-06
TX50_RS08885,-1.3158716,1.41805936934123e-12,-1.91461,3.25952632640034e-33
TX50_RS08890,-1.7552222,3.17281770557457e-13,-1.9264099,2.49470954705689e-22
TX50_RS08895,0.4277774,0.05410966,0.03667492,0.83204798
TX50_RS08900,0.05294613,0.79712489,-0.1198567,0.39644192
TX50_RS08905,0.88857315,2.25049477529679e-06,1.64200105,3.18820714656775e-17
TX50_RS08910,-1.2088923,0.00173783,-0.5858325,8.18823198430195e-07
TX50_RS08915,-1.4054816,2.61970921615572e-06,-0.8427097,0.00060893
TX50_RS08920,-1.4956621,3.05564717389674e-17,-0.180402,0.3238156
TX50_RS08925,-1.4296729,3.24266312864451e-17,-0.506975,0.00119786
TX50_RS08930,-2.1530708,4.78118387818237e-48,-1.3687708,2.38154753919765e-15
TX50_RS08935,1.35821009,3.07681797412379e-21,1.86636024,5.55381309788104e-65
TX50_RS08940,0.36853967,0.05871468,0.48805099,0.00053461
TX50_RS08945,0.02140582,0.92813868,0.23702752,0.10358703
TX50_RS08950,-0.426473,0.04645872,-0.6954026,0.00034716
TX50_RS08955,0.11668956,0.68350362,-0.0046072,0.98584371
TX50_RS08960,0.39767658,0.30771247,0.70543177,0.03498112
TX50_RS08965,-0.3111349,0.06225297,-0.3838274,0.00445424
TX50_RS08970,-0.520969,0.01253633,-0.6350819,0.00012974
TX50_RS08975,0.54253228,0.01602346,0.22716143,0.24840576
TX50_RS08980,0.70584946,5.31519484690457e-05,0.71754818,6.66333921407694e-07
TX50_RS08985,-0.6893697,0.00334727,-0.5102288,0.00785463
TX50_RS08990,-1.5053973,0.10138725,-0.3736581,0.75871722
TX50_RS08995,1.5672992,1.78909061775537e-08,1.94879818,4.37129114388369e-19
TX50_RS09000,-0.0888392,0.74641938,-0.1229627,0.5727316
TX50_RS09005,0.32461969,0.11423846,0.37255833,0.02070635
TX50_RS09010,0.11009703,0.71132684,0.52686703,0.00140369
