Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9313,Q7V4D6,Q7V4D6_PROMM Citrate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=gltA PE=3 SV=1,citrate synthase,Cytoplasm,C,1.35e-08,4.41e-10,-4.933021104,PMT2021,tier1:Protein ID
MIT9313,Q7V7E3,Q7V7E3_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0805 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,6.73e-09,2.2e-10,-4.933021105,PMT0805,tier1:Protein ID
MIT9313,Q7V9E1,Q7V9E1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0008 PE=4 SV=1,hypothetical protein,Inner membrane,S,5.46e-08,1.76e-09,-4.952920662,PMT0008,tier1:Protein ID
MIT9313,Q7V5X5,Q7V5X5_PROMM Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=lpxA PE=3 SV=1,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,Cytoplasm,M,5.54e-08,1.76e-09,-4.972549469,PMT1410,tier1:Protein ID
MIT9313,Q7V668,RL19_PROMM 50S ribosomal protein L19 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplS PE=3 SV=1,50S ribosomal protein L19,Cytoplasm,J,6.96e-08,2.2e-09,-4.98032682,PMT1306,tier1:UniProt Annotation
MIT9313,Q7V8C1,Q7V8C1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0438 PE=4 SV=1,hypothetical protein,Unknown,S,1.42e-08,4.41e-10,-5.011023616,PMT0438,tier1:Protein ID
MIT9313,Q7V881,Q7V881_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0485 PE=4 SV=1,hypothetical protein,Periplasm,S,2.92e-08,8.82e-10,-5.048498322,PMT0485,tier1:Protein ID
MIT9313,Q7V4C0,Q7V4C0_PROMM SAM (And some other nucleotide) binding motif OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2040 PE=4 SV=1,magnesium protoporphyrin IX methyltransferase,Unknown,H,7.48e-09,2.2e-10,-5.085024198,PMT2040,tier1:Protein ID
MIT9313,Q7V6M6,Q7V6M6_PROMM Thioredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=trxA PE=3 SV=1,thiol reductase thioredoxin,Cytoplasm,O,1.2e-07,3.31e-09,-5.178133603,PMT1127,tier1:Protein ID
MIT9313,Q7V7X9,Q7V7X9_PROMM Serine:pyruvate/alanine:glyoxylate aminotransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=agt PE=3 SV=1,alanine--glyoxylate aminotransferase,Cytoplasm,E,5.61e-08,1.54e-09,-5.184559872,PMT0600,tier1:Protein ID
MIT9313,Q7V807,Q7V807_PROMM Ribulose-phosphate 3-epimerase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbE PE=3 SV=1,ribulose-phosphate 3-epimerase,Cytoplasm,G,5.69e-08,1.54e-09,-5.203668695,PMT0569,tier1:Protein ID
MIT9313,Q7V990,DAPA_PROMM 4-hydroxy-tetrahydrodipicolinate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=dapA PE=3 SV=1,4-hydroxy-tetrahydrodipicolinate synthase,Cytoplasm,E,1.65e-08,4.41e-10,-5.222527721,PMT0065,tier1:UniProt Annotation
MIT9313,Q7V7N1,ARGC_PROMM N-acetyl-gamma-glutamyl-phosphate reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=argC PE=3 SV=2,N-acetyl-gamma-glutamyl-phosphate reductase,Cytoplasm,E,8.23e-09,2.2e-10,-5.222527722,PMT0709,tier1:UniProt Annotation
MIT9313,Q7V8K3,Q7V8K3_PROMM Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0341 PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,2.56e-07,6.83e-09,-5.226752308,PMT0341,tier1:Protein ID
MIT9313,Q7V677,"GSA_PROMM Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemL PE=3 SV=1",aspartate aminotransferase family protein,Cytoplasm,H,1.33e-07,3.53e-09,-5.238829534,PMT1296,tier1:UniProt Annotation
MIT9313,Q7V5V3,Q7V5V3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1436 PE=4 SV=1,hypothetical protein,Unknown,S,5.01e-08,1.32e-09,-5.244222793,PMT1436,tier1:Protein ID
MIT9313,Q7V9D8,Q7V9D8_PROMM Signal recognition particle receptor FtsY OS=Prochlorococcus marinus (strain MIT 9313) GN=ftsY PE=3 SV=1,signal recognition particle-docking protein FtsY,Unknown,U,4.19e-08,1.1e-09,-5.24852293,PMT0011,tier1:Protein ID
MIT9313,Q7V460,Q7V460_PROMM Universal stress protein (Usp) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2107 PE=3 SV=1,universal stress protein,Cytoplasm,S,2.54e-08,6.61e-10,-5.265596444,PMT2107,tier1:Protein ID
MIT9313,Q7V553,Q7V553_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1721 PE=4 SV=1,putative membrane protein,Unknown,S,5.09e-08,1.32e-09,-5.265596444,PMT1721,tier1:Protein ID
MIT9313,Q7V6C0,Q7V6C0_PROMM NAD binding site OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1246 PE=4 SV=1,NAD-binding site,Unknown,C,1.72e-08,4.41e-10,-5.28665806,PMT1246,tier1:Protein ID
MIT9313,Q7V8B4,DCUP_PROMM Uroporphyrinogen decarboxylase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemE PE=3 SV=1,uroporphyrinogen decarboxylase,Cytoplasm,H,7.78e-08,1.98e-09,-5.29361082,PMT0445,tier1:UniProt Annotation
MIT9313,Q7V9C9,GRPE_PROMM Protein GrpE OS=Prochlorococcus marinus (strain MIT 9313) GN=grpE PE=3 SV=1,nucleotide exchange factor GrpE,Cytoplasm,O,6.96e-08,1.76e-09,-5.302254914,PMT0021,tier1:UniProt Annotation
MIT9313,Q7V540,RL23_PROMM 50S ribosomal protein L23 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplW PE=3 SV=1,50S ribosomal protein L23,Cytoplasm,J,7.86e-08,1.98e-09,-5.307416619,PMT1734,tier1:UniProt Annotation
MIT9313,Q7V3Z2,Q7V3Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2193 PE=4 SV=1,hypothetical protein,Unknown,S,8.83e-08,2.2e-09,-5.323811058,PMT2193,tier1:Protein ID
MIT9313,Q7V6F0,Q7V6F0_PROMM Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1214 PE=3 SV=1,sodium-independent anion transporter,Inner membrane,P,2.21e-07,5.51e-09,-5.328693279,PMT1214,tier1:Protein ID
MIT9313,Q7V5W4,RL27_PROMM 50S ribosomal protein L27 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmA PE=3 SV=1,50S ribosomal protein L27,Cytoplasm,J,3.59e-08,8.82e-10,-5.348058604,PMT1421,tier1:UniProt Annotation
MIT9313,Q7V7Y9,Q7V7Y9_PROMM Possible ABC transporter component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0589 PE=4 SV=1,lipid ABC transporter permease,Cytoplasm,M,1.8e-08,4.41e-10,-5.348058604,PMT0589,tier1:Protein ID
MIT9313,Q7V6T3,Q7V6T3_PROMM ClpC OS=Prochlorococcus marinus (strain MIT 9313) GN=clpC PE=3 SV=1,ATP-dependent Clp protease ATP-binding subunit ClpC,Cytoplasm,O,1.27e-07,3.09e-09,-5.365132118,PMT1061,tier1:Protein ID
MIT9313,Q7V7J1,Q7V7J1_PROMM Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9313) GN=tpx PE=4 SV=1,peroxiredoxin,Cytoplasm,O,2.66e-07,6.39e-09,-5.380848539,PMT0754,tier1:Protein ID
MIT9313,Q7V3X3,SPEE_PROMM Polyamine aminopropyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=speE PE=3 SV=2,polyamine aminopropyltransferase,Cytoplasm,E,2.77e-08,6.61e-10,-5.387586968,PMT2213,tier1:UniProt Annotation
MIT9313,Q7TUP3,RL14_PROMM 50S ribosomal protein L14 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplN PE=3 SV=1,50S ribosomal protein L14,Cytoplasm,J,7.48e-08,1.76e-09,-5.406952293,PMT1742,tier1:UniProt Annotation
MIT9313,Q7V9C2,Q7V9C2_PROMM Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=gap2 PE=3 SV=1,type I glyceraldehyde-3-phosphate dehydrogenase,Cytoplasm,G,2e-07,4.63e-09,-5.431474612,PMT0028,tier1:Protein ID
MIT9313,Q7TV13,EFTS_PROMM Elongation factor Ts OS=Prochlorococcus marinus (strain MIT 9313) GN=tsf PE=3 SV=1,elongation factor Ts,Cytoplasm,J,4.79e-08,1.1e-09,-5.441168008,PMT0583,tier1:UniProt Annotation
MIT9313,B9ES00,B9ES00_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2613 PE=4 SV=1,putative protein family PM-1,Unknown,S,6.73e-08,1.54e-09,-5.447594278,PMT_2613,tier1:Protein ID
MIT9313,Q7V7R3,THF1_PROMM Protein Thf1 OS=Prochlorococcus marinus (strain MIT 9313) GN=thf1 PE=3 SV=1,photosystem II biogenesis protein Psp29,Unknown,D,1.95e-08,4.41e-10,-5.463535821,PMT0675,tier1:UniProt Annotation
MIT9313,Q7V4Z3,DAPAT_PROMM LL-diaminopimelate aminotransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=dapL PE=3 SV=2,LL-diaminopimelate aminotransferase,Cytoplasm,E,4.86e-08,1.1e-09,-5.463535821,PMT1791,tier1:UniProt Annotation
MIT9313,Q7V846,Q7V846_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0527 PE=4 SV=1,hypothetical protein,Cytoplasm,S,6.96e-08,1.54e-09,-5.494899992,PMT0527,tier1:Protein ID
MIT9313,Q7TUS3,CH10_PROMM 10 kDa chaperonin OS=Prochlorococcus marinus (strain MIT 9313) GN=groS PE=3 SV=1,co-chaperone GroES,Cytoplasm,O,1.49e-06,3.31e-08,-5.49789603,PMT1450,tier1:UniProt Annotation
MIT9313,Q7V438,Q7V438_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2132 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.02e-08,4.41e-10,-5.517983605,PMT2132,tier1:Protein ID
MIT9313,Q7V5F3,Q7V5F3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1608 PE=4 SV=1,hypothetical protein,Cytoplasm,S,6.06e-08,1.32e-09,-5.517983606,PMT1608,tier1:Protein ID
MIT9313,Q7V811,"Q7V811_PROMM 6-phosphogluconate dehydrogenase, decarboxylating OS=Prochlorococcus marinus (strain MIT 9313) GN=gnd PE=3 SV=1",phosphogluconate dehydrogenase (NADP(+)-dependent%2C decarboxylating),Cytoplasm,G,3.14e-08,6.61e-10,-5.570451025,PMT0565,tier1:Protein ID
MIT9313,Q7V4Z2,Q7V4Z2_PROMM ATP-dependent Clp protease adapter protein ClpS OS=Prochlorococcus marinus (strain MIT 9313) GN=clpS PE=3 SV=1,ATP-dependent Clp protease adaptor ClpS,Unknown,O,1.05e-08,2.2e-10,-5.570451025,PMT0672,tier1:UniProt Annotation
MIT9313,Q7V5H5,Q7V5H5_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1585 PE=4 SV=1,photosystem reaction center subunit H,Cytoplasm,S,6.28e-08,1.32e-09,-5.570451026,PMT1585,tier1:Protein ID
MIT9313,Q7V918,Q7V918_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0146 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,4.26e-08,8.82e-10,-5.595986117,PMT0146,tier1:Protein ID
MIT9313,Q7V812,"Q7V812_PROMM Putative 6-phosphogluconolactonase (DevB, Pgl) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0564 PE=4 SV=1",6-phosphogluconolactonase,Unknown,G,4.26e-08,8.82e-10,-5.595986117,PMT0564,tier1:Protein ID
MIT9313,Q7V675,Q7V675_PROMM UPF0234 protein PMT_1298 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1298 PE=3 SV=1,YajQ family cyclic di-GMP-binding protein,Cytoplasm,S,2.17e-08,4.41e-10,-5.621077098,PMT1298,tier1:Protein ID
MIT9313,Q7V8V3,Q7V8V3_PROMM NHL repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0221 PE=4 SV=1,Virginiamycin B lyase,Outside cytoplasm,S,3.29e-08,6.61e-10,-5.637565221,PMT0221,tier1:Protein ID
MIT9313,Q7V8K4,Q7V8K4_PROMM Putative nickel-containing superoxide dismutase (NISOD) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0340 PE=4 SV=1,superoxide dismutase%2C Ni,Cytoplasm,S,6.66e-08,1.32e-09,-5.653867034,PMT0340,tier1:Protein ID
MIT9313,Q7V539,RL2_PROMM 50S ribosomal protein L2 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplB PE=3 SV=1,50S ribosomal protein L2,Cytoplasm,J,2.36e-07,4.63e-09,-5.669986698,PMT1735,tier1:UniProt Annotation
MIT9313,B9ESR2,B9ESR2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2898 PE=4 SV=1,bacteriocin leader domain-containing protein,Unknown,S,1.12e-08,2.2e-10,-5.669986699,PMT_2898,tier1:Protein ID
MIT9313,Q7V8V1,Q7V8V1_PROMM Cysteine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysK1 PE=3 SV=1,cysteine synthase A,Cytoplasm,E,3.18e-07,6.17e-09,-5.687060212,PMT0224,tier1:Protein ID
MIT9313,Q7V6L4,"Q7V6L4_PROMM Homoserine dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=thrA,hom PE=3 SV=1",homoserine dehydrogenase,Cytoplasm,E,5.76e-08,1.1e-09,-5.707954549,PMT1143,tier1:Protein ID
MIT9313,B9ER54,B9ER54_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2376 PE=4 SV=1,hypothetical protein,Unknown,S,9.28e-08,1.76e-09,-5.717292413,PMT_2376,tier1:Protein ID
MIT9313,Q7V531,RL6_PROMM 50S ribosomal protein L6 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplF PE=3 SV=1,50S ribosomal protein L6,Cytoplasm,J,1.29e-07,2.42e-09,-5.729929239,PMT1746,tier1:UniProt Annotation
MIT9313,Q7V808,"FBSB_PROMM D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0568 PE=3 SV=1",fructose 1%2C6-bisphosphatase,Cytoplasm,G,2.59e-07,4.85e-09,-5.738292712,PMT0568,tier1:UniProt Annotation
MIT9313,Q7V734,Q7V734_PROMM Possible UBA/TS-N domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0927 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.39e-08,4.41e-10,-5.763096103,PMT0927,tier1:Protein ID
MIT9313,Q7V449,Q7V449_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2120 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.39e-08,4.41e-10,-5.763096103,PMT_2120,tier1:Protein ID
MIT9313,Q7V480,Q7V480_PROMM Transcription termination/antitermination protein NusG OS=Prochlorococcus marinus (strain MIT 9313) GN=nusG PE=3 SV=1,hypothetical protein,Cytoplasm,K,9.58e-08,1.76e-09,-5.763096103,PMT2087,tier1:Protein ID
MIT9313,Q7V735,Q7V735_PROMM Possible (M20568) ORF 11 [Azotobacter vinelandii] OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0926 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.47e-08,4.41e-10,-5.807490222,PMT0926,tier1:Protein ID
MIT9313,Q7V3W3,Q7V3W3_PROMM Putative ATP-binding subunit of urea ABC transport system OS=Prochlorococcus marinus (strain MIT 9313) GN=urtE PE=4 SV=1,ABC transporter ATP-binding protein,Cytoplasm,E,3.74e-08,6.61e-10,-5.821989792,PMT2225,tier1:Protein ID
MIT9313,Q7V697,HEM3_PROMM Porphobilinogen deaminase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemC PE=3 SV=1,hydroxymethylbilane synthase,Cytoplasm,H,5.16e-08,8.82e-10,-5.87162056,PMT1273,tier1:UniProt Annotation
MIT9313,Q7V8B1,CLPB_PROMM Chaperone protein ClpB OS=Prochlorococcus marinus (strain MIT 9313) GN=clpB PE=3 SV=1,chaperone protein ClpB,Cytoplasm,O,3.89e-08,6.61e-10,-5.878573321,PMT0449,tier1:UniProt Annotation
MIT9313,Q7V520,RS9_PROMM 30S ribosomal protein S9 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsI PE=3 SV=1,30S ribosomal protein S9,Cytoplasm,J,2.62e-08,4.41e-10,-5.89237912,PMT1759,tier1:UniProt Annotation
MIT9313,Q7V533,RL5_PROMM 50S ribosomal protein L5 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplE PE=3 SV=1,50S ribosomal protein L5,Cytoplasm,J,1.32e-07,2.2e-09,-5.900599628,PMT1744,tier1:UniProt Annotation
MIT9313,Q7V5P8,Q7V5P8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1500 PE=4 SV=1,hypothetical protein,Unknown,S,2.69e-08,4.41e-10,-5.933021104,PMT1500,tier1:Protein ID
MIT9313,Q7V998,RL35_PROMM 50S ribosomal protein L35 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmI PE=3 SV=1,50S ribosomal protein L35,Cytoplasm,J,4.11e-08,6.61e-10,-5.959493316,PMT0056,tier1:UniProt Annotation
MIT9313,Q7V5A2,METK_PROMM S-adenosylmethionine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=metK PE=3 SV=1,S-adenosylmethionine synthase,Cytoplasm,H,3.66e-07,5.73e-09,-5.99634704,PMT1670,tier1:UniProt Annotation
MIT9313,Q7V522,RL17_PROMM 50S ribosomal protein L17 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplQ PE=3 SV=1,50S ribosomal protein L17,Cytoplasm,J,7.11e-08,1.1e-09,-6.011023616,PMT1756,tier1:UniProt Annotation
MIT9313,Q7V4E8,"Q7V4E8_PROMM Phytoene desaturase OS=Prochlorococcus marinus (strain MIT 9313) GN=pds,crtD PE=4 SV=1",phytoene desaturase,Unknown,H,5.69e-08,8.82e-10,-6.011023617,PMT2004,tier1:Protein ID
MIT9313,Q7V5M1,Q7V5M1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1531 PE=4 SV=1,membrane protein,Inner membrane,S,2.84e-08,4.41e-10,-6.011023617,PMT1531,tier1:Protein ID
MIT9313,Q7V926,SAHH_PROMM Adenosylhomocysteinase OS=Prochlorococcus marinus (strain MIT 9313) GN=ahcY PE=3 SV=1,adenosylhomocysteinase,Cytoplasm,H,1.17e-07,1.76e-09,-6.057716852,PMT0138,tier1:UniProt Annotation
MIT9313,Q7V906,THIC_PROMM Phosphomethylpyrimidine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thiC PE=3 SV=1,Thiamine biosynthesis protein ThiC,Cytoplasm,H,5.91e-08,8.82e-10,-6.066876851,PMT0160,tier1:UniProt Annotation
MIT9313,Q7V5K3,Q7V5K3_PROMM Putative thioredoxin reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1551 PE=4 SV=1,thioredoxin reductase,Cytoplasm,O,7.48e-08,1.1e-09,-6.085024198,PMT1551,tier1:Protein ID
MIT9313,Q7V810,Q7V810_PROMM Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=glgC PE=3 SV=1,glucose-1-phosphate adenylyltransferase,Unknown,G,1.51e-07,2.2e-09,-6.099379491,PMT0566,tier1:Protein ID
MIT9313,Q7V6K3,Q7V6K3_PROMM Possible membrane fusion protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1156 PE=3 SV=1,hemolysin D,Unknown,V,1.06e-07,1.54e-09,-6.1054883,PMT1156,tier1:Protein ID
MIT9313,Q7V737,Q7V737_PROMM Possible SAP domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0922 PE=4 SV=1,DNA-binding protein,Unknown,S,1.38e-07,1.98e-09,-6.124552562,PMT_0922,tier1:Protein ID
MIT9313,Q7V606,PNP_PROMM Polyribonucleotide nucleotidyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=pnp PE=3 SV=1,polyribonucleotide nucleotidyltransferase,Cytoplasm,J,4.03e-07,5.73e-09,-6.136797848,PMT1377,tier1:UniProt Annotation
MIT9313,Q7V590,"Q7V590_PROMM Phycobilisome protein (Phycoerythrin, alpha-subunit) OS=Prochlorococcus marinus (strain MIT 9313) GN=cpeA PE=4 SV=1",bleomycin hydrolase,Unknown,S,1.57e-08,2.2e-10,-6.155413526,PMT1682,tier1:Protein ID
MIT9313,Q7V571,Q7V571_PROMM Putative ribonuclease D OS=Prochlorococcus marinus (strain MIT 9313) GN=rnd PE=4 SV=1,ribonuclease D,Cytoplasm,J,3.22e-08,4.41e-10,-6.189360858,PMT1703,tier1:Protein ID
MIT9313,Q7TV30,Q7TV30_PROMM Plastocyanin OS=Prochlorococcus marinus (strain MIT 9313) GN=petE PE=4 SV=1,plastocyanin,Periplasm,C,4.86e-08,6.61e-10,-6.200501416,PMT0447,tier1:Protein ID
MIT9313,Q7TUJ3,Q7TUJ3_PROMM Rubredoxin:Rubrerythrin:Rubredoxin-type Fe(Cys)4 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2166 PE=4 SV=1,rubrerythrin,Cytoplasm,C,4.26e-07,5.73e-09,-6.214941227,PMT_2166,tier1:Protein ID
MIT9313,Q7V6Q2,Q7V6Q2_PROMM BolA-like protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1094 PE=3 SV=1,BolA-like protein,Unknown,S,1.65e-08,2.2e-10,-6.222527722,PMT1094,tier1:Protein ID
MIT9313,Q7V5N8,RPIA_PROMM Ribose-5-phosphate isomerase A OS=Prochlorococcus marinus (strain MIT 9313) GN=rpiA PE=3 SV=1,ribose-5-phosphate isomerase,Unknown,G,3.29e-08,4.41e-10,-6.222527722,PMT1511,tier1:UniProt Annotation
MIT9313,Q7V6M8,Q7V6M8_PROMM Proline-rich region OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1125 PE=4 SV=1,hypothetical protein,Inner membrane,S,6.66e-08,8.82e-10,-6.238829534,PMT1125,tier1:Protein ID
MIT9313,Q7V6D8,Q7V6D8_PROMM Putative GTP cyclohydrolase I OS=Prochlorococcus marinus (strain MIT 9313) GN=folE PE=4 SV=1,GTP cyclohydrolase,Cytoplasm,H,3.37e-08,4.41e-10,-6.254949199,PMT1227,tier1:Protein ID
MIT9313,Q7V999,RL20_PROMM 50S ribosomal protein L20 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplT PE=3 SV=1,50S ribosomal protein L20,Cytoplasm,J,3.37e-08,4.41e-10,-6.254949199,PMT0055,tier1:UniProt Annotation
MIT9313,Q7V7X8,Q7V7X8_PROMM Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9313) GN=glnA PE=3 SV=1,type I glutamate--ammonia ligase,Cytoplasm,E,3.88e-07,5.07e-09,-6.256342435,PMT0601,tier1:Protein ID
MIT9313,Q7TUS8,Q7TUS8_PROMM 2Fe-2S Ferredoxin:Ferredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=petF PE=4 SV=1,ferredoxin,Unknown,C,1.43e-06,1.85e-08,-6.269380068,PMT1429,tier1:Protein ID
MIT9313,Q7V5M6,Q7V5M6_PROMM Transcription termination/antitermination protein NusA OS=Prochlorococcus marinus (strain MIT 9313) GN=nusA PE=3 SV=1,hypothetical protein,Cytoplasm,K,1.88e-07,2.42e-09,-6.275208038,PMT1526,tier1:Protein ID
MIT9313,Q7V4Y8,Q7V4Y8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1796 PE=4 SV=1,,Unknown,S,1.2e-07,1.54e-09,-6.277669277,,unresolved
MIT9313,Q7V5W0,CY550_PROMM Cytochrome c-550 OS=Prochlorococcus marinus (strain MIT 9313) GN=psbV PE=3 SV=1,cytochrome c550,Thylakoid membrane,C,4.11e-07,5.29e-09,-6.278795942,PMT1427,tier1:UniProt Annotation
MIT9313,Q7TV26,TRPA_PROMM Tryptophan synthase alpha chain OS=Prochlorococcus marinus (strain MIT 9313) GN=trpA PE=3 SV=1,tryptophan synthase subunit alpha,Cytoplasm,E,1.72e-08,2.2e-10,-6.28665806,PMT0465,tier1:UniProt Annotation
MIT9313,Q7V8M5,ILVC_PROMM Ketol-acid reductoisomerase (NADP(+)) OS=Prochlorococcus marinus (strain MIT 9313) GN=ilvC PE=3 SV=1,ketol-acid reductoisomerase,Cytoplasm,E,2.27e-07,2.87e-09,-6.305830368,PMT0313,tier1:UniProt Annotation
MIT9313,Q7V4G4,Q7V4G4_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=rpaA PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,5.24e-08,6.61e-10,-6.307416619,PMT1988,tier1:Protein ID
MIT9313,Q7TV22,"Q7TV22_PROMM Bacterial regulatory proteins, Crp family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0497 PE=4 SV=1",transcriptional regulator,Cytoplasm,K,3.52e-08,4.41e-10,-6.317684955,PMT0497,tier1:Protein ID
MIT9313,Q7V620,Q7V620_PROMM Similar to chloroplast membrane-associated 30 kD protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1361 PE=4 SV=1,membrane protein,Inner membrane,T,1.23e-07,1.54e-09,-6.322063395,PMT1361,tier1:Protein ID
MIT9313,Q7V922,Q7V922_PROMM Rod shape determining protein OS=Prochlorococcus marinus (strain MIT 9313) GN=mreB PE=4 SV=1,rod shape-determining protein,Cytoplasm,D,5.39e-08,6.61e-10,-6.348058604,PMT0142,tier1:Protein ID
MIT9313,Q7V751,Q7V751_PROMM Possible Octicosapeptide repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0907 PE=4 SV=1,hypothetical protein,Inner membrane,S,1.8e-08,2.2e-10,-6.348058604,RG24_RS04770,tier1:Protein ID
MIT9313,Q7V936,Q7V936_PROMM Glutathione peroxidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0125 PE=3 SV=1,glutathione peroxidase,Cytoplasm,O,9.05e-08,1.1e-09,-6.360031245,PMT0125,tier1:Protein ID
